Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																			
Дата голосования: 18.09.2016																																			
																																			
Наименование Избирательной комиссии:    Камышловская 																																			
																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																			
																																			
		Сумма	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	20894	713	437	430	1018	615	654	1439	589	188	663	508	785	452	1774	256	315	1094	163	639	702	484	2513	2436	2027									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	16550	550	350	350	750	450	500	1050	450	150	500	400	600	350	1300	200	250	800	150	500	500	350	2000	2000	2050									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	10638	265	168	169	410	164	196	580	206	51	245	157	242	172	741	78	185	344	61	218	258	179	1773	1828	1948									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	980	46	19	7	47	54	32	18	75	8	16	77	81	19	30	7	4	98	21	64	44	33	48	53	79									
6	Число погашенных избирательных бюллетеней	4932	239	163	174	293	232	272	452	169	91	239	166	277	159	529	115	61	358	68	218	198	138	179	119	23									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	980	46	19	7	47	54	32	18	75	8	16	77	81	19	30	7	4	98	21	64	44	33	48	53	79									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	10637	265	168	169	410	164	196	580	206	51	245	157	242	172	741	78	185	344	61	218	258	179	1773	1827	1948									
9	Число недействительных избирательных бюллетеней	322	9	3	5	11	12	4	15	4	2	4	12	14	9	11	1	8	11	2	7	15	2	42	48	71									
10	Число действительных избирательных бюллетеней	11295	302	184	171	446	206	224	583	277	57	257	222	309	182	760	84	181	431	80	275	287	210	1779	1832	1956									
