Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																		
Дата голосования: 07.12.2003 0:00:00																																		
																																		
Наименование Избирательной комиссии:    Приаргунская																																		
																																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																		
																																		
		Сумма	УИК  727	УИК  728	УИК  729	УИК  730	УИК  731	УИК  732	УИК  733	УИК  734	УИК  735	УИК  736	УИК  737	УИК  738	УИК  739	УИК  740	УИК  741	УИК  742	УИК  743	УИК  744	УИК  745	УИК  746	УИК  747	УИК  748	УИК  749	УИК  750	УИК  751	УИК  752	УИК  753					
1	"Число избирателей, внесенных в списки"	18631	1514	1896	2172	904	1119	788	425	505	638	282	390	210	1258	705	522	504	473	100	515	84	158	583	118	1924	275	345	224					
2	"Число бюллетеней, полученных участковыми комиссиями"	18364	1489	1783	1758	872	1115	810	418	496	666	285	387	208	1215	746	576	465	465	100	517	79	155	1059	112	1712	296	370	210					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	10397	689	912	1232	543	646	418	211	224	402	160	236	146	431	355	347	258	303	61	263	55	91	545	88	1220	197	206	158					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	819	27	70	38	12	53	18	69	51	52	43	12	14	71	14	31	13	30	2	26	2	21	38	0	85	17	4	6					
6	Число погашенных бюллетеней	7148	773	801	488	317	416	374	138	221	212	82	139	48	713	377	198	194	132	37	228	22	43	476	24	407	82	160	46					
7	Число бюллетеней в переносных ящиках для голосования	819	27	70	38	12	53	18	69	51	52	43	12	14	71	14	31	13	30	2	26	2	21	38	0	85	17	4	6					
8	Число бюллетеней в стационарных ящиках для голосования	10397	689	912	1232	543	646	418	211	224	402	160	236	146	431	355	347	258	303	61	263	55	91	545	88	1220	197	206	158					
9	Число недействительных бюллетеней	142	8	12	11	4	18	4	5	5	2	0	2	0	11	4	0	1	3	1	7	3	3	15	3	6	6	8	0					
10	Число действительных бюллетеней	11074	708	970	1259	551	681	432	275	270	452	203	246	160	491	365	378	270	330	62	282	54	109	568	85	1299	208	202	164					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	200	11	20	42	8	12	8	4	4	6	4	4	2	3	8	6	4	6	2	6	2	2	10	2	14	4	4	2					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	67	3	8	33	2	1	0	4	0	0	0	0	0	1	0	0	0	1	0	0	0	0	7	0	7	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	31	1	4	12	0	0	0	0	0	2	0	0	0	2	0	1	0	1	0	0	1	0	2	0	2	0	2	1					
14	Число погашенных открепительных удостоверений	133	8	12	9	6	11	8	0	4	6	4	4	2	2	8	6	4	5	2	6	2	2	3	2	7	4	4	2					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																		
18	"1. ""ЕДИНЕНИЕ"""	199	7	17	19	10	8	4	5	6	11	2	9	1	5	4	8	4	6	2	6	2	3	14	1	28	2	5	10					
		1.77%	0.97%	1.73%	1.49%	1.80%	1.14%	0.91%	1.78%	2.18%	2.42%	0.98%	3.62%	0.62%	0.99%	1.08%	2.11%	1.47%	1.80%	3.17%	2.07%	3.50%	2.67%	2.40%	1.13%	2.14%	0.93%	2.38%	6.09%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	126	2	19	31	12	1	7	0	1	1	0	2	3	5	4	1	2	2	1	4	0	0	6	0	20	0	1	1					
		1.12%	0.27%	1.93%	2.44%	2.16%	0.14%	1.60%	0.0%	0.36%	0.22%	0.0%	0.80%	1.87%	0.99%	1.08%	0.26%	0.73%	0.60%	1.58%	1.38%	0.0%	0.0%	1.02%	0.0%	1.53%	0.0%	0.47%	0.60%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	264	25	27	16	14	26	16	7	4	8	0	8	2	7	6	8	7	8	1	7	5	3	14	1	23	11	7	3					
