Выборы Президента Российской Федерации																											
																											
Наименование Избирательной комиссии:    Заокская																											
																											
Итоги голосования 																											
																											
		Сумма	УИК  46	УИК  47	УИК  48	УИК  49	УИК  50	УИК  51	УИК  52	УИК  53	УИК  54	УИК  55	УИК  56	УИК  57	УИК  58	УИК  59	УИК  60	УИК  61	УИК  62	УИК  63	УИК  64	УИК  65					
1	"Число избирателей, внесенных в список"	14905	420	933	395	485	310	405	679	521	149	1138	182	1217	172	503	532	762	536	2228	1883	1455					
2	Число полученных избирательных бюллетеней	14965	426	979	398	487	319	415	682	515	145	1145	182	1222	163	504	538	773	507	2242	1875	1448					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	7686	222	529	230	299	150	270	474	334	92	553	76	591	89	315	232	296	246	1135	881	672					
5	"Число избирательных бюллетеней, выданных вне помещения"	1336	48	118	71	24	9	21	73	57	16	169	35	44	36	72	88	227	61	38	63	66					
6	Число погашенных избирательных бюллетеней	5943	156	332	97	164	160	124	135	124	37	423	71	587	38	117	218	250	200	1069	931	710					
7	Число избирательных бюллетеней в переносных ящиках	1336	48	118	71	24	9	21	73	57	16	169	35	44	36	72	88	227	61	38	63	66					
8	Число бюллетеней в стационарных ящиках для голосования	7682	222	529	230	299	150	270	473	333	92	552	76	591	89	315	232	296	246	1134	881	672					
9	Число недействительных избирательных бюллетеней	103	4	7	6	8	2	3	4	5	1	15	3	4	1	3	3	8	3	12	8	3					
10	Число действительных избирательных бюллетеней	8915	266	640	295	315	157	288	542	385	107	706	108	631	124	384	317	515	304	1160	936	735					
11	Число полученных открепительных  удостоверений	270	8	10	7	10	10	8	10	10	5	25	5	20	9	10	10	15	10	36	26	26					
12	Число выданных открепительных удостоверений	97	4	9	7	6	3	8	8	3	0	5	0	7	0	1	3	2	0	14	10	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	134	3	5	2	5	1	3	7	4	3	14	3	5	8	5	2	6	34	4	15	5					
14	Число неиспользованных открепительных удостоверений	173	4	1	0	4	7	0	2	7	5	20	5	13	9	9	7	13	10	22	16	19					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																											
18	. Глазьев Сергей Юрьевич	290	7	15	8	6	4	12	27	9	4	19	1	28	10	7	6	17	11	35	39	25					
		3.22%	2.59%	2.32%	2.66%	1.86%	2.52%	4.12%	4.95%	2.31%	3.70%	2.64%	0.90%	4.41%	8.00%	1.81%	1.88%	3.25%	3.58%	2.99%	4.13%	3.39%					
19	. Малышкин Олег Александрович	211	10	15	8	8	4	10	12	6	3	17	1	13	5	7	9	18	8	23	19	15					
		2.34%	3.70%	2.32%	2.66%	2.48%	2.52%	3.44%	2.20%	1.54%	2.78%	2.36%	0.90%	2.05%	4.00%	1.81%	2.81%	3.44%	2.61%	1.96%	2.01%	2.03%					
20	. Миронов Сергей Михайлович	48	0	2	1	2	0	0	1	1	1	6	1	3	1	6	1	1	3	3	7	8					
		0.53%	0.00%	0.31%	0.33%	0.62%	0.00%	0.00%	0.18%	0.26%	0.93%	0.83%	0.90%	0.47%	0.80%	1.55%	0.31%	0.19%	0.98%	0.26%	0.74%	1.08%					
21	. Путин Владимир Владимирович	6227	196	469	229	235	128	226	401	245	68	453	81	451	70	294	211	383	228	740	628	491					
		69.05%	72.59%	72.49%	76.08%	72.76%	80.50%	77.66%	73.44%	62.82%	62.96%	62.83%	72.97%	71.02%	56.00%	75.97%	65.94%	73.23%	74.27%	63.14%	66.53%	66.53%					
22	. Хакамада Ирина Муцуовна	234	2	10	5	7	1	1	13	2	1	14	2	11	6	8	7	8	6	45	25	60					
		2.59%	0.74%	1.55%	1.66%	2.17%	0.63%	0.34%	2.38%	0.51%	0.93%	1.94%	1.80%	1.73%	4.80%	2.07%	2.19%	1.53%	1.95%	3.84%	2.65%	8.13%					
23	. Харитонов Николай Михайлович	1633	45	114	41	56	17	36	68	109	25	169	21	100	29	54	74	74	43	270	176	112					
		18.11%	16.67%	17.62%	13.62%	17.34%	10.69%	12.37%	12.45%	27.95%	23.15%	23.44%	18.92%	15.75%	23.20%	13.95%	23.12%	14.15%	14.01%	23.04%	18.64%	15.18%					
																											
24	Против всех	272	6	15	3	1	3	3	20	13	5	28	1	25	3	8	9	14	5	44	42	24					
		3.02%	2.22%	2.32%	1.00%	0.31%	1.89%	1.03%	3.66%	3.33%	4.63%	3.88%	0.90%	3.94%	2.40%	2.07%	2.81%	2.68%	1.63%	3.75%	4.45%	3.25%					
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
