Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																												
Дата голосования: 18.09.2016																																												
																																												
Наименование Избирательной комиссии:    Пресненский район																																												
																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																												
																																												
		Сумма	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №3617									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	79426	2698	2619	2825	1251	2643	2785	2568	1917	2747	3052	2298	2087	2259	2680	2828	2435	2158	1761	2496	2452	2206	2438	2583	2802	2549	2268	2477	2638	2570	2659	3001	2653	23									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	55075	1900	1850	1900	1600	1850	1650	1800	1350	1800	1900	1600	1450	1600	1850	2000	1700	1500	1200	1750	1700	1550	1700	1750	1900	1700	1600	1750	1850	1750	1750	2000	1800	25									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	26047	912	920	999	1054	816	847	878	668	1088	1218	825	680	708	818	882	757	659	608	775	725	602	682	797	875	767	647	665	746	751	880	978	797	23									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	696	20	27	21	0	18	29	20	13	31	28	18	36	17	23	23	36	27	16	18	23	11	5	17	29	21	13	13	25	34	19	38	27	0									
6	Число погашенных избирательных бюллетеней	28332	968	903	880	546	1016	774	902	669	681	654	757	734	875	1009	1095	907	814	576	957	952	937	1013	936	996	912	940	1072	1079	965	851	984	976	2									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	695	20	27	21	0	18	29	20	13	31	28	18	36	17	23	23	36	27	16	18	23	11	5	17	29	21	13	13	25	34	19	37	27	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	25936	909	920	996	1049	807	844	877	668	1087	1215	807	679	708	795	882	752	656	608	775	724	598	682	786	873	766	646	663	745	750	878	974	794	23									
9	Число недействительных избирательных бюллетеней	370	14	9	14	26	8	10	8	14	8	20	11	9	6	16	8	10	5	6	3	14	11	11	11	16	10	10	7	12	14	14	18	17	0									
10	Число действительных избирательных бюллетеней	26261	915	938	1003	1023	817	863	889	667	1110	1223	814	706	719	802	897	778	678	618	790	733	598	676	792	886	777	649	669	758	770	883	993	804	23									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	356	10	18	10	10	10	10	14	10	10	13	10	10	10	14	10	10	10	10	13	10	18	10	10	13	10	10	10	10	10	10	13	10	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	276	9	14	8	7	9	9	9	6	10	13	7	8	10	13	8	8	9	10	12	9	14	4	2	10	7	5	8	9	9	4	11	5	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	2129	82	23	101	13	47	86	25	12	223	367	13	43	26	23	12	25	76	96	7	17	24	7	6	97	89	28	12	7	101	204	132	99	6									
14	Число погашенных неиспользованных открепительных удостоверений	80	1	4	2	3	1	1	5	4	0	0	3	2	0	1	2	2	1	0	1	1	4	6	8	3	3	5	2	1	1	6	2	5	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	35	1	1	2	2	0	1	2	4	2	0	0	1	1	0	1	0	0	3	2	3	0	0	0	0	1	1	0	4	1	1	0	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	996	30	27	46	47	31	31	35	16	46	47	22	32	22	43	45	21	31	23	26	28	21	25	28	38	30	22	20	25	36	27	38	36	1									
		3.74%	3.23%	2.85%	4.52%	4.48%	3.76%	3.55%	3.90%	2.35%	4.11%	3.78%	2.67%	4.48%	3.03%	5.26%	4.97%	2.66%	4.54%	3.69%	3.28%	3.75%	3.45%	3.64%	3.49%	4.21%	3.81%	3.34%	2.96%	3.25%	4.59%	3.01%	3.76%	4.38%	4.35%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	528	19	14	21	21	18	9	23	12	21	27	18	10	18	7	18	18	9	7	18	22	13	11	11	21	15	15	18	15	30	18	18	13	0									
		1.98%	2.05%	1.48%	2.06%	2.00%	2.18%	1.03%	2.56%	1.76%	1.88%	2.17%	2.18%	1.40%	2.48%	0.86%	1.99%	2.28%	1.32%	1.12%	2.27%	2.95%	2.13%	1.60%	1.37%	2.33%	1.91%	2.28%	2.66%	1.95%	3.83%	2.01%	1.78%	1.58%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	762	15	24	20	7	18	25	30	26	23	39	23	15	36	25	16	17	11	15	27	35	23	18	33	31	30	13	31	24	28	18	32	33	1									
