Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва													
Дата голосования: 18.09.2016													
													
Наименование Избирательной комиссии:    Кедровая поселковая													
													
Сводная таблица итогов голосования по федеральному избирательному округу													
													
		Сумма	УИК №761	УИК №762									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	3443	1764	1679									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	3400	1752	1648									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	1305	643	662									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	26	9	17									
6	Число погашенных избирательных бюллетеней	2069	1100	969									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	26	9	17									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	1304	643	661									
9	Число недействительных избирательных бюллетеней	44	23	21									
10	Число действительных избирательных бюллетеней	1286	629	657									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	294	161	133									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	26	14	12									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	10	5	5									
14	Число погашенных неиспользованных открепительных удостоверений	268	147	121									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	6	2	4									
16	Число утраченных открепительных удостоверений	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0									
													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	15	4	11									
		1.13%	0.61%	1.62%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	59	30	29									
		4.44%	4.60%	4.28%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	24	12	12									
		1.80%	1.84%	1.77%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	459	226	233									
		34.51%	34.66%	34.37%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	8	3	5									
		0.60%	0.46%	0.74%									
24	"6. Политическая партия ""Гражданская Платформа"""	1	0	1									
		0.08%	0.00%	0.15%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	343	186	157									
		25.79%	28.53%	23.16%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	6	3	3									
		0.45%	0.46%	0.44%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	10	8	2									
		0.75%	1.23%	0.29%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	1	1	0									
		0.08%	0.15%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	12	5	7									
		0.90%	0.77%	1.03%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	230	96	134									
		17.29%	14.72%	19.76%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	74	27	47									
		5.56%	4.14%	6.93%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	44	28	16									
		3.31%	4.29%	2.36%									
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
