Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																											
Дата голосования: 02.12.2007																																																																											
																																																																											
Наименование Избирательной комиссии:    Дюртюлинская																																																																											
																																																																											
Сводная таблица результатов выборов																																																																											
																																																																											
		Сумма	УИК №1833	УИК №1834	УИК №1835	УИК №1836	УИК №1837	УИК №1838	УИК №1839	УИК №1840	УИК №1841	УИК №1842	УИК №1843	УИК №1844	УИК №1845	УИК №1846	УИК №1847	УИК №1848	УИК №1849	УИК №1850	УИК №1851	УИК №1852	УИК №1853	УИК №1854	УИК №1855	УИК №1856	УИК №1857	УИК №1858	УИК №1859	УИК №1860	УИК №1861	УИК №1862	УИК №1863	УИК №1864	УИК №1865	УИК №1866	УИК №1867	УИК №1868	УИК №1869	УИК №1870	УИК №1871	УИК №1872	УИК №1873	УИК №1874	УИК №1875	УИК №1876	УИК №1877	УИК №1878	УИК №1879	УИК №1880	УИК №1881	УИК №1882	УИК №1883	УИК №1884	УИК №1885	УИК №1886	УИК №1887	УИК №1888	УИК №1889	УИК №1890	УИК №1891	УИК №1892	УИК №1893	УИК №1894	УИК №1895	УИК №1896	УИК №1897	УИК №1898	УИК №1899	УИК №1900					
1	"Число избирателей, внесенных в списки избирателей"	46257	1891	1435	1875	1151	1997	1330	1123	1762	1125	1581	1312	1256	1508	2272	854	67	745	735	759	630	577	134	429	777	763	180	107	474	241	329	461	262	508	301	550	730	295	418	415	395	553	296	894	943	1193	451	374	127	547	229	276	763	370	536	130	1074	282	216	368	408	68	367	457	125	387	482	457	130					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	45694	1800	1370	1820	1100	1940	1240	1100	1730	1100	1530	1230	1160	1450	2140	870	70	750	737	757	647	592	142	432	814	774	188	108	476	245	345	449	261	521	303	550	734	298	418	418	402	558	295	902	963	1213	475	384	127	555	233	278	811	387	571	136	1056	278	213	370	406	72	366	461	126	388	468	461	130					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	43018	1661	1304	1701	1038	1802	1192	1041	1606	1014	1403	1156	1143	1343	1993	810	67	736	711	714	604	555	129	396	777	739	179	107	457	235	327	404	251	426	267	544	717	279	388	387	372	543	295	888	933	1170	328	374	116	542	210	273	744	356	522	122	1042	258	202	357	406	68	352	443	125	364	457	423	130					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1005	4	13	21	10	18	5	11	2	23	20	40	6	29	63	8	0	0	11	26	21	20	5	30	0	19	0	0	15	5	0	43	5	62	29	4	6	15	27	27	21	7	0	3	0	0	120	0	10	4	18	2	15	13	13	8	0	20	10	11	0	0	14	11	0	20	9	33	0					
6	Число погашенных избирательных бюллетеней	1671	135	53	98	52	120	43	48	122	63	107	34	11	78	84	52	3	14	15	17	22	17	8	6	37	16	9	1	4	5	18	2	5	33	7	2	11	4	3	4	9	8	0	11	30	43	27	10	1	9	5	3	52	18	36	6	14	0	1	2	0	4	0	7	1	4	2	5	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1005	4	13	21	10	18	5	11	2	23	20	40	6	29	63	8	0	0	11	26	21	20	5	30	0	19	0	0	15	5	0	43	5	62	29	4	6	15	27	27	21	7	0	3	0	0	120	0	10	4	18	2	15	13	13	8	0	20	10	11	0	0	14	11	0	20	9	33	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	43018	1661	1304	1701	1038	1802	1192	1041	1606	1014	1403	1156	1143	1343	1993	810	67	736	711	714	604	555	129	396	777	739	179	107	457	235	327	404	251	426	267	544	717	279	388	387	372	543	295	888	933	1170	328	374	116	542	210	273	744	356	522	122	1042	258	202	357	406	68	352	443	125	364	457	423	130					
9	Число недействительных избирательных бюллетеней	335	4	10	9	8	0	12	0	57	0	6	13	10	8	13	0	0	1	7	0	4	7	0	16	0	0	0	0	0	6	0	0	0	1	18	1	0	0	1	2	0	1	2	7	5	10	0	0	0	0	0	0	2	0	0	0	13	18	0	36	0	0	0	17	0	0	0	8	2					
10	Число действительных избирательных бюллетеней	43688	1661	1307	1713	1040	1820	1185	1052	1551	1037	1417	1183	1139	1364	2043	818	67	735	715	740	621	568	134	410	777	758	179	107	472	234	327	447	256	487	278	547	723	294	414	412	393	549	293	884	928	1160	448	374	126	546	228	275	757	369	535	130	1029	260	212	332	406	68	366	437	125	384	466	448	128					
