Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																											
Дата голосования: 04.12.2011																																																																											
																																																																											
Наименование Избирательной комиссии:    Дюртюлинская																																																																											
																																																																											
Сводная таблица результатов выборов																																																																											
																																																																											
		Сумма	УИК №1815	УИК №1816	УИК №1817	УИК №1818	УИК №1819	УИК №1820	УИК №1821	УИК №1822	УИК №1823	УИК №1824	УИК №1825	УИК №1826	УИК №1827	УИК №1828	УИК №1829	УИК №1830	УИК №1831	УИК №1832	УИК №1833	УИК №1834	УИК №1835	УИК №1836	УИК №1837	УИК №1838	УИК №1839	УИК №1840	УИК №1841	УИК №1842	УИК №1843	УИК №1844	УИК №1845	УИК №1846	УИК №1847	УИК №1848	УИК №1849	УИК №1850	УИК №1851	УИК №1852	УИК №1853	УИК №1854	УИК №1855	УИК №1856	УИК №1857	УИК №1858	УИК №1859	УИК №1860	УИК №1861	УИК №1862	УИК №1863	УИК №1864	УИК №1865	УИК №1866	УИК №1867	УИК №1868	УИК №1869	УИК №1870	УИК №1871	УИК №1872	УИК №1873	УИК №1874	УИК №1875	УИК №1876	УИК №1877	УИК №1878	УИК №1879	УИК №1880	УИК №1881	УИК №1882					
1	"Число избирателей, внесенных в список избирателей"	48018	1315	1402	1923	2106	1171	1882	1031	2093	1542	1605	1496	1628	1254	1830	907	618	58	552	720	808	741	680	789	768	171	95	453	117	496	346	200	509	299	491	293	624	710	272	860	1307	828	431	396	431	425	357	121	539	222	307	467	805	363	511	125	1333	309	224	451	468	68	403	480	131	533	270	404	454					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	49933	1385	1431	1965	2163	1209	1977	1071	2160	1600	1687	1519	1654	1269	1888	962	633	58	552	734	819	782	727	825	827	186	104	481	125	590	363	202	526	306	513	300	604	722	271	893	1340	861	433	413	443	442	396	135	655	223	315	477	873	396	639	130	1323	318	235	469	483	70	420	476	132	541	280	438	494					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	37515	943	1024	1451	1366	779	1178	843	1539	1092	1151	808	1114	777	1259	681	503	0	547	596	692	533	495	723	681	166	93	428	113	472	333	195	434	276	446	250	479	559	226	681	1125	778	388	370	401	309	297	121	460	207	285	395	769	291	421	113	947	289	200	451	438	59	358	431	128	499	243	370	446					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1440	3	13	25	23	4	20	13	3	25	11	40	9	26	37	33	20	58	0	27	19	58	67	21	38	0	0	10	0	6	11	3	46	12	17	27	11	67	17	9	7	9	33	13	10	103	45	0	49	5	20	24	19	32	47	9	15	9	11	0	24	9	31	22	0	31	7	23	4					
6	Число погашенных избирательных бюллетеней	10978	439	394	489	774	426	779	215	618	483	525	671	531	466	592	248	110	0	5	111	108	191	165	81	108	20	11	43	12	112	19	4	46	18	50	23	114	96	28	203	208	74	12	30	32	30	54	14	146	11	10	58	85	73	171	8	361	20	24	18	21	2	31	23	4	11	30	45	44					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1440	3	13	25	23	4	20	13	3	25	11	40	9	26	37	33	20	58	0	27	19	58	67	21	38	0	0	10	0	6	11	3	46	12	17	27	11	67	17	9	7	9	33	13	10	103	45	0	49	5	20	24	19	32	47	9	15	9	11	0	24	9	31	22	0	31	7	23	4					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	37504	943	1024	1451	1366	779	1178	843	1539	1092	1140	808	1114	777	1259	681	503	0	547	596	692	533	495	723	681	166	93	428	113	472	333	195	434	276	446	250	479	559	226	681	1125	778	388	370	401	309	297	121	460	207	285	395	769	291	421	113	947	289	200	451	438	59	358	431	128	499	243	370	446					
9	Число недействительных избирательных бюллетеней	440	16	8	8	23	20	9	5	18	5	20	13	16	9	23	10	8	0	0	0	4	4	3	0	9	0	0	6	0	13	8	0	2	0	8	5	6	9	4	9	20	10	0	5	0	0	1	0	7	2	2	10	4	19	10	0	16	6	0	3	1	0	1	7	0	5	1	9	0					
10	Число действительных избирательных бюллетеней	38504	930	1029	1468	1366	763	1189	851	1524	1112	1131	835	1107	794	1273	704	515	58	547	623	707	587	559	744	710	166	93	432	113	465	336	198	478	288	455	272	484	617	239	681	1112	777	421	378	411	412	341	121	502	210	303	409	784	304	458	122	946	292	211	448	461	68	388	446	128	525	249	384	450					
