Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																												
Дата голосования: 18.09.2016																																												
																																												
"Наименование Избирательной комиссии:    Хабаровск, Краснофлотская"																																												
																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																												
																																												
		Сумма	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	64046	2030	1609	960	2145	1930	2314	2272	2812	1263	2581	2770	2427	2431	2089	2596	220	1354	1669	2606	2534	2701	2180	2793	2373	2377	2093	2241	141	1055	552	1588	1556	1784									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	61400	1800	1500	800	2000	1800	2000	2000	2500	1000	2500	2500	2400	2400	2000	2500	300	1300	1500	2500	2500	2500	2000	2500	2000	2300	2000	2200	300	1000	1800	1700	1500	1800									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	19160	692	552	339	696	574	730	717	773	233	802	769	832	886	652	863	86	308	424	636	813	602	754	718	663	694	635	504	120	214	312	498	582	487									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	939	28	13	17	17	15	33	10	32	61	44	28	15	11	17	17	129	18	34	30	40	14	23	34	60	13	47	11	21	23	0	22	55	7									
6	Число погашенных избирательных бюллетеней	41301	1080	935	444	1287	1211	1237	1273	1695	706	1654	1703	1553	1503	1331	1620	85	974	1042	1834	1647	1884	1223	1748	1277	1593	1318	1685	159	763	1488	1180	863	1306									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	939	28	13	17	17	15	33	10	32	61	44	28	15	11	17	17	129	18	34	30	40	14	23	34	60	13	47	11	21	23	0	22	55	7									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	19084	691	552	339	696	574	697	717	759	233	802	768	832	875	649	863	86	308	424	636	813	602	754	718	663	681	635	504	120	214	312	498	582	487									
9	Число недействительных избирательных бюллетеней	438	20	15	8	8	8	10	13	15	17	13	32	12	18	11	20	10	9	11	21	18	4	12	14	26	13	13	12	6	8	8	9	13	11									
10	Число действительных избирательных бюллетеней	19585	699	550	348	705	581	720	714	776	277	833	764	835	868	655	860	205	317	447	645	835	612	765	738	697	681	669	503	135	229	304	511	624	483									
