Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																								
Дата голосования: 04.12.2011																																																																								
																																																																								
Наименование Избирательной комиссии:    Красноармейская																																																																								
																																																																								
Сводная таблица результатов выборов																																																																								
																																																																								
		Сумма	УИК №1901	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №1907	УИК №1908	УИК №1909	УИК №1910	УИК №1911	УИК №1912	УИК №1913	УИК №1914	УИК №1915	УИК №1916	УИК №1917	УИК №1918	УИК №1919	УИК №1920	УИК №1921	УИК №1922	УИК №1923	УИК №1924	УИК №1925	УИК №1926	УИК №1927	УИК №1928	УИК №1929	УИК №1930	УИК №1931	УИК №1932	УИК №1933	УИК №1934	УИК №1935	УИК №1936	УИК №1937	УИК №1938	УИК №1939	УИК №1940	УИК №1941	УИК №1942	УИК №1943	УИК №1944	УИК №1945	УИК №1946	УИК №1947	УИК №1948	УИК №1949	УИК №1950	УИК №1951	УИК №1952	УИК №1953	УИК №1954	УИК №1955	УИК №1956	УИК №1957	УИК №1958	УИК №1959	УИК №1960	УИК №1961	УИК №1962	УИК №1963	УИК №1964	УИК №1965					
1	"Число избирателей, внесенных в список избирателей"	79217	1668	2576	1839	1529	1417	1327	983	1236	861	803	1568	2046	1112	712	929	2152	2314	1752	1575	314	744	413	336	410	602	1460	1092	864	1101	427	102	175	1028	1119	2200	1615	1303	932	583	1172	1183	1067	1268	1427	1030	1125	1731	2052	1854	1369	1095	1848	1131	1767	562	1921	251	167	636	887	2228	1240	2134	1321	1532					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	79097	1680	2580	1780	1520	1420	1340	980	1227	780	810	1570	2050	1110	700	900	2150	2340	1740	1580	310	740	410	330	400	600	1450	1080	850	1100	420	100	170	1040	1120	2230	1610	1290	940	580	1170	1180	1070	1270	1420	1030	1120	1750	2070	1870	1380	1110	1850	1140	1770	570	1920	250	170	630	890	2230	1240	2110	1310	1550					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	54755	1082	2124	1370	992	949	817	633	799	530	653	1089	1165	786	454	531	1473	1828	1357	1210	244	505	320	274	280	448	1128	693	670	709	349	74	115	652	663	1391	719	718	587	379	569	717	744	883	916	666	725	1405	1158	1580	1185	826	1428	899	1260	430	1371	171	125	462	574	1576	784	1535	921	1085					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	8707	209	203	150	108	115	190	139	153	133	76	114	85	135	81	150	208	238	151	152	36	98	15	32	68	19	97	259	25	134	19	7	18	171	227	275	459	350	126	100	283	182	127	116	177	126	127	70	68	57	28	133	166	118	248	85	114	36	30	111	138	205	190	187	135	125					
6	Число погашенных избирательных бюллетеней	15635	389	253	260	420	356	333	208	275	117	81	367	800	189	165	219	469	274	232	218	30	137	75	24	52	133	225	128	155	257	52	19	37	217	230	564	432	222	227	101	318	281	199	271	327	238	268	275	844	233	167	151	256	123	262	55	435	43	15	57	178	449	266	388	254	340					
7	Число избирательных бюллетеней в переносных ящиках для голосования	8707	209	203	150	108	115	190	139	153	133	76	114	85	135	81	150	208	238	151	152	36	98	15	32	68	19	97	259	25	134	19	7	18	171	227	275	459	350	126	100	283	182	127	116	177	126	127	70	68	57	28	133	166	118	248	85	114	36	30	111	138	205	190	187	135	125					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	54755	1082	2124	1370	992	949	817	633	799	530	653	1089	1165	786	454	531	1473	1828	1357	1210	244	505	320	274	280	448	1128	693	670	709	349	74	115	652	663	1391	719	718	587	379	569	717	744	883	916	666	725	1405	1158	1580	1185	826	1428	899	1260	430	1371	171	125	462	574	1576	784	1535	921	1085					
9	Число недействительных избирательных бюллетеней	860	2	15	6	14	12	9	143	21	57	54	11	20	36	5	41	10	49	45	28	0	4	0	2	1	5	17	10	0	5	10	1	0	79	0	4	0	1	19	0	1	6	0	3	0	1	0	0	19	1	20	6	17	2	12	5	9	0	0	1	4	10	0	0	0	7					
10	Число действительных избирательных бюллетеней	62602	1289	2312	1514	1086	1052	998	629	931	606	675	1192	1230	885	530	640	1671	2017	1463	1334	280	599	335	304	347	462	1208	942	695	838	358	80	133	744	890	1662	1178	1067	694	479	851	893	871	996	1093	791	852	1475	1207	1636	1193	953	1577	1015	1496	510	1476	207	155	572	708	1771	974	1722	1056	1203					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1837	42	35	57	20	30	30	20	25	20	20	35	50	25	18	20	45	50	40	35	5	15	10	5	10	15	30	25	15	33	12	5	5	23	25	45	40	35	21	11	30	30	20	25	35	20	25	35	40	40	30	25	40	25	50	15	62	10	10	50	20	45	35	48	30	40					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1837	42	35	57	20	30	30	20	25	20	20	35	50	25	18	20	45	50	40	35	5	15	10	5	10	15	30	25	15	33	12	5	5	23	25	45	40	35	21	11	30	30	20	25	35	20	25	35	40	40	30	25	40	25	50	15	62	10	10	50	20	45	35	48	30	40					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	333	4	7	30	7	6	2	6	4	2	0	5	9	5	4	11	17	8	8	2	2	2	3	2	3	5	8	5	5	7	2	2	1	1	3	2	12	9	0	0	6	10	4	4	6	4	4	5	10	7	7	5	7	2	3	0	3	2	1	4	2	2	3	18	1	2					
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	163	7	13	9	5	3	5	6	2	2	5	13	14	3	2	3	1	3	1	1	0	0	0	1	2	1	3	1	0	0	0	0	0	1	2	1	3	3	1	0	4	2	1	4	1	0	4	0	0	0	0	0	3	2	3	0	3	2	0	2	2	2	4	5	1	1					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																								
