Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																
Дата голосования: 02.12.2007																																																																
																																																																
Наименование Избирательной комиссии:    Красноармейская																																																																
																																																																
Сводная таблица результатов выборов																																																																
																																																																
		Сумма	УИК №1901	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №1907	УИК №1908	УИК №1909	УИК №1910	УИК №1911	УИК №1912	УИК №1913	УИК №1914	УИК №1915	УИК №1916	УИК №1917	УИК №1918	УИК №1919	УИК №1920	УИК №1921	УИК №1922	УИК №1923	УИК №1924	УИК №1925	УИК №1926	УИК №1927	УИК №1928	УИК №1929	УИК №1930	УИК №1931	УИК №1932	УИК №1933	УИК №1934	УИК №1935	УИК №1936	УИК №1937	УИК №1938	УИК №1939	УИК №1940	УИК №1941	УИК №1942	УИК №1943	УИК №1944	УИК №1945	УИК №1946	УИК №1947	УИК №1948	УИК №1949	УИК №1950	УИК №1951	УИК №1952	УИК №1953	УИК №1954	УИК №1955	УИК №1956	УИК №1957					
1	"Число избирателей, внесенных в списки избирателей"	78913	1657	2619	2133	1299	1360	1405	1007	2804	1621	2107	1096	687	888	2111	2204	1760	1567	312	754	412	335	431	608	2535	878	1087	390	108	191	2049	2293	2731	911	590	1126	1005	1060	1263	1666	1053	1136	2548	2454	3055	1842	1136	2346	892	1934	228	172	668	2182	1268	2065	1295	1579					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	78321	1640	2600	2070	1250	1300	1400	1000	2700	1570	2050	1070	680	870	2100	2200	1750	1550	300	750	430	330	430	620	2550	870	1070	390	107	190	2050	2270	2700	900	580	1100	1020	1050	1270	1650	1050	1150	2530	2400	2950	1820	1140	2380	900	1950	230	174	670	2250	1290	2130	1330	1550					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	43003	849	1452	1164	711	730	738	522	1360	783	1172	562	351	417	1173	1297	1119	909	292	480	290	240	274	425	1260	606	600	257	68	99	900	1086	1302	453	296	532	648	586	585	745	670	569	1318	1900	1704	1089	682	1243	447	1068	168	130	350	1147	729	1063	523	870					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	4430	35	72	90	85	67	84	78	80	44	55	78	42	43	147	99	55	124	8	33	7	15	34	30	312	17	65	13	2	15	124	148	116	82	89	137	92	177	84	193	84	86	41	28	39	126	66	132	78	73	26	9	81	164	32	79	135	80					
6	Число погашенных избирательных бюллетеней	30888	756	1076	816	454	503	578	400	1260	743	823	430	287	410	780	804	576	517	0	237	133	75	122	165	978	247	405	120	37	76	1026	1036	1282	365	195	431	280	287	601	712	296	495	1171	472	1207	605	392	1005	375	809	36	35	239	939	529	988	672	600					
7	Число избирательных бюллетеней в переносных ящиках для голосования	4430	35	72	90	85	67	84	78	80	44	55	78	42	43	147	99	55	124	8	33	7	15	34	30	312	17	65	13	2	15	124	148	116	82	89	137	92	177	84	193	84	86	41	28	39	126	66	132	78	73	26	9	81	164	32	79	135	80					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	42995	849	1452	1163	711	730	738	522	1360	783	1172	562	351	417	1173	1297	1119	909	292	480	290	240	274	425	1260	606	600	257	68	99	899	1086	1302	453	296	532	648	586	582	745	670	569	1318	1900	1704	1089	682	1243	447	1065	168	130	350	1147	729	1063	523	870					
9	Число недействительных избирательных бюллетеней	815	14	20	20	10	16	9	16	8	10	17	10	7	7	36	22	6	25	1	22	3	8	1	5	28	23	10	6	1	4	19	16	29	11	4	1	9	9	15	14	0	36	42	21	60	6	6	17	6	12	4	2	13	30	4	7	5	52					
10	Число действительных избирательных бюллетеней	46610	870	1504	1233	786	781	813	584	1432	817	1210	630	386	453	1284	1374	1168	1008	299	491	294	247	307	450	1544	600	655	264	69	110	1004	1218	1389	524	381	668	731	754	651	924	754	619	1317	1907	1683	1209	742	1358	519	1126	190	137	418	1281	757	1135	653	898					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	930	15	30	44	7	15	15	11	15	15	22	15	10	10	20	20	20	15	10	10	10	10	10	10	38	10	10	2	0	5	25	25	30	15	10	15	15	15	15	15	15	15	30	30	30	20	18	20	10	28	5	10	10	20	15	20	15	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	590	8	19	38	7	10	7	9	8	8	21	10	5	3	9	11	20	7	3	6	8	1	0	10	38	10	10	0	0	5	11	18	19	5	6	4	15	3	10	15	5	5	11	12	16	9	18	20	2	28	5	10	10	1	1	20	12	8					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	235	4	20	9	2	1	1	3	6	1	3	1	2	1	8	12	5	1	3	4	2	3	2	2	8	3	6	1	1	3	7	8	7	6	4	7	4	3	3	2	3	0	10	5	9	2	4	3	1	3	3	3	0	3	1	10	5	1					
14	Число погашенных неиспользованных открепительных удостоверений	340	7	11	6	0	5	8	2	7	7	1	5	5	7	11	9	0	8	7	4	2	9	10	0	0	0	0	2	0	0	14	7	11	10	4	11	0	12	5	0	10	10	19	18	14	11	0	0	8	0	0	0	0	19	14	0	3	7					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	70	4	5	4	2	3	3	2	4	2	3	2	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	2	6	1	2	1	0	0	2	0	2	0	0	0	0	1	6	0	1	2	0	0	0	0	2	1	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																
18	1.Политическая партия «Аграрная партия России»	1005	17	26	21	10	23	23	18	35	13	29	12	4	14	28	36	33	18	3	11	2	6	1	11	41	8	17	3	0	1	24	41	31	11	10	13	8	13	13	12	6	13	23	26	27	56	8	48	13	27	3	4	14	22	11	27	14	23					
		2.12%	1.92%	1.71%	1.68%	1.26%	2.89%	2.80%	3.00%	2.43%	1.57%	2.36%	1.88%	1.02%	3.04%	2.12%	2.58%	2.81%	1.74%	1.00%	2.14%	0.67%	2.35%	0.32%	2.42%	2.61%	1.28%	2.56%	1.11%	0.00%	0.88%	2.35%	3.32%	2.19%	2.06%	2.60%	1.94%	1.08%	1.70%	1.95%	1.28%	0.80%	1.98%	1.69%	1.35%	1.55%	4.61%	1.07%	3.49%	2.48%	2.37%	1.55%	2.88%	3.25%	1.68%	1.45%	2.36%	2.13%	2.42%					
19	2.Всероссийская политическая партия «Гражданская Сила»	193	4	13	9	1	4	2	1	12	5	14	2	4	0	6	4	11	9	0	1	0	0	2	1	5	3	2	1	0	1	10	2	4	1	3	0	2	1	2	4	4	0	5	4	7	4	1	2	4	2	0	0	2	1	2	1	2	6					
