Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																	
Дата голосования: 04.12.2011																																																																																	
																																																																																	
"Наименование Избирательной комиссии:    Новосибирск, Дзержинская  "																																																																																	
																																																																																	
Сводная таблица результатов выборов																																																																																	
																																																																																	
		Сумма	УИК №1442	УИК №1443	УИК №1444	УИК №1445	УИК №1446	УИК №1447	УИК №1448	УИК №1449	УИК №1450	УИК №1451	УИК №1452	УИК №1453	УИК №1454	УИК №1455	УИК №1456	УИК №1457	УИК №1458	УИК №1460	УИК №1461	УИК №1462	УИК №1463	УИК №1464	УИК №1465	УИК №1466	УИК №1467	УИК №1468	УИК №1469	УИК №1470	УИК №1471	УИК №1472	УИК №1473	УИК №1474	УИК №1475	УИК №1476	УИК №1477	УИК №1478	УИК №1479	УИК №1480	УИК №1481	УИК №1482	УИК №1483	УИК №1484	УИК №1485	УИК №1486	УИК №1487	УИК №1488	УИК №1489	УИК №1490	УИК №1491	УИК №1492	УИК №1493	УИК №1494	УИК №1495	УИК №1496	УИК №1497	УИК №1498	УИК №1499	УИК №1500	УИК №1501	УИК №1502	УИК №1503	УИК №1504	УИК №1505	УИК №1506	УИК №1507	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1514	УИК №1515	УИК №1516					
1	"Число избирателей, внесенных в список избирателей"	120570	1182	595	1962	1483	1499	2448	2534	2245	1981	1288	1695	1674	165	150	1525	1522	1521	973	1273	2097	1934	1365	1927	1506	1011	1348	1776	1290	1271	2274	2380	1356	1204	1163	569	1336	1198	1444	1783	1561	1362	1385	1609	1240	1845	1516	1794	2034	1925	2031	2183	1767	1938	1510	2126	2065	2205	2021	1694	1955	1759	1994	2057	1621	1600	175	1905	1699	1760	1281	1998	2584	2073	2351					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	117314	1100	500	1900	1500	1500	2500	2400	2100	1800	1200	1500	1500	170	150	1525	1300	1500	1000	1100	2000	2000	1300	2000	1500	1000	1300	1700	1300	1000	2300	2400	1300	1200	1100	500	1300	1200	1400	1700	1500	1300	1300	1500	1200	1800	1400	1800	2000	2000	2000	2100	1800	2000	1500	2100	2100	2200	2000	1700	2000	1700	2000	2000	1600	1600	169	1900	1600	1700	1200	2000	2500	2000	2300					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	59250	476	279	1034	753	593	1210	1313	1265	1032	489	565	481	165	134	1517	668	588	427	631	957	1049	625	1028	835	558	777	887	695	731	1313	1340	818	573	564	234	689	600	759	884	433	478	768	853	382	626	518	875	1015	1043	1097	1067	773	910	720	1007	1049	988	1030	901	987	876	1121	1168	827	783	169	842	781	658	542	969	1248	1056	1154					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2467	51	8	12	23	19	50	31	16	45	61	77	42	0	16	8	41	26	22	30	48	24	17	18	33	24	22	45	51	13	25	35	24	42	33	6	32	32	23	31	96	75	49	37	86	81	38	26	25	20	25	29	22	46	27	33	16	42	24	40	47	40	17	16	36	28	0	42	39	53	33	29	38	24	32					
6	Число погашенных избирательных бюллетеней	55597	573	213	854	724	888	1240	1056	819	723	650	858	977	5	0	0	591	886	551	439	995	927	658	954	632	418	501	768	554	256	962	1025	458	585	503	260	579	568	618	785	971	747	483	610	732	1093	844	899	960	937	878	1004	1005	1044	753	1060	1035	1170	946	759	966	784	862	816	737	789	0	1016	780	989	625	1002	1214	920	1114					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2467	51	8	12	23	19	50	31	16	45	61	77	42	0	16	8	41	26	22	30	48	24	17	18	33	24	22	45	51	13	25	35	24	42	33	6	32	32	23	31	96	75	49	37	86	81	38	26	25	20	25	29	22	46	27	33	16	42	24	40	47	40	17	16	36	28	0	42	39	53	33	29	38	24	32					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	59233	476	279	1034	753	593	1210	1313	1265	1032	489	565	481	165	134	1515	668	584	427	631	957	1049	625	1028	835	558	777	887	695	731	1310	1340	818	572	562	234	689	600	759	884	433	478	768	853	382	626	518	875	1015	1043	1097	1067	773	910	720	1007	1049	988	1030	901	987	876	1121	1166	826	783	169	842	781	658	542	969	1246	1056	1154					
9	Число недействительных избирательных бюллетеней	909	6	4	7	15	4	20	14	14	14	12	6	12	0	3	18	15	6	6	9	16	8	14	8	7	7	6	16	6	14	14	44	9	8	7	5	8	25	17	12	15	7	16	10	7	6	6	9	50	18	15	16	23	14	17	14	15	11	15	20	7	14	11	16	10	10	3	10	15	12	4	13	21	11	12					
10	Число действительных избирательных бюллетеней	60791	521	283	1039	761	608	1240	1330	1267	1063	538	636	511	165	147	1505	694	604	443	652	989	1065	628	1038	861	575	793	916	740	730	1321	1331	833	606	588	235	713	607	765	903	514	546	801	880	461	701	550	892	990	1045	1107	1080	772	942	730	1026	1050	1019	1039	921	1027	902	1127	1166	852	801	166	874	805	699	571	985	1263	1069	1174					
