Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																						
Дата голосования: 18.09.2016																																																						
																																																						
Наименование Избирательной комиссии:    Партизанская городская																																																						
																																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																																						
																																																						
		Сумма	УИК №2201	УИК №2202	УИК №2203	УИК №2204	УИК №2205	УИК №2206	УИК №2207	УИК №2208	УИК №2209	УИК №2210	УИК №2211	УИК №2212	УИК №2213	УИК №2214	УИК №2215	УИК №2216	УИК №2217	УИК №2218	УИК №2219	УИК №2220	УИК №2221	УИК №2222	УИК №2223	УИК №2224	УИК №2225	УИК №2226	УИК №2227	УИК №2228	УИК №2229	УИК №2230	УИК №2231	УИК №2232	УИК №2233	УИК №2234	УИК №2235	УИК №2236	УИК №2237	УИК №2238	УИК №2239	УИК №2240	УИК №2241	УИК №2242	УИК №2280									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	39210	814	1129	1171	610	145	910	1083	1029	602	1650	2051	1671	1770	534	438	946	1163	1565	706	1221	1757	1164	793	1351	1528	801	336	1533	1196	729	1253	860	977	820	1050	882	202	73	211	116	236	84	50									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	38880	800	1120	1170	600	150	910	1000	1000	600	1650	2000	1650	1750	530	430	940	1160	1560	710	1220	1770	1165	790	1340	1530	790	330	1540	1190	720	1250	860	970	820	1050	890	200	70	200	110	210	85	50									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	6	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	11444	297	408	365	157	63	263	278	237	251	542	696	506	438	155	98	245	374	523	258	235	511	290	216	401	468	203	60	389	333	187	452	194	277	227	364	186	54	13	78	31	86	35	0									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	554	7	9	20	11	6	9	8	8	6	11	14	32	18	2	0	10	9	27	2	5	6	18	1	15	6	6	2	28	13	27	25	20	22	47	20	22	3	1	4	0	22	6	26									
6	Число погашенных избирательных бюллетеней	26865	496	703	785	432	81	638	714	755	343	1097	1290	1112	1294	373	332	685	777	1010	450	980	1253	857	573	924	1056	581	268	1123	844	506	773	646	671	546	666	682	143	56	107	79	102	38	24									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	571	7	9	20	11	6	9	8	8	6	11	14	32	18	2	0	10	9	27	2	5	6	18	1	15	6	6	2	28	13	27	25	20	22	47	20	22	3	1	15	0	22	12	26									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	11442	297	408	365	157	63	263	278	237	251	542	696	506	438	155	98	245	374	523	258	235	511	290	216	401	468	203	60	387	333	187	452	194	277	227	364	186	54	13	78	31	86	35	0									
9	Число недействительных избирательных бюллетеней	430	13	11	5	6	9	13	8	8	11	23	21	20	18	7	2	6	13	16	6	10	29	9	9	16	27	8	1	11	20	1	15	8	9	6	16	12	2	0	0	1	4	0	0									
10	Число действительных избирательных бюллетеней	11583	291	406	380	162	60	259	278	237	246	530	689	518	438	150	96	249	370	534	254	230	488	299	208	400	447	201	61	404	326	213	462	206	290	268	368	196	55	14	93	30	104	47	26									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1150	25	40	40	20	5	40	35	35	20	45	50	45	45	20	20	25	40	40	20	40	45	35	20	35	40	45	15	15	45	15	30	25	20	15	30	20	5	5	10	10	10	10	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	200	2	5	5	5	0	6	6	1	7	13	19	10	6	1	1	1	8	12	4	6	14	9	4	2	9	0	1	10	7	4	3	0	2	3	1	4	0	2	0	0	1	6	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	174	7	2	0	10	17	4	2	1	2	3	3	9	9	3	2	5	5	17	0	3	0	2	4	8	5	4	2	1	3	6	1	1	3	0	3	2	0	3	2	2	13	5	0									
14	Число погашенных неиспользованных открепительных удостоверений	950	23	35	35	15	5	34	29	34	13	32	31	35	39	19	19	24	32	28	16	34	31	26	16	33	31	45	14	5	38	11	27	25	18	12	29	16	5	3	10	10	9	4	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	25	0	0	0	1	0	0	0	1	0	0	1	2	1	0	0	1	0	4	0	1	3	0	2	0	3	0	1	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	171	4	5	3	3	3	6	3	6	5	7	8	6	7	2	2	6	6	8	5	1	7	0	1	4	9	3	1	4	7	5	8	2	4	7	2	4	1	0	2	1	3	0	0									
		1.42%	1.32%	1.20%	0.78%	1.79%	4.35%	2.21%	1.05%	2.45%	1.95%	1.27%	1.13%	1.12%	1.54%	1.27%	2.04%	2.35%	1.57%	1.45%	1.92%	0.42%	1.35%	0.00%	0.46%	0.96%	1.90%	1.44%	1.61%	0.96%	2.02%	2.34%	1.68%	0.93%	1.34%	2.55%	0.52%	1.92%	1.75%	0.00%	2.15%	3.23%	2.78%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	656	16	28	13	2	5	12	11	11	13	28	47	30	30	11	8	12	14	29	20	16	31	14	16	21	20	16	5	22	21	12	18	17	18	17	28	9	2	0	4	1	3	4	1									
		5.46%	5.26%	6.71%	3.38%	1.19%	7.25%	4.41%	3.85%	4.49%	5.06%	5.06%	6.62%	5.58%	6.58%	7.01%	8.16%	4.71%	3.66%	5.27%	7.69%	6.67%	5.99%	4.55%	7.37%	5.05%	4.22%	7.66%	8.06%	5.30%	6.07%	5.61%	3.77%	7.94%	6.02%	6.20%	7.29%	4.33%	3.51%	0.00%	4.30%	3.23%	2.78%	8.51%	3.85%									
