Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																														
Дата голосования: 18.09.2016																																														
																																														
Наименование Избирательной комиссии:    Муромская																																														
																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																														
																																														
		Сумма	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	12946	130	220	88	313	273	163	278	539	144	362	533	187	259	403	194	564	468	213	657	155	755	432	177	233	506	776	777	418	327	168	346	299	295	517	777									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12220	125	200	85	300	250	150	250	500	150	325	500	175	250	375	195	525	450	200	600	150	725	425	175	225	450	750	725	400	300	175	300	275	290	500	750									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5335	31	134	16	120	137	75	82	218	87	199	283	77	142	167	106	198	256	61	229	40	329	126	73	83	235	401	259	145	154	34	135	112	91	203	297									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2041	57	25	44	85	20	31	61	56	10	45	32	27	35	55	20	106	70	32	132	77	45	103	22	45	94	65	91	65	44	86	70	47	60	78	106									
6	Число погашенных избирательных бюллетеней	4844	37	41	25	95	93	44	107	226	53	81	185	71	73	153	69	221	124	107	239	33	351	196	80	97	121	284	375	190	102	55	95	116	139	219	347									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2041	57	25	44	85	20	31	61	56	10	45	32	27	35	55	20	106	70	32	132	77	45	103	22	45	94	65	91	65	44	86	70	47	60	78	106									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5335	31	134	16	120	137	75	82	218	87	199	283	77	142	167	106	198	256	61	229	40	329	126	73	83	235	401	259	145	154	34	135	112	91	203	297									
9	Число недействительных избирательных бюллетеней	105	1	1	1	1	3	0	3	4	1	7	5	2	1	10	4	4	2	3	1	0	9	5	2	0	7	4	2	6	1	1	3	3	1	0	7									
10	Число действительных избирательных бюллетеней	7271	87	158	59	204	154	106	140	270	96	237	310	102	176	212	122	300	324	90	360	117	365	224	93	128	322	462	348	204	197	119	202	156	150	281	396									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	175	4	4	2	5	4	4	5	7	4	4	6	5	4	5	3	6	6	3	6	4	6	6	3	5	7	7	6	6	4	4	4	4	7	7	8									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	137	0	4	2	5	1	4	3	7	1	4	4	1	4	5	1	6	6	3	1	4	6	6	0	5	5	7	6	6	4	4	4	0	6	7	5									
