Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																							
Дата голосования: 02.12.2007																																							
																																							
Наименование Избирательной комиссии:    Кожевниковская																																							
																																							
Сводная таблица результатов выборов																																							
																																							
		Сумма	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523					
1	"Число избирателей, внесенных в списки избирателей"	16418	1779	1693	1460	1511	357	122	396	201	180	1075	105	911	280	393	188	577	336	432	315	286	306	307	347	827	151	301	149	296	322	473	177	165					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	15350	1600	1600	1300	1400	340	115	350	200	220	1000	102	850	250	350	190	550	300	400	300	270	280	280	320	800	150	300	142	300	300	450	175	166					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	10354	1011	974	682	691	286	93	283	170	168	569	76	595	142	264	150	397	222	293	210	232	205	207	297	496	127	258	142	222	246	378	127	141					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	888	48	76	62	75	8	0	21	3	12	68	6	34	42	22	7	43	29	27	19	12	33	36	5	82	13	16	0	19	36	15	8	11					
6	Число погашенных избирательных бюллетеней	4108	541	550	556	634	46	22	46	27	40	363	20	221	66	64	33	110	49	80	71	26	42	37	18	222	10	26	0	59	18	57	40	14					
7	Число избирательных бюллетеней в переносных ящиках для голосования	888	48	76	62	75	8	0	21	3	12	68	6	34	42	22	7	43	29	27	19	12	33	36	5	82	13	16	0	19	36	15	8	11					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	10351	1011	974	682	691	286	93	283	170	168	569	76	592	142	264	150	397	222	293	210	232	205	207	297	496	127	258	142	222	246	378	127	141					
9	Число недействительных избирательных бюллетеней	136	11	10	13	13	1	1	8	2	1	3	3	9	2	7	5	5	4	11	3	0	7	1	1	4	2	3	0	2	3	1	0	0					
10	Число действительных избирательных бюллетеней	11103	1048	1040	731	753	293	92	296	171	179	634	79	617	182	279	152	435	247	309	226	244	231	242	301	574	138	271	142	239	279	392	135	152					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	473	40	40	40	40	10	5	15	5	10	30	5	25	10	10	10	15	10	10	10	10	10	10	10	25	5	10	5	10	10	21	2	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	181	19	29	9	13	1	4	8	4	4	15	2	9	0	6	10	4	6	2	0	0	2	3	0	3	0	2	0	5	0	21	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	94	8	9	3	1	4	4	4	3	1	8	4	7	1	3	4	3	2	5	1	3	2	0	0	3	1	1	3	1	2	2	1	0					
14	Число погашенных неиспользованных открепительных удостоверений	292	21	11	31	27	9	1	7	1	6	15	3	16	10	4	0	11	4	8	10	10	8	7	10	22	5	8	5	5	10	0	2	5					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																							
18	1.Политическая партия «Аграрная партия России»	215	27	18	11	16	5	1	6	1	4	13	1	19	2	7	3	6	1	4	5	2	14	3	3	11	1	0	0	3	7	17	2	2					
		1.91%	2.55%	1.71%	1.48%	2.09%	1.70%	1.08%	1.97%	0.58%	2.22%	2.04%	1.22%	3.04%	1.09%	2.45%	1.91%	1.36%	0.40%	1.25%	2.18%	0.82%	5.88%	1.23%	0.99%	1.90%	0.71%	0.00%	0.00%	1.24%	2.48%	4.33%	1.48%	1.32%					
19	2.Всероссийская политическая партия «Гражданская Сила»	54	8	12	2	3	2	2	0	1	1	8	0	2	0	1	1	0	1	0	2	0	1	0	0	2	0	0	0	0	2	1	1	1					
