Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																															
Дата голосования: 18.09.2016																																															
																																															
Наименование Избирательной комиссии:    Пролетарская																																															
																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																															
																																															
		Сумма	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №802	УИК №803									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	75319	2192	2201	2441	2009	1919	2141	1989	2060	1804	2433	2301	2040	2551	2421	2351	217	2361	2847	2418	2430	2062	2622	1968	1532	2282	2580	2367	1309	2820	2579	2984	1231	2788	2613	296	160									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	73123	2100	2150	2350	1950	1850	2100	1950	2000	1750	2400	2250	1950	2500	2300	2250	217	2300	2750	2400	2400	2000	2500	1900	1500	2200	2500	2300	1250	2800	2500	2800	1200	2700	2600	296	160									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	60034	1589	1621	1333	1702	1705	1477	1653	1696	1373	1912	1824	1691	1853	2058	1992	156	1806	2280	2049	2033	1736	2379	1530	1286	1787	1917	1917	1085	2140	2019	2503	1110	1980	2386	296	160									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1510	21	166	90	27	33	52	13	7	19	20	42	34	28	37	31	61	11	24	24	33	14	7	38	12	31	58	43	17	265	191	32	12	9	8	0	0									
6	Число погашенных избирательных бюллетеней	11579	490	363	927	221	112	571	284	297	358	468	384	225	619	205	227	0	483	446	327	334	250	114	332	202	382	525	340	148	395	290	265	78	711	206	0	0									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1510	21	166	90	27	33	52	13	7	19	20	42	34	28	37	31	61	11	24	24	33	14	7	38	12	31	58	43	17	265	191	32	12	9	8	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	59998	1589	1621	1328	1702	1705	1477	1653	1696	1373	1912	1824	1691	1825	2058	1992	156	1806	2280	2049	2031	1736	2379	1530	1286	1786	1917	1917	1085	2140	2019	2503	1110	1980	2386	296	160									
9	Число недействительных избирательных бюллетеней	229	17	18	15	9	0	0	5	22	5	11	19	9	0	0	0	0	1	36	29	4	0	0	0	8	3	1	0	6	0	5	0	0	3	3	0	0									
10	Число действительных избирательных бюллетеней	61279	1593	1769	1403	1720	1738	1529	1661	1681	1387	1921	1847	1716	1853	2095	2023	217	1816	2268	2044	2060	1750	2386	1568	1290	1814	1974	1960	1096	2405	2205	2535	1122	1986	2391	296	160									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2800	85	85	85	85	70	85	70	70	70	85	85	70	90	85	85	5	85	110	85	85	85	90	70	70	85	85	85	70	110	90	115	70	110	90	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1557	25	66	50	43	66	53	31	38	33	56	40	38	67	46	37	0	61	47	74	55	44	66	32	23	47	44	46	35	57	42	48	28	55	64	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	763	21	25	25	19	10	27	7	8	21	9	6	19	33	13	47	7	21	20	9	10	14	22	18	10	36	19	5	10	5	22	40	15	37	4	79	70									
14	Число погашенных неиспользованных открепительных удостоверений	1243	60	19	35	42	4	32	39	32	37	29	45	32	23	39	48	5	24	63	11	30	41	24	38	47	38	41	39	35	53	48	67	42	55	26	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	104	2	4	5	1	4	1	1	4	2	3	3	3	1	2	2	0	6	5	2	3	1	4	6	4	1	3	7	0	4	7	1	0	6	6	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	183	8	8	15	3	7	7	9	4	3	0	1	0	10	13	0	0	9	16	7	3	0	4	8	2	5	0	3	1	10	1	17	0	7	2	0	0									
		0.30%	0.50%	0.45%	1.06%	0.17%	0.40%	0.46%	0.54%	0.23%	0.22%	0.00%	0.05%	0.00%	0.54%	0.62%	0.00%	0.00%	0.50%	0.69%	0.34%	0.15%	0.00%	0.17%	0.51%	0.15%	0.28%	0.00%	0.15%	0.09%	0.42%	0.05%	0.67%	0.00%	0.35%	0.08%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	214	11	6	16	7	3	3	8	5	6	0	2	8	12	11	0	0	6	15	23	2	0	2	3	0	7	0	3	2	4	0	35	0	10	3	1	0									
		0.35%	0.68%	0.34%	1.13%	0.40%	0.17%	0.20%	0.48%	0.29%	0.43%	0.00%	0.11%	0.46%	0.65%	0.53%	0.00%	0.00%	0.33%	0.65%	1.11%	0.10%	0.00%	0.08%	0.19%	0.00%	0.39%	0.00%	0.15%	0.18%	0.17%	0.00%	1.38%	0.00%	0.50%	0.13%	0.34%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	214	8	10	15	0	7	4	12	5	10	0	1	26	0	18	0	0	4	23	24	3	0	2	8	0	3	0	5	1	0	0	21	0	3	1	0	0									
		0.35%	0.50%	0.56%	1.06%	0.00%	0.40%	0.26%	0.72%	0.29%	0.72%	0.00%	0.05%	1.51%	0.00%	0.86%	0.00%	0.00%	0.22%	0.99%	1.16%	0.15%	0.00%	0.08%	0.51%	0.00%	0.17%	0.00%	0.26%	0.09%	0.00%	0.00%	0.83%	0.00%	0.15%	0.04%	0.00%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	47919	1263	1305	1007	1297	1504	1207	1278	1311	997	1402	1400	1274	1512	1641	1598	201	1399	1688	1486	1663	1330	2098	1160	1040	1361	1460	1510	875	1828	1750	1865	903	1830	2035	288	153									
		77.91%	78.45%	73.03%	71.02%	75.01%	86.54%	78.94%	76.71%	76.98%	71.62%	72.57%	75.03%	73.86%	81.60%	78.33%	78.99%	92.63%	76.99%	73.26%	71.68%	80.57%	76.00%	87.93%	73.98%	80.12%	74.90%	73.92%	77.04%	79.40%	76.01%	79.19%	73.57%	80.48%	92.01%	85.00%	97.30%	95.63%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	83	3	4	5	0	1	5	0	1	2	0	0	4	8	10	0	0	0	13	6	1	0	0	0	0	1	0	2	0	3	0	9	0	2	3	0	0									
		0.13%	0.19%	0.22%	0.35%	0.00%	0.06%	0.33%	0.00%	0.06%	0.14%	0.00%	0.00%	0.23%	0.43%	0.48%	0.00%	0.00%	0.00%	0.56%	0.29%	0.05%	0.00%	0.00%	0.00%	0.00%	0.06%	0.00%	0.10%	0.00%	0.12%	0.00%	0.36%	0.00%	0.10%	0.13%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	51	0	5	0	0	0	4	0	2	4	0	2	1	0	4	0	0	0	5	2	3	0	0	2	6	1	0	2	0	2	0	3	0	0	2	1	0									
		0.08%	0.00%	0.28%	0.00%	0.00%	0.00%	0.26%	0.00%	0.12%	0.29%	0.00%	0.11%	0.06%	0.00%	0.19%	0.00%	0.00%	0.00%	0.22%	0.10%	0.15%	0.00%	0.00%	0.13%	0.46%	0.06%	0.00%	0.10%	0.00%	0.08%	0.00%	0.12%	0.00%	0.00%	0.08%	0.34%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	4634	142	170	99	199	58	136	116	176	124	173	169	152	120	167	162	6	177	147	199	120	122	112	141	96	156	179	165	73	216	133	203	84	30	109	0	3									
		7.53%	8.82%	9.51%	6.98%	11.51%	3.34%	8.89%	6.96%	10.33%	8.91%	8.95%	9.06%	8.81%	6.48%	7.97%	8.01%	2.76%	9.74%	6.38%	9.60%	5.81%	6.97%	4.69%	8.99%	7.40%	8.59%	9.06%	8.42%	6.62%	8.98%	6.02%	8.01%	7.49%	1.51%	4.55%	0.00%	1.88%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	78	4	6	6	0	0	2	2	2	3	0	0	2	3	8	0	0	0	10	5	3	0	0	0	0	2	0	2	0	0	0	9	0	3	6	0	0									
		0.13%	0.25%	0.34%	0.42%	0.00%	0.00%	0.13%	0.12%	0.12%	0.22%	0.00%	0.00%	0.12%	0.16%	0.38%	0.00%	0.00%	0.00%	0.43%	0.24%	0.15%	0.00%	0.00%	0.00%	0.00%	0.11%	0.00%	0.10%	0.00%	0.00%	0.00%	0.36%	0.00%	0.15%	0.25%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	109	2	4	6	3	4	3	1	2	1	0	1	5	1	3	0	0	5	17	10	2	0	0	3	2	1	0	1	0	12	0	13	0	3	4	0	0									
		0.18%	0.12%	0.22%	0.42%	0.17%	0.23%	0.20%	0.06%	0.12%	0.07%	0.00%	0.05%	0.29%	0.05%	0.14%	0.00%	0.00%	0.28%	0.74%	0.48%	0.10%	0.00%	0.00%	0.19%	0.15%	0.06%	0.00%	0.05%	0.00%	0.50%	0.00%	0.51%	0.00%	0.15%	0.17%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	50	0	0	1	0	4	6	0	1	11	0	2	3	0	1	0	0	0	3	1	3	0	0	2	0	3	0	3	0	0	0	3	0	2	1	0	0									
		0.08%	0.00%	0.00%	0.07%	0.00%	0.23%	0.39%	0.00%	0.06%	0.79%	0.00%	0.11%	0.17%	0.00%	0.05%	0.00%	0.00%	0.00%	0.13%	0.05%	0.15%	0.00%	0.00%	0.13%	0.00%	0.17%	0.00%	0.15%	0.00%	0.00%	0.00%	0.12%	0.00%	0.10%	0.04%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	273	4	4	11	3	1	18	8	6	4	39	4	11	0	11	0	0	5	16	13	4	0	0	5	0	5	59	2	3	4	2	19	0	5	7	0	0									
		0.44%	0.25%	0.22%	0.78%	0.17%	0.06%	1.18%	0.48%	0.35%	0.29%	2.02%	0.21%	0.64%	0.00%	0.53%	0.00%	0.00%	0.28%	0.69%	0.63%	0.19%	0.00%	0.00%	0.32%	0.00%	0.28%	2.99%	0.10%	0.27%	0.17%	0.09%	0.75%	0.00%	0.25%	0.29%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	4781	77	126	103	147	57	58	160	94	139	211	185	186	65	111	182	6	130	169	128	144	210	115	171	94	178	197	186	96	249	234	252	112	65	139	4	1									
		7.77%	4.78%	7.05%	7.26%	8.50%	3.28%	3.79%	9.60%	5.52%	9.99%	10.92%	9.91%	10.78%	3.51%	5.30%	8.99%	2.76%	7.15%	7.34%	6.17%	6.98%	12.00%	4.82%	10.91%	7.24%	9.80%	9.97%	9.49%	8.71%	10.35%	10.59%	9.94%	9.98%	3.27%	5.81%	1.35%	0.63%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	120	1	12	8	2	0	15	17	2	14	0	1	2	1	6	1	0	1	1	0	7	0	4	2	0	3	0	2	1	5	0	5	0	3	3	0	1									
		0.20%	0.06%	0.67%	0.56%	0.12%	0.00%	0.98%	1.02%	0.12%	1.01%	0.00%	0.05%	0.12%	0.05%	0.29%	0.05%	0.00%	0.06%	0.04%	0.00%	0.34%	0.00%	0.17%	0.13%	0.00%	0.17%	0.00%	0.10%	0.09%	0.21%	0.00%	0.20%	0.00%	0.15%	0.13%	0.00%	0.63%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2570	70	109	111	59	92	61	50	70	69	96	79	42	121	91	80	4	80	145	140	102	88	49	63	50	88	79	74	44	72	85	81	23	23	76	2	2									
		4.18%	4.35%	6.10%	7.83%	3.41%	5.29%	3.99%	3.00%	4.11%	4.96%	4.97%	4.23%	2.43%	6.53%	4.34%	3.95%	1.84%	4.40%	6.29%	6.75%	4.94%	5.03%	2.05%	4.02%	3.85%	4.84%	4.00%	3.78%	3.99%	2.99%	3.85%	3.20%	2.05%	1.16%	3.17%	0.68%	1.25%									
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
