Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																													
Дата голосования: 18.09.2016																																																													
																																																													
Наименование Избирательной комиссии:    Зубово-Полянская																																																													
																																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																																													
																																																													
		Сумма	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	32350	1580	1758	1107	1792	932	526	504	397	551	323	409	287	248	244	454	400	496	137	312	255	101	294	826	729	361	727	366	641	321	498	462	1057	1160	77	876	384	427	77	761	425	529	1544	1537	1134	975	947	961	325	491	625									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	33000	1600	1770	1120	1760	946	537	510	403	558	333	415	289	257	253	466	409	514	144	321	262	102	300	830	750	366	760	388	657	328	507	471	1100	1210	81	892	407	439	80	775	436	549	1590	1550	1137	994	986	980	332	502	634									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	28295	1321	1515	934	1547	830	458	394	359	470	278	348	245	209	211	377	351	417	127	290	233	92	253	776	651	310	633	302	587	290	436	393	819	1032	67	802	344	355	69	697	361	454	1365	1263	1012	870	857	930	315	491	555									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1259	85	55	74	76	18	10	24	5	15	20	27	16	17	14	29	14	35	0	0	0	0	19	6	17	15	29	33	29	3	20	35	101	24	4	14	10	29	0	19	26	27	40	151	14	18	15	12	0	0	15									
6	Число погашенных избирательных бюллетеней	3446	194	200	112	137	98	69	92	39	73	35	40	28	31	28	60	44	62	17	31	29	10	28	48	82	41	98	53	41	35	51	43	180	154	10	76	53	55	11	59	49	68	185	136	111	106	114	38	17	11	64									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1259	85	55	74	76	18	10	24	5	15	20	27	16	17	14	29	14	35	0	0	0	0	19	6	17	15	29	33	29	3	20	35	101	24	4	14	10	29	0	19	26	27	40	151	14	18	15	12	0	0	15									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	28294	1321	1515	934	1547	830	458	394	359	470	278	348	245	209	210	377	351	417	127	290	233	92	253	776	651	310	633	302	587	290	436	393	819	1032	67	802	344	355	69	697	361	454	1365	1263	1012	870	857	930	315	491	555									
9	Число недействительных избирательных бюллетеней	28	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	9	0	4	6	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	29525	1406	1566	1008	1623	848	468	418	364	485	298	375	261	226	224	406	365	452	127	290	233	92	272	782	668	325	662	335	616	293	456	428	920	1056	71	816	354	382	69	716	387	478	1396	1414	1022	882	872	942	315	491	570									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	329	20	25	15	15	14	3	8	3	10	3	5	5	2	3	5	3	3	3	3	3	2	3	5	5	3	5	20	5	3	5	5	8	8	3	5	5	5	1	5	4	8	8	10	8	8	8	8	5	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	191	10	15	8	10	0	3	7	0	10	1	0	1	1	0	1	2	0	3	3	3	0	1	2	5	3	5	16	5	3	4	1	8	8	0	5	1	0	0	5	2	3	5	9	8	4	3	2	1	1	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	35	6	0	2	1	4	0	0	0	0	0	0	2	1	0	2	0	0	0	0	0	0	1	3	1	0	1	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	138	10	10	7	5	14	0	1	3	0	2	5	4	1	3	4	1	3	0	0	0	2	2	3	0	0	0	4	0	0	1	4	0	0	3	0	4	5	1	0	2	5	3	1	0	4	5	6	4	4	2									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	71	5	3	4	4	4	0	1	0	3	0	0	0	0	1	3	0	0	1	0	0	0	0	2	4	0	4	0	7	1	2	1	1	2	0	0	0	2	0	0	0	2	6	2	1	0	0	2	0	0	3									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	27	3	0	7	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	2	2	1	0	0	0	0	0	0	0	1	0	3	1	0	0	0	0	0									
		0.09%	0.21%	0.00%	0.69%	0.00%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.82%	0.00%	0.00%	0.00%	0.43%	0.00%	0.74%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%	0.19%	1.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.07%	0.00%	0.29%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	137	4	0	4	0	0	23	0	3	0	0	0	6	0	0	7	0	0	0	0	0	0	0	42	0	0	0	7	0	0	0	2	0	5	1	3	0	2	0	0	0	0	10	2	8	5	0	0	0	0	3									
		0.46%	0.28%	0.00%	0.40%	0.00%	0.00%	4.91%	0.00%	0.82%	0.00%	0.00%	0.00%	2.30%	0.00%	0.00%	1.72%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	5.37%	0.00%	0.00%	0.00%	2.09%	0.00%	0.00%	0.00%	0.47%	0.00%	0.47%	1.41%	0.37%	0.00%	0.52%	0.00%	0.00%	0.00%	0.00%	0.71%	0.14%	0.78%	0.56%	0.00%	0.00%	0.00%	0.00%	0.53%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	41	14	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	1	1	5	3	0	2	0	0	3									
		0.14%	0.99%	0.00%	0.20%	0.00%	0.12%	0.00%	0.00%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.43%	0.00%	1.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.07%	0.07%	0.49%	0.34%	0.00%	0.21%	0.00%	0.00%	0.53%									
