Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																														
Дата голосования: 18.09.2016																														
																														
Наименование Избирательной комиссии:    Новозыбковская городская																														
																														
Сводная таблица итогов голосования по федеральному избирательному округу																														
																														
		Сумма	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	34023	1233	1417	2687	2724	1517	2413	1406	1278	1056	1328	2409	2468	1835	1443	1438	1439	2845	1724	1363									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	30250	1000	1200	2500	2500	1200	2000	1200	1150	1000	1100	2200	2300	1600	1300	1300	1200	2600	1700	1200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	13339	471	501	1193	1106	606	1012	600	579	409	560	1047	844	589	575	512	740	952	504	539									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1341	20	13	40	60	31	233	26	13	19	43	20	42	302	12	41	47	79	276	24									
6	Число погашенных избирательных бюллетеней	15570	509	686	1267	1334	563	755	574	558	572	497	1133	1414	709	713	747	413	1569	920	637									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1341	20	13	40	60	31	233	26	13	19	43	20	42	302	12	41	47	79	276	24									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	13339	471	501	1193	1106	606	1012	600	579	409	560	1047	844	589	575	512	740	952	504	539									
9	Число недействительных избирательных бюллетеней	388	7	23	22	31	17	23	22	19	8	12	20	30	18	12	11	25	40	35	13									
10	Число действительных избирательных бюллетеней	14292	484	491	1211	1135	620	1222	604	573	420	591	1047	856	873	575	542	762	991	745	550									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	122	6	6	7	9	6	7	6	7	6	6	9	7	6	2	6	6	7	7	6									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	70	5	2	7	8	1	5	1	0	2	5	8	4	0	2	0	4	7	3	6									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	39	2	1	1	4	1	2	0	1	4	3	3	1	3	2	3	6	1	1	0									
14	Число погашенных неиспользованных открепительных удостоверений	52	1	4	0	1	5	2	5	7	4	1	1	3	6	0	6	2	0	4	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	77	1	5	10	1	4	8	1	0	3	6	3	3	3	8	1	4	6	4	6									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																														
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	234	1	7	23	11	14	13	6	20	9	13	15	11	16	16	7	3	13	15	21									
		1.59%	0.20%	1.36%	1.87%	0.94%	2.20%	1.04%	0.96%	3.38%	2.10%	2.16%	1.41%	1.24%	1.80%	2.73%	1.27%	0.38%	1.26%	1.92%	3.73%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	384	16	19	27	18	18	29	17	14	20	16	21	18	26	19	23	13	29	19	22									
		2.62%	3.26%	3.70%	2.19%	1.54%	2.83%	2.33%	2.72%	2.36%	4.67%	2.65%	1.97%	2.03%	2.92%	3.24%	4.16%	1.65%	2.81%	2.44%	3.91%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	333	16	12	40	22	22	17	16	15	10	14	9	31	13	9	10	26	12	23	16									
		2.27%	3.26%	2.33%	3.24%	1.89%	3.45%	1.37%	2.56%	2.53%	2.34%	2.32%	0.84%	3.50%	1.46%	1.53%	1.81%	3.30%	1.16%	2.95%	2.84%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	7076	189	223	572	630	272	657	262	299	180	255	651	395	479	284	265	469	452	312	230									
		48.20%	38.49%	43.39%	46.39%	54.03%	42.70%	52.77%	41.85%	50.51%	42.06%	42.29%	61.01%	44.58%	53.76%	48.38%	47.92%	59.59%	43.84%	40.00%	40.85%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	84	6	3	6	10	4	7	8	2	3	4	3	8	6	3	0	4	1	5	1									
		0.57%	1.22%	0.58%	0.49%	0.86%	0.63%	0.56%	1.28%	0.34%	0.70%	0.66%	0.28%	0.90%	0.67%	0.51%	0.00%	0.51%	0.10%	0.64%	0.18%									
24	"6. Политическая партия ""Гражданская Платформа"""	23	0	0	1	4	0	1	1	2	0	2	0	0	2	0	1	1	1	6	1									
		0.16%	0.00%	0.00%	0.08%	0.34%	0.00%	0.08%	0.16%	0.34%	0.00%	0.33%	0.00%	0.00%	0.22%	0.00%	0.18%	0.13%	0.10%	0.77%	0.18%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2422	109	109	180	141	93	168	82	94	65	97	137	173	149	101	102	110	218	205	89									
		16.50%	22.20%	21.21%	14.60%	12.09%	14.60%	13.49%	13.10%	15.88%	15.19%	16.09%	12.84%	19.53%	16.72%	17.21%	18.44%	13.98%	21.14%	26.28%	15.81%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	75	1	5	5	0	11	15	7	5	0	3	2	4	1	1	0	2	3	8	2									
		0.51%	0.20%	0.97%	0.41%	0.00%	1.73%	1.20%	1.12%	0.84%	0.00%	0.50%	0.19%	0.45%	0.11%	0.17%	0.00%	0.25%	0.29%	1.03%	0.36%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	91	3	4	3	10	5	8	5	3	4	6	5	4	5	3	9	2	8	3	1									
		0.62%	0.61%	0.78%	0.24%	0.86%	0.78%	0.64%	0.80%	0.51%	0.93%	0.99%	0.47%	0.45%	0.56%	0.51%	1.63%	0.25%	0.78%	0.38%	0.18%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	20	0	3	3	2	0	1	1	2	0	0	0	1	1	1	0	0	2	1	2									
		0.14%	0.00%	0.58%	0.24%	0.17%	0.00%	0.08%	0.16%	0.34%	0.00%	0.00%	0.00%	0.11%	0.11%	0.17%	0.00%	0.00%	0.19%	0.13%	0.36%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	135	6	1	16	13	6	13	7	11	6	9	10	4	3	3	3	3	5	10	6									
		0.92%	1.22%	0.19%	1.30%	1.11%	0.94%	1.04%	1.12%	1.86%	1.40%	1.49%	0.94%	0.45%	0.34%	0.51%	0.54%	0.38%	0.48%	1.28%	1.07%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2411	104	84	217	192	115	201	117	70	91	128	128	165	126	83	93	93	193	104	107									
		16.42%	21.18%	16.34%	17.60%	16.47%	18.05%	16.14%	18.69%	11.82%	21.26%	21.23%	11.99%	18.62%	14.14%	14.14%	16.82%	11.82%	18.72%	13.33%	19.01%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	67	1	1	6	9	4	2	6	2	5	1	3	4	7	4	3	0	5	2	2									
		0.46%	0.20%	0.19%	0.49%	0.77%	0.63%	0.16%	0.96%	0.34%	1.17%	0.17%	0.28%	0.45%	0.79%	0.68%	0.54%	0.00%	0.48%	0.26%	0.36%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	937	32	20	112	73	56	90	69	34	27	43	63	38	39	48	26	36	49	32	50									
		6.38%	6.52%	3.89%	9.08%	6.26%	8.79%	7.23%	11.02%	5.74%	6.31%	7.13%	5.90%	4.29%	4.38%	8.18%	4.70%	4.57%	4.75%	4.10%	8.88%									
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
