Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																	
Дата голосования: 18.09.2016																	
																	
Наименование Избирательной комиссии:    Яровская городская																	
																	
Сводная таблица итогов голосования по федеральному избирательному округу																	
																	
		Сумма	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	13985	2361	2308	2158	2258	2377	2523									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12000	2000	2000	2000	2000	2000	2000									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6115	1133	1015	888	999	957	1123									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	196	36	41	29	29	28	33									
6	Число погашенных избирательных бюллетеней	5689	831	944	1083	972	1015	844									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	196	36	41	29	29	28	33									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6111	1132	1015	885	999	957	1123									
9	Число недействительных избирательных бюллетеней	169	21	21	26	21	32	48									
10	Число действительных избирательных бюллетеней	6138	1147	1035	888	1007	953	1108									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	75	15	10	15	10	15	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	51	13	5	11	6	12	4									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	26	10	1	2	8	4	1									
14	Число погашенных неиспользованных открепительных удостоверений	24	2	5	4	4	3	6									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	16	2	1	3	4	2	4									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0									
																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	57	13	6	2	15	5	16									
		0.90%	1.11%	0.57%	0.22%	1.46%	0.51%	1.38%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	181	28	32	27	25	35	34									
		2.87%	2.40%	3.03%	2.95%	2.43%	3.55%	2.94%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	142	26	22	20	23	19	32									
		2.25%	2.23%	2.08%	2.19%	2.24%	1.93%	2.77%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2083	382	343	299	355	319	385									
		33.03%	32.71%	32.48%	32.71%	34.53%	32.39%	33.30%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	39	9	7	4	5	6	8									
		0.62%	0.77%	0.66%	0.44%	0.49%	0.61%	0.69%									
24	"6. Политическая партия ""Гражданская Платформа"""	7	1	0	3	1	1	1									
		0.11%	0.09%	0.00%	0.33%	0.10%	0.10%	0.09%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1325	246	200	202	223	214	240									
		21.01%	21.06%	18.94%	22.10%	21.69%	21.73%	20.76%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	17	6	1	2	2	0	6									
		0.27%	0.51%	0.09%	0.22%	0.19%	0.00%	0.52%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	69	8	13	7	10	10	21									
		1.09%	0.68%	1.23%	0.77%	0.97%	1.02%	1.82%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	6	2	1	0	0	2	1									
		0.10%	0.17%	0.09%	0.00%	0.00%	0.20%	0.09%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	79	15	12	8	14	16	14									
		1.25%	1.28%	1.14%	0.88%	1.36%	1.62%	1.21%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1080	207	221	120	173	174	185									
		17.12%	17.72%	20.93%	13.13%	16.83%	17.66%	16.00%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	23	3	2	5	2	6	5									
		0.36%	0.26%	0.19%	0.55%	0.19%	0.61%	0.43%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1030	201	175	189	159	146	160									
		16.33%	17.21%	16.57%	20.68%	15.47%	14.82%	13.84%									
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
