Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																							
Дата голосования: 04.12.2011																																							
																																							
"Наименование Избирательной комиссии:    Курск, Железнодорожная"																																							
																																							
Сводная таблица результатов выборов																																							
																																							
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32					
1	"Число избирателей, внесенных в список избирателей"	56641	2010	2053	1361	2650	1359	1431	2380	1116	2012	2004	2078	2056	1519	2061	2056	1993	2077	2018	2242	2157	1576	2059	2138	2225	2063	1072	737	1976	2504	54	1557	47					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	51225	1824	1841	1229	2405	1230	1302	2157	984	1823	1822	1871	1853	1374	1884	1870	1838	1883	1802	2053	1804	1399	1868	1924	2003	1836	950	654	1795	2309	200	1391	47					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	24880	936	979	573	1221	598	576	1082	571	968	830	852	806	708	916	939	884	1040	1015	812	822	549	740	901	922	756	449	378	921	1240	54	812	30					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1197	22	41	26	43	43	25	13	12	19	67	55	46	25	29	46	43	31	35	109	27	22	68	56	59	71	38	24	34	26	0	25	17					
6	Число погашенных избирательных бюллетеней	25148	866	821	630	1141	589	701	1062	401	836	925	964	1001	641	939	885	911	812	752	1132	955	828	1060	967	1022	1009	463	252	840	1043	146	554	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1196	22	40	26	43	43	25	13	12	19	67	55	46	25	29	46	43	31	35	109	27	22	68	56	59	71	38	24	34	26	0	25	17					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	24876	936	979	573	1219	598	576	1082	571	968	830	852	806	708	916	939	884	1040	1015	812	822	549	740	901	922	756	449	378	919	1240	54	812	30					
9	Число недействительных избирательных бюллетеней	393	12	12	25	21	9	10	12	8	10	15	14	15	23	13	14	11	16	13	10	11	7	16	10	21	10	6	6	13	15	1	14	0					
10	Число действительных избирательных бюллетеней	25679	946	1007	574	1241	632	591	1083	575	977	882	893	837	710	932	971	916	1055	1037	911	838	564	792	947	960	817	481	396	940	1251	53	823	47					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1032	40	45	25	45	20	40	55	20	38	20	30	30	25	50	45	40	25	20	40	45	30	35	35	35	30	10	15	39	70	0	35	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	897	31	37	24	44	16	35	44	20	34	20	20	23	22	44	43	37	25	19	31	39	22	28	26	29	25	10	12	35	70	0	32	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	637	14	36	23	23	17	19	23	43	20	7	15	15	8	12	21	6	18	43	6	5	10	11	19	38	43	24	18	14	18	28	40	0					
14	Число погашенных неиспользованных открепительных удостоверений	135	9	8	1	1	4	5	11	0	4	0	10	7	3	6	2	3	0	1	9	6	8	7	9	6	5	0	3	4	0	0	3	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	23	2	2	1	0	1	0	0	1	1	2	0	0	0	1	2	1	1	0	0	0	1	2	1	1	1	0	0	0	1	0	1	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																							
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	5355	196	212	105	255	119	140	226	105	207	212	210	211	153	179	171	213	225	228	184	177	116	166	206	147	134	120	59	214	282	7	169	7					
		20.54%	20.46%	20.80%	17.53%	20.21%	18.56%	23.29%	20.64%	18.01%	20.97%	23.63%	23.15%	24.77%	20.87%	18.94%	17.36%	22.98%	21.01%	21.71%	19.98%	20.85%	20.32%	20.54%	21.53%	14.98%	16.20%	24.64%	14.68%	22.46%	22.27%	12.96%	20.19%	14.89%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	3773	151	139	107	207	75	88	155	89	147	135	123	122	85	137	146	113	152	135	150	113	68	139	147	176	147	55	81	110	178	12	87	4					
		14.47%	15.76%	13.64%	17.86%	16.40%	11.70%	14.64%	14.16%	15.27%	14.89%	15.05%	13.56%	14.32%	11.60%	14.50%	14.82%	12.19%	14.19%	12.86%	16.29%	13.31%	11.91%	17.20%	15.36%	17.94%	17.78%	11.29%	20.15%	11.54%	14.06%	22.22%	10.39%	8.51%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	519	16	28	15	22	4	10	30	21	20	14	16	13	10	17	29	21	20	15	14	17	4	19	26	18	13	12	3	21	34	1	14	2					
		1.99%	1.67%	2.75%	2.50%	1.74%	0.62%	1.66%	2.74%	3.60%	2.03%	1.56%	1.76%	1.53%	1.36%	1.80%	2.94%	2.27%	1.87%	1.43%	1.52%	2.00%	0.70%	2.35%	2.72%	1.83%	1.57%	2.46%	0.75%	2.20%	2.69%	1.85%	1.67%	4.26%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	6428	246	259	144	320	164	132	253	150	245	196	182	192	191	249	259	255	314	286	218	225	170	191	210	210	171	104	64	221	355	16	224	12					
		24.65%	25.68%	25.42%	24.04%	25.36%	25.59%	21.96%	23.11%	25.73%	24.82%	21.85%	20.07%	22.54%	26.06%	26.35%	26.29%	27.51%	29.32%	27.24%	23.67%	26.50%	29.77%	23.64%	21.94%	21.41%	20.68%	21.36%	15.92%	23.19%	28.04%	29.63%	26.76%	25.53%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1011	39	46	22	58	30	17	57	18	40	28	38	22	29	39	37	36	39	40	28	38	16	33	24	35	41	18	15	39	50	3	36	0					
		3.88%	4.07%	4.51%	3.67%	4.60%	4.68%	2.83%	5.21%	3.09%	4.05%	3.12%	4.19%	2.58%	3.96%	4.13%	3.76%	3.88%	3.64%	3.81%	3.04%	4.48%	2.80%	4.08%	2.51%	3.57%	4.96%	3.70%	3.73%	4.09%	3.95%	5.56%	4.30%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	8404	288	317	178	369	228	200	351	190	313	294	313	277	237	306	318	273	300	329	309	263	184	236	327	366	307	171	166	325	348	14	286	21					
		32.23%	30.06%	31.11%	29.72%	29.24%	35.57%	33.28%	32.05%	32.59%	31.71%	32.78%	34.51%	32.51%	32.33%	32.38%	32.28%	29.45%	28.01%	31.33%	33.55%	30.98%	32.22%	29.21%	34.17%	37.31%	37.12%	35.11%	41.29%	34.10%	27.49%	25.93%	34.17%	44.68%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	189	10	6	3	10	12	4	11	2	5	3	11	0	5	5	11	5	5	4	8	5	6	8	7	8	4	1	8	10	4	0	7	1					
		0.72%	1.04%	0.59%	0.50%	0.79%	1.87%	0.67%	1.00%	0.34%	0.51%	0.33%	1.21%	0.00%	0.68%	0.53%	1.12%	0.54%	0.47%	0.38%	0.87%	0.59%	1.05%	0.99%	0.73%	0.82%	0.48%	0.21%	1.99%	1.05%	0.32%	0.00%	0.84%	2.13%					
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
