Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																															
Дата голосования: 04.12.2011																																																																															
																																																																															
"Наименование Избирательной комиссии:    Челябинск, Курчатовская"																																																																															
																																																																															
Сводная таблица результатов выборов																																																																															
																																																																															
		Сумма	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №2253					
1	"Число избирателей, внесенных в список избирателей"	143570	2079	2465	1977	2490	1701	1621	2586	2271	2164	1528	2064	1659	1808	1655	1818	1661	1594	1819	1662	2280	1828	2291	2483	2270	2247	2293	2435	2289	2266	2108	2503	1607	1766	1751	1977	1747	1514	2097	1979	1885	1151	1958	2019	2094	1975	1917	2288	2017	1804	1927	1967	1728	1643	1631	1955	1724	2186	2427	1127	1051	2687	2701	2062	1842	1699	1914	2346	1996	1976	2533	3358	1629					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	131250	1700	2150	1850	1900	1350	1500	2400	2000	2000	1400	1900	1550	1650	1550	1600	1400	1350	1600	1450	2100	1850	2050	2350	1950	2100	2050	2200	2100	2100	1950	2300	1650	1650	2200	1850	1600	1350	1950	1850	1750	1050	1800	1850	1900	1900	1850	2100	1850	1650	1750	1800	1600	1550	1550	1850	1550	2000	2150	1000	950	2450	2400	1850	1750	1600	1750	2250	1850	1850	2250	2900	1400					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	87634	1084	1069	951	1405	1000	1061	1315	1095	1121	787	909	1150	1328	1165	1096	1041	1116	1184	1090	1220	971	1320	1383	1308	1248	1627	1346	1356	1345	1235	1427	1523	1030	1608	1041	953	1130	1170	1215	1166	643	1194	1188	1227	1742	1515	1618	1086	1199	1228	1392	1381	1228	1091	1089	1052	1186	1429	487	853	1486	1630	1339	1331	986	1027	1279	1164	1245	1235	2501	994					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	7622	35	75	283	31	37	139	130	191	104	31	200	206	84	152	138	131	74	95	96	31	82	245	92	141	140	123	49	149	118	88	29	84	122	143	66	99	81	87	85	86	12	264	138	232	124	239	92	115	130	117	105	54	118	36	27	20	67	112	56	40	63	56	26	20	69	78	110	135	110	138	131	216					
6	Число погашенных избирательных бюллетеней	35970	581	1006	616	464	313	300	955	714	775	582	791	194	238	233	366	228	160	321	264	849	797	485	875	501	712	300	805	595	637	627	844	43	496	449	743	548	139	693	550	498	395	342	524	441	34	96	390	649	321	405	303	163	204	423	734	478	747	609	457	57	901	714	485	399	545	645	861	551	495	877	248	190					
7	Число избирательных бюллетеней в переносных ящиках для голосования	7621	35	75	283	31	37	139	130	191	104	31	200	206	84	152	138	131	74	95	96	31	82	245	92	141	140	123	49	149	118	88	29	84	122	143	66	99	81	87	85	86	12	264	138	232	124	239	92	115	130	117	105	54	118	36	27	20	67	112	56	40	63	56	26	20	69	78	110	134	110	138	131	216					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	87474	1084	1069	951	1405	997	1061	1315	1095	1120	787	909	1150	1328	1165	1096	1041	1116	1184	1090	1218	971	1317	1383	1305	1248	1627	1345	1356	1343	1235	1427	1523	1030	1608	1041	953	1130	1170	1215	1166	643	1194	1188	1227	1742	1515	1618	1086	1069	1228	1392	1381	1228	1091	1089	1052	1184	1429	487	853	1484	1630	1339	1331	986	1027	1278	1164	1243	1235	2501	986					
9	Число недействительных избирательных бюллетеней	1328	16	11	0	20	20	16	30	22	12	22	17	21	29	24	23	21	19	24	10	26	17	19	25	15	16	25	32	22	16	19	18	14	24	15	14	13	12	15	15	0	9	11	23	11	21	22	28	23	0	24	34	16	17	20	14	20	17	18	11	3	20	20	23	18	14	11	12	21	27	21	55	15					
10	Число действительных избирательных бюллетеней	93767	1103	1133	1234	1416	1014	1184	1415	1264	1212	796	1092	1335	1383	1293	1211	1151	1171	1255	1176	1223	1036	1543	1450	1431	1372	1725	1362	1483	1445	1304	1438	1593	1128	1736	1093	1039	1199	1242	1285	1252	646	1447	1303	1448	1845	1732	1682	1178	1199	1321	1463	1419	1329	1107	1102	1052	1234	1523	532	890	1527	1666	1342	1333	1041	1094	1376	1277	1326	1352	2577	1187					
