Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																							
Дата голосования: 04.12.2011																							
																							
Наименование Избирательной комиссии:    Вилючинская 																							
																							
Сводная таблица результатов выборов																							
																							
		Сумма	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100					
1	"Число избирателей, внесенных в список избирателей"	17989	1195	170	1045	1170	1132	1069	1565	1024	1167	1210	1149	1167	1209	1372	1105	1240					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	16900	1150	150	1000	1050	1050	1000	1500	900	1100	1200	1100	1150	1150	1200	1000	1200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	10592	632	105	565	695	597	651	1147	768	634	685	619	678	694	753	739	630					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	125	10	0	5	5	6	6	6	12	13	12	18	7	5	5	9	6					
6	Число погашенных избирательных бюллетеней	6183	508	45	430	350	447	343	347	120	453	503	463	465	451	442	252	564					
7	Число избирательных бюллетеней в переносных ящиках для голосования	125	10	0	5	5	6	6	6	12	13	12	18	7	5	5	9	6					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	10586	632	105	564	695	597	651	1147	764	634	685	619	678	694	752	739	630					
9	Число недействительных избирательных бюллетеней	252	9	1	19	17	20	10	32	17	19	17	12	11	18	13	20	17					
10	Число действительных избирательных бюллетеней	10459	633	104	550	683	583	647	1121	759	628	680	625	674	681	744	728	619					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	217	6	3	5	35	20	25	55	22	5	5	5	5	5	5	10	6					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	194	5	2	2	32	18	22	54	21	2	2	5	4	5	4	10	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	253	2	0	1	64	20	31	64	45	2	0	1	0	2	12	6	3					
14	Число погашенных неиспользованных открепительных удостоверений	23	1	1	3	3	2	3	1	1	3	3	0	1	0	1	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	281	2	1	0	72	30	29	61	78	1	1	0	0	1	1	4	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																							
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	868	69	4	62	39	33	56	70	46	54	61	58	66	77	74	51	48					
		8.10%	10.75%	3.81%	10.90%	5.57%	5.47%	8.52%	6.07%	5.93%	8.35%	8.75%	9.11%	9.64%	11.02%	9.78%	6.82%	7.55%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	2428	137	15	116	165	140	144	244	172	148	157	149	141	145	176	215	164					
		22.67%	21.34%	14.29%	20.39%	23.57%	23.22%	21.92%	21.16%	22.16%	22.87%	22.53%	23.39%	20.58%	20.74%	23.25%	28.74%	25.79%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	195	12	0	5	18	16	13	22	11	13	8	6	18	19	11	11	12					
		1.82%	1.87%	0.00%	0.88%	2.57%	2.65%	1.98%	1.91%	1.42%	2.01%	1.15%	0.94%	2.63%	2.72%	1.45%	1.47%	1.89%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1921	134	17	104	109	102	126	181	90	119	143	133	130	157	169	89	118					
		17.93%	20.87%	16.19%	18.28%	15.57%	16.92%	19.18%	15.70%	11.60%	18.39%	20.52%	20.88%	18.98%	22.46%	22.32%	11.90%	18.55%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	337	17	2	19	9	12	14	30	15	31	28	26	34	31	28	21	20					
		3.15%	2.65%	1.90%	3.34%	1.29%	1.99%	2.13%	2.60%	1.93%	4.79%	4.02%	4.08%	4.96%	4.43%	3.70%	2.81%	3.14%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4638	258	64	241	334	275	292	567	419	260	280	249	279	249	278	340	253					
		43.30%	40.19%	60.95%	42.36%	47.71%	45.61%	44.44%	49.18%	53.99%	40.19%	40.17%	39.09%	40.73%	35.62%	36.72%	45.45%	39.78%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	72	6	2	3	9	5	2	7	6	3	3	4	6	3	8	1	4					
		0.67%	0.93%	1.90%	0.53%	1.29%	0.83%	0.30%	0.61%	0.77%	0.46%	0.43%	0.63%	0.88%	0.43%	1.06%	0.13%	0.63%					
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
