Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																							
Дата голосования: 02.12.2007																							
																							
Наименование Избирательной комиссии:    Вилючинская 																							
																							
Сводная таблица результатов выборов																							
																							
		Сумма	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103					
1	"Число избирателей, внесенных в списки избирателей"	19062	1082	1354	1201	1158	726	1205	1378	1393	1288	1362	1562	1325	1301	1422	175	1130					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	17790	1000	1200	1200	1100	700	1120	1300	1300	1200	1300	1300	1200	1200	1400	170	1100					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	11835	619	853	754	714	416	1099	836	799	785	828	889	858	721	859	110	695					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	139	6	6	3	3	7	2	26	10	10	2	9	4	16	20	2	13					
6	Число погашенных избирательных бюллетеней	5816	375	341	443	383	277	19	438	491	405	470	402	338	463	521	58	392					
7	Число избирательных бюллетеней в переносных ящиках для голосования	139	6	6	3	3	7	2	26	10	10	2	9	4	16	20	2	13					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	11831	619	852	754	713	416	1099	836	798	785	828	888	858	721	859	110	695					
9	Число недействительных избирательных бюллетеней	208	5	17	11	6	4	18	9	17	16	22	13	13	11	23	0	23					
10	Число действительных избирательных бюллетеней	11762	620	841	746	710	419	1083	853	791	779	808	884	849	726	856	112	685					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	181	6	11	11	9	5	52	5	5	10	8	6	31	5	5	5	7					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	148	6	11	11	7	5	44	5	4	4	7	5	27	4	4	1	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	45	1	1	7	4	3	6	0	0	0	11	6	2	0	2	2	0					
14	Число погашенных неиспользованных открепительных удостоверений	33	0	0	0	2	0	8	0	1	6	1	1	4	1	1	4	4					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	165	9	42	22	18	9	58	1	1	0	1	0	1	0	1	0	2					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																							
18	1.Политическая партия «Аграрная партия России»	179	8	9	13	12	8	5	16	19	10	17	14	13	9	11	1	14					
		1.50%	1.28%	1.05%	1.72%	1.68%	1.89%	0.45%	1.86%	2.35%	1.26%	2.05%	1.56%	1.51%	1.22%	1.25%	0.89%	1.98%					
19	2.Всероссийская политическая партия «Гражданская Сила»	113	6	8	9	3	9	9	6	7	5	15	6	6	7	7	3	7					
		0.94%	0.96%	0.93%	1.19%	0.42%	2.13%	0.82%	0.70%	0.87%	0.63%	1.81%	0.67%	0.70%	0.95%	0.80%	2.68%	0.99%					
20	3.Политическая партия «Демократическая партия России»	21	0	1	2	0	0	3	2	2	2	1	3	2	1	1	0	1					
		0.18%	0.00%	0.12%	0.26%	0.00%	0.00%	0.27%	0.23%	0.25%	0.25%	0.12%	0.33%	0.23%	0.14%	0.11%	0.00%	0.14%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	801	35	29	57	23	25	30	82	55	72	72	92	44	56	76	5	48					
		6.69%	5.60%	3.38%	7.53%	3.21%	5.91%	2.72%	9.51%	6.81%	9.06%	8.67%	10.26%	5.10%	7.60%	8.65%	4.46%	6.78%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	39	1	3	3	3	1	1	4	1	5	3	2	2	3	3	0	4					
		0.33%	0.16%	0.35%	0.40%	0.42%	0.24%	0.09%	0.46%	0.12%	0.63%	0.36%	0.22%	0.23%	0.41%	0.34%	0.00%	0.56%					
23	6.Политическая партия «Партия социальной справедливости»	20	1	3	0	0	1	1	0	0	2	2	2	4	1	1	0	2					
		0.17%	0.16%	0.35%	0.00%	0.00%	0.24%	0.09%	0.00%	0.00%	0.25%	0.24%	0.22%	0.46%	0.14%	0.11%	0.00%	0.28%					
24	7.Политическая партия «Либерально-демократическая партия России»	1392	58	79	87	99	48	133	89	87	80	86	109	157	77	107	16	80					
		11.63%	9.28%	9.21%	11.49%	13.83%	11.35%	12.08%	10.32%	10.77%	10.06%	10.36%	12.15%	18.21%	10.45%	12.17%	14.29%	11.30%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	494	33	26	28	21	5	15	43	48	43	42	39	28	33	44	4	42					
		4.13%	5.28%	3.03%	3.70%	2.93%	1.18%	1.36%	4.99%	5.94%	5.41%	5.06%	4.35%	3.25%	4.48%	5.01%	3.57%	5.93%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	263	22	26	19	11	15	8	17	17	22	33	21	13	8	16	0	15					
		2.20%	3.52%	3.03%	2.51%	1.54%	3.55%	0.73%	1.97%	2.10%	2.77%	3.98%	2.34%	1.51%	1.09%	1.82%	0.00%	2.12%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	8337	456	650	523	532	305	872	585	545	530	524	591	570	523	583	83	465					
		69.65%	72.96%	75.76%	69.09%	74.30%	72.10%	79.20%	67.87%	67.45%	66.67%	63.13%	65.89%	66.13%	70.96%	66.33%	74.11%	65.68%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	103	0	7	5	6	2	6	9	10	8	13	5	10	8	7	0	7					
		0.86%	0.00%	0.82%	0.66%	0.84%	0.47%	0.54%	1.04%	1.24%	1.01%	1.57%	0.56%	1.16%	1.09%	0.80%	0.00%	0.99%					
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
