Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																						
Дата голосования: 07.12.2003 0:00:00																																						
																																						
"Наименование Избирательной комиссии:    Рязань, Советская"																																						
																																						
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																						
																																						
		Сумма	УИК №272	УИК №273	УИК №274	УИК  275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302					
1	"Число избирателей, внесенных в списки"	61674	1398	955	2407	2690	1991	1715	2882	1416	1198	1551	987	2315	1712	1321	1971	1553	2091	2460	2799	1250	1922	2762	1759	2352	2532	2415	2442	2506	2102	2228	1992					
2	"Число бюллетеней, полученных участковыми комиссиями"	56200	1300	900	2000	2400	2200	1500	2600	1300	1100	1400	900	2100	1600	1200	1800	1400	1900	2200	2500	1200	1700	2500	1500	2100	2600	2200	2200	2300	1900	1900	1800					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	30451	753	435	1314	1134	1395	906	1469	595	490	676	472	1003	792	679	919	806	1058	1293	1468	731	990	1360	883	1200	1092	1091	1172	1142	1209	969	955					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1173	16	10	17	66	172	27	8	35	50	26	11	37	34	40	23	25	52	24	30	25	19	34	57	24	14	15	33	24	34	170	21					
6	Число погашенных бюллетеней	24576	531	455	669	1200	633	567	1123	670	560	698	417	1060	774	481	858	569	790	883	1002	444	691	1106	560	876	1494	1094	995	1134	657	761	824					
7	Число бюллетеней в переносных ящиках для голосования	1173	16	10	17	66	172	27	8	35	50	26	11	37	34	40	23	25	52	24	30	25	19	34	57	24	14	15	33	24	34	170	21					
8	Число бюллетеней в стационарных ящиках для голосования	30426	752	435	1314	1134	1395	906	1469	595	490	676	472	1002	791	679	917	806	1056	1293	1466	727	988	1360	882	1200	1090	1089	1170	1142	1206	969	955					
9	Число недействительных бюллетеней	350	6	5	9	10	18	12	12	35	16	20	10	11	23	11	11	6	6	6	10	5	4	6	10	15	13	7	15	10	9	12	7					
10	Число действительных бюллетеней	31249	762	440	1322	1190	1549	921	1465	595	524	682	473	1028	802	708	929	825	1102	1311	1486	747	1003	1388	929	1209	1091	1097	1188	1156	1231	1127	969					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	725	20	15	25	25	60	20	25	20	20	20	15	25	20	20	20	20	25	25	25	20	20	25	20	25	25	25	25	25	25	25	20					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	336	9	3	10	22	48	7	13	0	0	5	2	5	11	8	9	7	15	13	18	12	7	17	15	8	7	8	13	18	14	6	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	264	6	3	10	10	3	7	2	0	6	7	8	9	6	8	6	10	6	8	13	9	4	7	11	7	8	3	12	8	11	49	7					
