Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																														
Дата голосования: 18.09.2016																														
																														
Наименование Избирательной комиссии:    Шимановская																														
																														
Сводная таблица итогов голосования по федеральному избирательному округу																														
																														
		Сумма	УИК №2701	УИК №2702	УИК №2703	УИК №2704	УИК №2705	УИК №2706	УИК №2707	УИК №2708	УИК №2709	УИК №2710	УИК №2711	УИК №2712	УИК №2713	УИК №2714	УИК №2715	УИК №2716	УИК №2717	УИК №2718	УИК №2719									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	5144	87	85	91	103	315	250	745	410	370	502	402	83	86	237	120	209	370	269	410									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	4754	95	84	88	110	312	197	649	366	356	453	384	69	89	206	123	221	346	265	341									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	63	0	0	0	0	0	0	0	32	0	0	16	0	0	0	0	0	15	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3004	59	57	63	62	239	162	328	247	236	242	232	54	57	110	68	133	235	158	262									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	466	0	2	0	6	43	34	127	29	34	38	50	2	4	18	11	27	20	21	0									
6	Число погашенных избирательных бюллетеней	1221	36	25	25	42	30	1	194	58	86	173	86	13	28	78	44	61	76	86	79									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	529	0	2	0	6	43	34	127	61	34	38	66	2	4	18	11	27	35	21	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3004	59	57	63	62	239	162	328	247	236	242	232	54	57	110	68	133	235	158	262									
9	Число недействительных избирательных бюллетеней	92	0	2	0	0	12	12	14	5	1	3	9	3	3	3	2	0	3	7	13									
10	Число действительных избирательных бюллетеней	3441	59	57	63	68	270	184	441	303	269	277	289	53	58	125	77	160	267	172	249									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	420	20	10	10	35	5	30	20	25	20	20	45	10	15	15	20	45	30	45	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	324	20	8	10	20	0	15	20	25	20	20	45	5	15	7	20	22	30	22	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	145	1	2	5	5	4	46	3	7	3	25	7	11	3	7	2	1	5	3	5									
14	Число погашенных неиспользованных открепительных удостоверений	96	0	2	0	15	5	15	0	0	0	0	0	5	0	8	0	23	0	23	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	14	0	0	0	0	0	1	0	0	1	2	2	0	0	0	0	6	1	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																														
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	39	0	2	0	1	5	2	5	0	3	1	3	0	1	5	0	0	0	4	7									
		1.10%	0.00%	3.39%	0.00%	1.47%	1.77%	1.02%	1.10%	0.00%	1.11%	0.36%	1.01%	0.00%	1.64%	3.91%	0.00%	0.00%	0.00%	2.23%	2.67%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	61	1	1	2	0	6	2	8	3	3	6	9	0	1	7	0	1	2	4	5									
		1.73%	1.69%	1.69%	3.17%	0.00%	2.13%	1.02%	1.76%	0.97%	1.11%	2.14%	3.02%	0.00%	1.64%	5.47%	0.00%	0.63%	0.74%	2.23%	1.91%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	104	0	2	0	0	2	1	29	5	7	23	5	2	3	4	0	4	8	8	1									
		2.94%	0.00%	3.39%	0.00%	0.00%	0.71%	0.51%	6.37%	1.62%	2.59%	8.21%	1.68%	3.57%	4.92%	3.13%	0.00%	2.50%	2.96%	4.47%	0.38%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1908	40	34	40	29	211	133	173	183	143	123	145	36	31	58	46	114	178	86	105									
