Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																	
Дата голосования: 18.09.2016																	
																	
Наименование Избирательной комиссии:    Приуральская																	
																	
Сводная таблица итогов голосования по федеральному избирательному округу																	
																	
		Сумма	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	9039	2742	467	2004	437	1690	1699									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9150	2800	450	2000	400	1800	1700									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	1533	380	88	775	0	107	183									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5585	1875	326	1044	378	1005	957									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	202	26	17	20	15	4	120									
6	Число погашенных избирательных бюллетеней	1830	519	19	161	7	684	440									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1735	406	105	795	15	111	303									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5585	1875	326	1044	378	1005	957									
9	Число недействительных избирательных бюллетеней	18	0	16	0	0	0	2									
10	Число действительных избирательных бюллетеней	7302	2281	415	1839	393	1116	1258									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	247	50	50	85	17	15	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	247	50	50	85	17	15	30									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	79	54	5	7	6	3	4									
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	103	57	0	24	12	5	5									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0									
																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	6	1	3	0	0	1	1									
		0.08%	0.04%	0.70%	0.00%	0.00%	0.09%	0.08%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	83	72	6	0	0	4	1									
		1.13%	3.16%	1.39%	0.00%	0.00%	0.36%	0.08%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	20	7	7	2	4	0	0									
		0.27%	0.31%	1.62%	0.11%	1.02%	0.00%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5461	1889	224	1605	315	681	747									
		74.60%	82.81%	51.97%	87.28%	80.15%	61.02%	59.29%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	10	2	4	3	0	0	1									
		0.14%	0.09%	0.93%	0.16%	0.00%	0.00%	0.08%									
24	"6. Политическая партия ""Гражданская Платформа"""	9	2	0	0	2	3	2									
		0.12%	0.09%	0.00%	0.00%	0.51%	0.27%	0.16%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	875	190	124	120	25	176	240									
		11.95%	8.33%	28.77%	6.53%	6.36%	15.77%	19.05%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	5	2	1	0	0	0	2									
		0.07%	0.09%	0.23%	0.00%	0.00%	0.00%	0.16%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	9	3	3	0	2	0	1									
		0.12%	0.13%	0.70%	0.00%	0.51%	0.00%	0.08%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	6	1	2	0	2	0	1									
		0.08%	0.04%	0.46%	0.00%	0.51%	0.00%	0.08%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	8	1	1	2	2	0	2									
		0.11%	0.04%	0.23%	0.11%	0.51%	0.00%	0.16%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	378	1	21	58	29	142	127									
		5.16%	0.04%	4.87%	3.15%	7.38%	12.72%	10.08%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	3	1	1	1	0	0	0									
		0.04%	0.04%	0.23%	0.05%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	429	109	18	48	12	109	133									
		5.86%	4.78%	4.18%	2.61%	3.05%	9.77%	10.56%									
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
