Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																	
Дата голосования: 18.09.2016																																																	
																																																	
Наименование Избирательной комиссии:    Веневская																																																	
																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																	
																																																	
		Сумма	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	24901	742	704	778	698	718	746	854	812	702	996	707	697	775	701	834	2317	2163	660	273	1193	387	155	222	188	436	264	1501	477	299	198	636	280	455	452	237	507	75	62									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	25250	750	700	800	700	700	750	850	800	700	1000	700	700	750	600	850	2300	2200	650	300	1200	400	150	200	200	400	250	1500	450	300	200	650	300	500	450	600	500	100	100									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	9188	270	252	267	221	264	249	285	341	214	368	282	308	273	269	352	712	707	278	124	457	150	105	113	78	206	157	415	143	106	118	169	99	203	226	144	145	56	62									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1616	26	4	3	6	5	7	2	10	14	11	15	4	10	7	10	30	17	82	46	146	61	19	67	20	61	42	150	75	29	28	149	91	140	63	93	54	19	0									
6	Число погашенных избирательных бюллетеней	14446	454	444	530	473	431	494	563	449	472	621	403	388	467	324	488	1558	1476	290	130	597	189	26	20	102	133	51	935	232	165	54	332	110	157	161	363	301	25	38									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1606	26	4	3	6	5	7	2	0	14	11	15	4	10	7	10	30	17	82	46	146	61	19	67	20	61	42	150	75	29	28	149	91	140	63	93	54	19	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	9186	270	252	266	221	264	249	285	341	214	368	281	308	273	269	352	712	707	278	124	457	150	105	113	78	206	157	415	143	106	118	169	99	203	226	144	145	56	62									
9	Число недействительных избирательных бюллетеней	240	15	8	3	9	13	11	3	10	3	10	9	16	8	6	9	15	20	11	4	10	3	7	0	1	1	0	13	0	7	2	2	1	4	4	0	1	0	1									
10	Число действительных избирательных бюллетеней	10552	281	248	266	218	256	245	284	331	225	369	287	296	275	270	353	727	704	349	166	593	208	117	180	97	266	199	552	218	128	144	316	189	339	285	237	198	75	61									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	437	12	20	17	6	12	11	21	16	11	16	14	21	9	16	16	23	26	6	6	23	11	6	11	6	6	6	8	6	6	26	9	6	10	6	6	6	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	333	6	14	15	4	12	9	17	9	9	9	9	14	7	10	14	17	26	6	6	23	11	1	6	0	1	4	6	2	5	25	7	6	10	6	5	2	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	214	4	2	7	2	6	7	0	3	6	9	11	4	7	6	11	8	5	4	0	5	6	4	5	8	10	2	15	6	6	3	5	1	6	3	4	3	6	14									
14	Число погашенных неиспользованных открепительных удостоверений	104	6	6	2	2	0	2	4	7	2	7	5	7	2	6	2	6	0	0	0	0	0	5	5	6	5	2	2	4	1	1	2	0	0	0	1	4	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	123	5	5	5	5	3	4	10	5	2	3	3	3	5	4	2	8	18	0	3	8	2	0	3	0	2	0	4	0	0	1	3	0	3	0	2	2	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	156	7	8	6	6	2	7	2	11	6	1	3	1	3	6	5	14	15	4	1	7	1	2	0	2	8	0	8	4	5	2	0	0	2	4	0	2	1	0									
		1.45%	2.36%	3.13%	2.23%	2.64%	0.74%	2.73%	0.70%	3.23%	2.63%	0.26%	1.01%	0.32%	1.06%	2.17%	1.38%	1.89%	2.07%	1.11%	0.59%	1.16%	0.47%	1.61%	0.00%	2.04%	2.99%	0.00%	1.42%	1.83%	3.70%	1.37%	0.00%	0.00%	0.58%	1.38%	0.00%	1.01%	1.33%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	374	17	10	9	8	10	11	11	7	8	19	9	12	10	6	15	29	22	7	13	20	5	5	9	0	5	5	21	11	4	5	9	5	11	6	8	4	7	1									
		3.47%	5.74%	3.91%	3.35%	3.52%	3.72%	4.30%	3.83%	2.05%	3.51%	5.01%	3.04%	3.85%	3.53%	2.17%	4.14%	3.91%	3.04%	1.94%	7.65%	3.32%	2.37%	4.03%	5.00%	0.00%	1.87%	2.51%	3.72%	5.05%	2.96%	3.42%	2.83%	2.63%	3.21%	2.08%	3.38%	2.01%	9.33%	1.61%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	313	10	14	9	6	8	2	10	10	3	18	5	12	10	8	9	30	21	10	5	12	6	0	3	1	8	2	19	14	7	6	5	2	6	5	2	5	5	5									
