Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																							
Дата голосования: 02.12.2007																							
																							
Наименование Избирательной комиссии:    Оймяконская																							
																							
Сводная таблица результатов выборов																							
																							
		Сумма	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469					
1	"Число избирателей, внесенных в списки избирателей"	6533	121	306	875	1583	263	100	398	303	204	406	223	186	250	436	744	135					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	6796	111	500	880	1450	299	162	381	410	185	398	190	253	258	521	678	120					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	139	0	0	0	0	0	0	0	67	0	4	36	4	15	4	9	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	4407	66	291	502	849	263	89	189	220	84	285	137	173	189	408	556	106					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	243	14	15	12	41	0	11	7	16	14	8	2	9	20	24	39	11					
6	Число погашенных избирательных бюллетеней	2007	31	194	366	560	36	62	185	107	87	101	15	67	34	85	74	3					
7	Число избирательных бюллетеней в переносных ящиках для голосования	382	14	15	12	41	0	11	7	83	14	12	38	13	35	28	48	11					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	4407	66	291	502	849	263	89	189	220	84	285	137	173	189	408	556	106					
9	Число недействительных избирательных бюллетеней	47	0	3	3	2	2	0	2	2	1	0	3	0	3	4	19	3					
10	Число действительных избирательных бюллетеней	4742	80	303	511	888	261	100	194	301	97	297	172	186	221	432	585	114					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	190	5	14	25	40	6	5	10	10	5	10	5	8	10	14	20	3					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	26	1	0	3	14	0	0	2	0	1	0	2	0	0	0	3	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	10	0	0	1	1	0	0	2	0	0	0	3	0	0	0	3	0					
14	Число погашенных неиспользованных открепительных удостоверений	164	4	14	22	26	6	5	8	10	4	10	3	8	10	14	17	3					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	8	0	2	3	2	0	0	0	1	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																							
18	1.Политическая партия «Аграрная партия России»	74	0	6	7	12	2	0	0	2	1	7	10	4	6	4	13	0					
		1.55%	0.00%	1.96%	1.36%	1.35%	0.76%	0.00%	0.00%	0.66%	1.02%	2.36%	5.71%	2.15%	2.68%	0.92%	2.15%	0.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	22	0	2	4	9	0	1	0	2	0	0	0	0	1	1	1	1					
		0.46%	0.00%	0.65%	0.78%	1.01%	0.00%	1.00%	0.00%	0.66%	0.00%	0.00%	0.00%	0.00%	0.45%	0.23%	0.17%	0.85%					
20	3.Политическая партия «Демократическая партия России»	6	0	0	1	2	0	0	1	0	0	0	0	2	0	0	0	0					
		0.13%	0.00%	0.00%	0.19%	0.22%	0.00%	0.00%	0.51%	0.00%	0.00%	0.00%	0.00%	1.08%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	261	2	16	43	45	17	9	11	22	6	12	8	4	19	12	33	2					
		5.45%	2.50%	5.23%	8.37%	5.06%	6.46%	9.00%	5.61%	7.26%	6.12%	4.04%	4.57%	2.15%	8.48%	2.75%	5.46%	1.71%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	13	0	0	1	1	1	1	0	2	1	0	1	1	0	2	2	0					
		0.27%	0.00%	0.00%	0.19%	0.11%	0.38%	1.00%	0.00%	0.66%	1.02%	0.00%	0.57%	0.54%	0.00%	0.46%	0.33%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	50	0	0	43	1	0	0	0	0	0	2	0	0	1	1	2	0					
		1.04%	0.00%	0.00%	8.37%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.67%	0.00%	0.00%	0.45%	0.23%	0.33%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	354	2	27	45	84	23	8	14	34	11	52	7	3	10	7	16	11					
