Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																								
Дата голосования: 04.12.2011																								
																								
Наименование Избирательной комиссии:    Оймяконская																								
																								
Сводная таблица результатов выборов																								
																								
		Сумма	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454					
1	"Число избирателей, внесенных в список избирателей"	6876	108	515	827	1323	154	339	724	406	351	208	255	269	326	112	72	760	127					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	6480	110	450	800	1200	150	300	560	400	350	210	240	290	350	110	80	760	120					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	328	0	0	0	0	0	0	238	0	4	26	28	14	5	0	0	13	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	3186	61	192	361	591	79	144	201	133	187	119	167	147	219	73	44	404	64					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	346	9	33	29	35	15	17	10	16	11	8	6	29	30	6	13	60	19					
6	Число погашенных избирательных бюллетеней	2620	40	225	410	574	56	139	111	251	148	57	39	100	96	31	23	283	37					
7	Число избирательных бюллетеней в переносных ящиках для голосования	674	9	33	29	35	15	17	248	16	15	34	34	43	35	6	13	73	19					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	3185	61	191	361	591	79	144	201	133	187	119	167	147	219	73	44	404	64					
9	Число недействительных избирательных бюллетеней	29	2	2	3	3	1	3	0	1	2	5	0	1	1	1	0	4	0					
10	Число действительных избирательных бюллетеней	3830	68	222	387	623	93	158	449	148	200	148	201	189	253	78	57	473	83					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	158	3	5	10	20	10	10	10	10	10	10	10	10	10	5	5	15	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	68	1	2	9	14	1	1	8	0	10	7	0	10	4	1	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	16	0	1	0	7	0	0	1	0	1	0	5	0	0	0	0	1	0					
14	Число погашенных неиспользованных открепительных удостоверений	90	2	3	1	6	9	9	2	10	0	3	10	0	6	4	5	15	5					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	35	0	2	3	21	0	1	6	2	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																								
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	618	11	26	48	74	9	21	46	26	31	26	41	47	51	31	20	95	15					
		16.01%	15.71%	11.61%	12.31%	11.82%	9.57%	13.04%	10.24%	17.45%	15.35%	16.99%	20.40%	24.74%	20.08%	39.24%	35.09%	19.92%	18.07%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	554	9	56	83	119	20	34	105	24	55	11	3	7	5	1	1	14	7					
		14.36%	12.86%	25.00%	21.28%	19.01%	21.28%	21.12%	23.39%	16.11%	27.23%	7.19%	1.49%	3.68%	1.97%	1.27%	1.75%	2.94%	8.43%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	47	0	2	6	19	0	2	4	1	4	0	1	0	2	1	0	3	2					
		1.22%	0.00%	0.89%	1.54%	3.04%	0.00%	1.24%	0.89%	0.67%	1.98%	0.00%	0.50%	0.00%	0.79%	1.27%	0.00%	0.63%	2.41%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	618	7	30	76	100	16	33	61	38	25	30	27	45	21	5	2	83	19					
		16.01%	10.00%	13.39%	19.49%	15.97%	17.02%	20.50%	13.59%	25.50%	12.38%	19.61%	13.43%	23.68%	8.27%	6.33%	3.51%	17.40%	22.89%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	65	1	2	10	20	3	3	9	8	3	1	0	1	0	1	0	3	0					
		1.68%	1.43%	0.89%	2.56%	3.19%	3.19%	1.86%	2.00%	5.37%	1.49%	0.65%	0.00%	0.53%	0.00%	1.27%	0.00%	0.63%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1916	40	106	161	288	45	65	221	51	82	80	129	89	173	37	34	275	40					
		49.65%	57.14%	47.32%	41.28%	46.01%	47.87%	40.37%	49.22%	34.23%	40.59%	52.29%	64.18%	46.84%	68.11%	46.84%	59.65%	57.65%	48.19%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	12	0	0	3	3	0	0	3	0	0	0	0	0	1	2	0	0	0					
		0.31%	0.00%	0.00%	0.77%	0.48%	0.00%	0.00%	0.67%	0.00%	0.00%	0.00%	0.00%	0.00%	0.39%	2.53%	0.00%	0.00%	0.00%					
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
