Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																									
Дата голосования: 04.12.2011																									
																									
Наименование Избирательной комиссии:    Курумканская																									
																									
Сводная таблица результатов выборов																									
																									
		Сумма	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366					
1	"Число избирателей, внесенных в список избирателей"	10080	110	147	620	1322	1102	386	975	138	801	137	658	673	126	297	549	369	603	1067					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9791	107	144	606	1301	1055	374	918	134	787	135	654	663	125	296	542	368	602	980					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	5558	76	52	389	702	610	187	558	30	426	81	465	377	77	173	285	313	276	481					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1411	12	58	46	132	128	46	75	85	101	44	84	30	26	51	129	45	122	197					
6	Число погашенных избирательных бюллетеней	2822	19	34	171	467	317	141	285	19	260	10	105	256	22	72	128	10	204	302					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1411	12	58	46	132	128	46	75	85	101	44	84	30	26	51	129	45	122	197					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	5558	76	52	389	702	610	187	558	30	426	81	465	377	77	173	285	313	276	481					
9	Число недействительных избирательных бюллетеней	160	1	2	4	5	10	4	6	0	6	0	4	4	2	4	2	6	5	95					
10	Число действительных избирательных бюллетеней	6809	87	108	431	829	728	229	627	115	521	125	545	403	101	220	412	352	393	583					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	296	5	5	16	34	33	10	30	5	30	5	16	16	5	10	16	10	15	35					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	173	0	0	2	25	19	9	12	5	30	1	8	10	5	8	16	0	8	15					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	76	0	2	6	13	8	2	3	9	2	1	1	1	2	2	2	4	4	14					
14	Число погашенных неиспользованных открепительных удостоверений	123	5	5	14	9	14	1	18	0	0	4	8	6	0	2	0	10	7	20					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																									
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	793	1	3	48	122	120	44	93	6	58	12	39	103	5	32	33	10	32	32					
		11.38%	1.14%	2.73%	11.03%	14.63%	16.26%	18.88%	14.69%	5.22%	11.01%	9.60%	7.10%	25.31%	4.85%	14.29%	7.97%	2.79%	8.04%	4.72%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	216	2	2	32	29	15	14	0	1	8	2	14	43	11	15	6	1	7	14					
		3.10%	2.27%	1.82%	7.36%	3.48%	2.03%	6.01%	0.00%	0.87%	1.52%	1.60%	2.55%	10.57%	10.68%	6.70%	1.45%	0.28%	1.76%	2.06%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	28	1	0	1	4	4	1	0	1	4	1	4	1	0	1	0	0	3	2					
		0.40%	1.14%	0.00%	0.23%	0.48%	0.54%	0.43%	0.00%	0.87%	0.76%	0.80%	0.73%	0.25%	0.00%	0.45%	0.00%	0.00%	0.75%	0.29%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1172	2	1	127	215	137	34	93	6	155	15	63	63	30	63	43	15	64	46					
		16.82%	2.27%	0.91%	29.20%	25.78%	18.56%	14.59%	14.69%	5.22%	29.41%	12.00%	11.48%	15.48%	29.13%	28.13%	10.39%	4.19%	16.08%	6.78%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	26	0	0	2	9	4	4	0	0	1	0	3	0	0	0	0	0	1	2					
		0.37%	0.00%	0.00%	0.46%	1.08%	0.54%	1.72%	0.00%	0.00%	0.19%	0.00%	0.55%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.29%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4561	81	102	220	445	447	131	441	101	295	95	421	192	55	108	329	326	286	486					
		65.45%	92.05%	92.73%	50.57%	53.36%	60.57%	56.22%	69.67%	87.83%	55.98%	76.00%	76.68%	47.17%	53.40%	48.21%	79.47%	91.06%	71.86%	71.68%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	13	0	0	1	5	1	1	0	0	0	0	1	1	0	1	1	0	0	1					
		0.19%	0.00%	0.00%	0.23%	0.60%	0.14%	0.43%	0.00%	0.00%	0.00%	0.00%	0.18%	0.25%	0.00%	0.45%	0.24%	0.00%	0.00%	0.15%					
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
