Выборы Президента Российской Федерации																																																																												
Дата голосования: 02.03.2008																																																																												
																																																																												
Наименование Избирательной комиссии:    Иркутская																																																																												
																																																																												
Сводная таблица результатов выборов																																																																												
																																																																												
	Число участковых избирательных комиссий	69																																																																										
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	69																																																																										
																																																																												
		Сумма	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483					
1	"Число избирателей, включенных в списки избирателей"	48589	1064	482	468	2623	1397	1600	987	455	776	245	95	353	2117	404	340	363	123	164	587	352	121	540	317	191	1915	317	1136	412	514	679	368	75	222	1109	163	183	159	162	1589	2204	641	231	810	324	270	1940	2721	1446	353	572	651	343	148	247	2109	2217	1465	990	50	1018	535	200	205	226	98	40	686	379	303					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	42791	950	420	420	2000	1200	1200	900	440	760	240	95	345	1900	390	335	345	123	167	620	350	126	540	300	194	1600	305	1000	380	510	650	360	79	200	900	164	183	157	163	1600	1800	600	215	700	270	240	1400	2400	1200	340	480	600	320	150	230	1700	1800	1100	900	52	900	520	200	211	225	102	40	650	545	290					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	29540	690	307	324	1756	882	870	539	234	471	182	82	243	1065	256	203	266	90	135	382	284	101	463	249	169	1218	155	606	249	322	439	299	62	191	545	138	127	104	127	1017	1288	348	146	496	137	114	1078	1407	849	197	373	413	234	128	171	1040	1587	635	721	22	511	240	116	148	136	54	33	454	376	246					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	2133	66	39	12	5	38	30	51	34	52	22	4	20	116	63	39	17	7	10	30	37	10	26	16	17	69	23	29	30	27	19	30	6	6	57	5	15	16	0	52	32	41	0	10	26	41	89	72	36	30	23	12	0	0	27	153	107	49	67	6	44	11	14	7	7	4	1	79	0	0					
6	Число погашенных избирательных бюллетеней	11118	194	74	84	239	280	300	310	172	237	36	9	82	719	71	93	62	26	22	208	29	15	51	35	8	313	127	365	101	161	192	31	11	3	298	21	41	37	36	531	480	211	69	194	107	85	233	921	315	113	84	175	86	22	32	507	106	416	112	24	345	269	70	56	82	44	6	117	169	44					
