Выборы Президента Российской Федерации																																																																														
																																																																														
Наименование Избирательной комиссии:    Иркутская																																																																														
																																																																														
Итоги голосования 																																																																														
																																																																														
		Сумма	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473					
1	"Число избирателей, внесенных в список"	40049	320	1489	815	166	207	510	329	176	1001	405	512	173	196	199	104	37	1295	1115	716	431	706	235	88	338	1982	380	340	354	113	160	510	153	111	481	290	160	1370	240	996	407	446	578	158	60	196	686	142	167	150	102	1178	1911	611	208	466	289	219	1564	1919	1146	291	290	615	296	138	213	2045	2685	754	871	45					
2	Число полученных избирательных бюллетеней	37868	297	1100	780	200	230	520	308	220	900	350	490	173	197	210	106	39	1200	1000	650	400	670	220	84	330	1900	380	330	360	110	170	500	149	111	470	280	158	1300	220	960	400	430	540	152	58	184	660	135	161	158	171	1100	1800	600	199	430	240	200	1500	1800	1000	270	275	600	290	136	200	1950	2500	740	870	47					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	21507	214	954	361	166	207	489	245	176	625	270	262	102	131	148	72	31	706	659	373	206	350	173	63	253	823	155	165	173	72	82	218	98	54	228	158	116	798	122	496	272	273	373	93	37	131	339	101	97	90	102	675	922	314	133	285	168	96	823	852	571	125	160	335	197	124	128	862	1100	381	332	22					
5	"Число избирательных бюллетеней, выданных вне помещения"	1548	8	5	48	0	0	0	0	0	76	10	11	10	3	7	2	0	12	11	22	27	49	16	4	0	94	59	17	22	0	25	20	16	0	24	0	16	12	28	58	15	12	7	15	0	2	31	6	8	17	0	4	89	0	0	0	26	31	59	48	26	36	17	0	0	0	0	166	28	100	91	2					
6	Число погашенных избирательных бюллетеней	14813	75	141	371	34	23	31	63	44	199	70	217	61	63	55	32	8	482	330	255	167	271	31	17	77	983	166	148	165	38	63	262	35	57	218	122	26	490	70	406	113	145	160	44	21	51	290	28	56	51	69	421	789	286	66	145	46	73	618	900	403	109	98	265	93	12	72	922	1372	259	447	23					
7	Число избирательных бюллетеней в переносных ящиках	1548	8	5	48	0	0	0	0	0	76	10	11	10	3	7	2	0	12	11	22	27	49	16	4	0	94	59	17	22	0	25	20	16	0	24	0	16	12	28	58	15	12	7	15	0	2	31	6	8	17	0	4	89	0	0	0	26	31	59	48	26	36	17	0	0	0	0	166	28	100	91	2					
8	Число бюллетеней в стационарных ящиках для голосования	21505	214	954	361	166	207	489	245	176	625	270	262	102	131	148	72	31	706	659	373	206	350	173	63	253	823	155	165	173	72	82	218	98	54	228	158	116	798	122	496	272	273	373	93	37	131	339	101	97	90	102	675	921	314	133	285	168	96	823	852	571	125	160	335	197	124	128	861	1100	381	332	22					
9	Число недействительных избирательных бюллетеней	215	2	7	2	0	0	1	0	0	7	1	2	0	2	0	1	0	6	12	2	1	7	1	1	0	9	3	0	2	3	0	2	2	2	0	1	0	9	3	6	1	9	5	0	1	3	3	0	0	1	0	6	7	0	1	3	1	0	8	7	6	0	0	3	1	4	0	9	16	21	1	1					
10	Число действительных избирательных бюллетеней	22838	220	952	407	166	207	488	245	176	694	279	271	112	132	155	73	31	712	658	393	232	392	188	66	253	908	211	182	193	69	107	236	112	52	252	157	132	801	147	548	286	276	375	108	36	130	367	107	105	106	102	673	1003	314	132	282	193	127	874	893	591	161	177	332	196	120	128	1018	1112	460	422	23					
11	Число полученных открепительных  удостоверений	495	9	25	10	20	4	20	20	10	7	4	5	2	2	2	1	1	15	10	7	4	9	2	1	2	15	4	3	3	1	2	5	2	1	5	3	2	12	3	10	5	5	5	2	1	4	8	2	2	5	2	12	20	7	2	4	3	3	15	20	10	4	4	6	3	2	2	25	30	8	10	1					
12	Число выданных открепительных удостоверений	191	7	22	7	18	1	9	6	0	6	0	4	0	0	1	1	0	11	2	0	0	0	0	0	1	10	0	0	0	0	0	1	0	0	1	0	0	2	1	4	0	0	3	0	0	0	0	1	0	4	0	3	10	0	0	1	0	0	6	8	6	0	1	0	0	0	1	6	21	1	4	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	333	1	17	15	30	34	2	8	20	5	4	1	0	0	0	1	0	1	0	5	1	6	1	0	2	8	1	2	1	1	0	1	4	0	2	1	0	11	4	8	1	0	9	1	1	7	4	1	1	2	1	2	7	0	4	3	9	11	14	5	8	0	1	1	0	0	5	13	6	2	16	0					
14	Число неиспользованных открепительных удостоверений	304	2	3	3	2	3	11	14	10	1	4	1	2	2	1	0	1	4	8	7	4	9	2	1	1	5	4	3	3	1	2	4	2	1	4	3	2	10	2	6	5	5	2	2	1	4	8	1	2	1	2	9	10	7	2	3	3	3	9	12	4	4	3	6	3	2	1	19	9	7	6	1					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																														
18	. Глазьев Сергей Юрьевич	1207	10	86	21	1	3	6	15	3	33	9	5	6	2	1	2	0	42	27	14	5	12	7	0	13	70	6	5	13	3	1	10	8	0	9	3	3	48	14	41	9	22	25	7	0	6	26	2	4	1	1	56	64	9	6	19	13	7	45	77	37	10	2	19	6	0	5	73	62	18	18	1					
		5.24%	4.50%	8.97%	5.13%	0.60%	1.45%	1.23%	6.12%	1.70%	4.71%	3.21%	1.83%	5.36%	1.49%	0.65%	2.70%	0.00%	5.85%	4.03%	3.54%	2.15%	3.01%	3.70%	0.00%	5.14%	7.63%	2.80%	2.75%	6.67%	4.17%	0.93%	4.20%	7.02%	0.00%	3.57%	1.90%	2.27%	5.93%	9.33%	7.40%	3.14%	7.72%	6.58%	6.48%	0.00%	4.51%	7.03%	1.87%	3.81%	0.93%	0.98%	8.25%	6.34%	2.87%	4.51%	6.67%	6.70%	5.51%	5.10%	8.56%	6.20%	6.21%	1.13%	5.67%	3.05%	0.00%	3.91%	7.11%	5.50%	3.74%	4.26%	4.17%					
19	. Малышкин Олег Александрович	851	5	16	12	4	2	4	8	2	37	5	7	1	10	7	3	3	28	16	18	15	16	8	2	30	36	11	15	5	6	8	6	3	0	14	15	7	24	10	22	11	8	10	1	0	5	26	2	0	4	2	31	45	16	3	13	9	7	26	34	13	11	6	5	11	9	4	23	44	23	7	1					
