Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																					
Дата голосования: 18.09.2016																																																																					
																																																																					
Наименование Избирательной комиссии:    Ленинск-Кузнецкая городская																																																																					
																																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																																					
																																																																					
		Сумма	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	78787	2228	2139	1473	1326	311	2429	1434	1287	1590	220	1422	2554	2700	997	1100	1124	1843	848	1219	2015	1336	1656	928	1071	951	1489	1521	1703	1488	1099	776	1545	1491	203	994	1506	876	1076	633	1137	710	895	1847	264	2302	2159	1437	1270	1683	143	1506	1573	1281	1778	1648	1881	1260	1412									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	77770	2185	2170	1450	1230	550	2390	1430	1260	1560	210	1375	2470	2620	995	1075	1115	1815	840	1175	1970	1290	1600	905	1050	930	1450	1505	1665	1460	1095	755	1655	1455	300	980	1440	870	1070	625	1130	700	880	1870	260	2300	2105	1425	1245	1660	150	1475	1530	1260	1730	1600	1860	1215	1390									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	61452	1916	1904	1260	1066	311	2221	1186	843	744	111	1117	2200	2365	854	999	775	1451	709	940	1694	1106	1402	709	903	729	1226	1158	1399	1263	866	512	1243	1020	203	652	1217	640	703	467	896	513	720	1342	212	1828	1527	593	1001	780	143	1132	1270	1007	1594	1422	1483	745	1160									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	7400	158	51	37	64	0	23	62	220	297	70	161	199	112	54	3	202	127	28	104	180	92	53	62	43	162	39	165	83	107	109	139	145	250	0	193	52	111	208	68	148	55	30	54	37	222	361	30	141	701	0	170	157	179	68	63	193	433	125									
6	Число погашенных избирательных бюллетеней	8918	111	215	153	100	239	146	182	197	519	29	97	71	143	87	73	138	237	103	131	96	92	145	134	104	39	185	182	183	90	120	104	267	185	97	135	171	119	159	90	86	132	130	474	11	250	217	802	103	179	7	173	103	74	68	115	184	37	105									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	7400	158	51	37	64	0	23	62	220	297	70	161	199	112	54	3	202	127	28	104	180	92	53	62	43	162	39	165	83	107	109	139	145	250	0	193	52	111	208	68	148	55	30	54	37	222	361	30	141	701	0	170	157	179	68	63	193	433	125									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	61452	1916	1904	1260	1066	311	2221	1186	843	744	111	1117	2200	2365	854	999	775	1451	709	940	1694	1106	1402	709	903	729	1226	1158	1399	1263	866	512	1243	1020	203	652	1217	640	703	467	896	513	720	1342	212	1828	1527	593	1001	780	143	1132	1270	1007	1594	1422	1483	745	1160									
9	Число недействительных избирательных бюллетеней	84	0	6	0	0	0	37	6	4	3	0	0	0	0	0	0	0	0	0	4	0	8	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	68768	2074	1949	1297	1130	311	2207	1242	1059	1038	181	1278	2399	2477	908	1002	977	1578	737	1040	1874	1190	1451	771	942	891	1265	1323	1482	1370	975	651	1388	1270	203	845	1269	751	911	535	1044	568	749	1391	249	2050	1886	623	1142	1481	143	1302	1427	1186	1662	1485	1676	1178	1285									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1700	40	40	30	30	0	40	30	30	35	10	30	40	50	25	25	30	35	25	30	40	30	35	25	25	25	30	35	35	35	25	25	35	35	0	30	30	25	30	15	30	20	25	35	10	40	40	30	30	35	0	35	35	30	35	35	35	30	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	474	4	40	11	12	0	10	9	6	11	7	2	6	10	8	2	12	10	8	4	17	4	11	2	4	7	18	17	5	3	1	0	6	6	0	13	5	3	4	3	5	5	5	7	2	40	30	18	1	14	0	6	3	13	4	4	1	4	11									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	97	4	1	0	0	0	0	3	3	6	0	3	0	0	1	0	5	1	0	0	3	7	0	1	0	0	1	5	2	0	0	0	0	4	1	1	2	1	0	2	0	0	1	2	0	0	8	0	0	3	3	2	3	0	5	9	0	0	4									
14	Число погашенных неиспользованных открепительных удостоверений	1226	36	0	19	18	0	30	21	24	24	3	28	34	40	17	23	18	25	17	26	23	26	24	23	21	18	12	18	30	32	24	25	29	29	0	17	25	22	26	12	25	15	20	28	8	0	10	12	29	21	0	29	32	17	31	31	34	26	19									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	18	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	2	1	0	0	1	0	0	1	0	0	0	2	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	1	0	0	0	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
