Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																													
Дата голосования: 07.12.2003 0:00:00																																													
																																													
Наименование Избирательной комиссии:    Геленджикская городская																																													
																																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																													
																																													
		Сумма	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938					
1	"Число избирателей, внесенных в списки"	66071	2341	2202	2389	2214	2056	2664	2041	2553	2382	2685	2277	1664	2658	1793	1185	1486	3046	1189	2167	1165	2260	2602	996	330	1073	2650	1841	260	232	1102	2017	894	533	697	2302	2400	511	1214					
2	"Число бюллетеней, полученных участковыми комиссиями"	64818	2332	2196	2351	2551	2011	2655	1973	2516	2335	2654	2220	1624	2619	1772	1151	1470	2867	1165	1843	1166	2228	2448	975	325	1103	2589	1780	259	203	1072	2022	879	497	692	2226	2368	494	1187					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	34260	1254	1157	1327	1285	1174	1258	1058	1265	1236	1359	1253	838	1293	913	541	614	1450	523	1183	609	1048	1389	469	205	529	1382	1016	159	152	570	1125	486	332	418	1132	1267	315	676					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1338	19	34	47	27	55	19	39	37	25	32	13	35	81	33	25	18	27	37	20	60	34	87	66	13	52	16	23	38	13	45	41	26	35	33	44	27	20	42					
6	Число погашенных бюллетеней	29220	1059	1005	977	1239	782	1378	876	1214	1074	1263	954	751	1245	826	585	838	1390	605	640	497	1146	972	440	107	522	1191	741	62	38	457	856	367	130	241	1050	1074	159	469					
7	Число бюллетеней в переносных ящиках для голосования	1337	19	33	47	27	55	19	39	37	25	32	13	35	81	33	25	18	27	37	20	60	34	87	66	13	52	16	23	38	13	45	41	26	35	33	44	27	20	42					
8	Число бюллетеней в стационарных ящиках для голосования	34233	1254	1155	1327	1282	1174	1258	1058	1262	1236	1359	1253	838	1293	910	541	614	1448	523	1183	609	1046	1388	469	205	525	1379	1015	159	152	570	1123	486	332	418	1131	1267	315	676					
9	Число недействительных бюллетеней	515	7	8	10	11	12	16	11	17	19	79	15	9	19	9	5	7	25	9	9	12	28	15	11	3	10	16	19	3	5	13	22	11	8	4	14	10	6	8					
10	Число действительных бюллетеней	35055	1266	1180	1364	1298	1217	1261	1086	1282	1242	1312	1251	864	1355	934	561	625	1450	551	1194	657	1052	1460	524	215	567	1379	1019	194	160	602	1142	501	359	447	1161	1284	329	710					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	682	25	25	25	25	20	25	20	25	25	25	25	20	25	20	15	15	25	15	25	10	24	25	10	5	10	24	20	5	5	10	24	10	5	5	24	24	5	12					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	199	11	4	10	12	7	9	8	8	10	5	2	6	6	8	1	4	5	9	1	2	6	11	1	0	2	8	6	0	0	7	9	7	1	0	4	7	0	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	295	3	2	5	3	4	7	6	10	6	7	4	4	10	11	5	5	7	5	14	3	4	19	1	0	4	5	50	1	2	2	1	5	51	3	14	7	0	5					
14	Число погашенных открепительных удостоверений	483	14	21	15	13	13	16	12	17	15	20	23	14	19	12	14	11	20	6	24	8	18	14	9	5	8	16	14	5	5	3	15	3	4	5	20	17	5	10					
15	Число открепительных удостоверений выданных ТИК	18	1	0	0	0	0	0	0	0	1	1	2	0	0	1	0	0	0	0	1	1	2	1	0	0	1	2	1	2	0	0	1	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																													
18	"1. ""ЕДИНЕНИЕ"""	423	11	7	14	9	8	17	8	16	17	11	11	11	12	3	10	9	11	6	32	11	18	19	6	4	8	15	19	1	5	3	26	11	4	8	10	10	11	11					
		1.18%	0.86%	0.58%	1.01%	0.68%	0.65%	1.33%	0.72%	1.23%	1.34%	0.79%	0.86%	1.26%	0.87%	0.31%	1.76%	1.42%	0.74%	1.07%	2.66%	1.64%	1.66%	1.28%	1.12%	1.83%	1.38%	1.07%	1.83%	0.50%	3.03%	0.48%	2.23%	2.14%	1.08%	1.77%	0.85%	0.77%	3.28%	1.53%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	1118	60	52	48	54	58	59	49	49	45	33	48	30	52	36	23	25	53	21	48	26	36	33	11	10	4	34	42	2	1	8	10	5	3	6	24	8	2	10					
		3.14%	4.71%	4.37%	3.49%	4.12%	4.71%	4.62%	4.46%	3.77%	3.56%	2.37%	3.79%	3.43%	3.78%	3.81%	4.06%	3.95%	3.59%	3.74%	3.99%	3.88%	3.33%	2.23%	2.05%	4.58%	0.69%	2.43%	4.04%	1.01%	0.60%	1.30%	0.85%	0.97%	0.81%	1.33%	2.04%	0.61%	0.59%	1.39%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	713	22	27	30	30	0	31	25	34	31	16	22	32	35	22	3	11	14	12	25	11	33	31	10	9	13	21	23	9	11	20	26	6	6	7	20	20	4	11					
		2.00%	1.72%	2.27%	2.18%	2.29%	0.0%	2.42%	2.27%	2.61%	2.45%	1.15%	1.73%	3.66%	2.54%	2.33%	0.53%	1.74%	0.94%	2.14%	2.07%	1.64%	3.05%	2.10%	1.86%	4.12%	2.25%	1.50%	2.21%	4.56%	6.66%	3.25%	2.23%	1.17%	1.63%	1.55%	1.70%	1.54%	1.19%	1.53%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	1658	69	122	64	71	81	104	78	86	72	61	65	43	72	60	31	42	60	26	48	18	32	62	20	9	18	54	52	4	9	7	15	8	8	4	39	29	0	15					
		4.66%	5.42%	10.26%	4.65%	5.42%	6.59%	8.14%	7.11%	6.62%	5.70%	4.38%	5.13%	4.92%	5.24%	6.36%	5.47%	6.64%	4.06%	4.64%	3.99%	2.69%	2.96%	4.20%	3.73%	4.12%	3.11%	3.87%	5.00%	2.03%	5.45%	1.13%	1.28%	1.56%	2.17%	0.88%	3.31%	2.24%	0.0%	2.08%					
22	"5. ""За Русь Святую"""	239	10	3	12	6	18	9	6	11	1	8	9	2	9	7	3	1	3	1	6	0	16	17	8	1	1	9	12	1	1	1	13	4	2	2	9	11	3	3					
