Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																
Дата голосования: 07.12.2003 0:00:00																																																
																																																
Наименование Избирательной комиссии:    Шарлыкская																																																
																																																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																
																																																
		Сумма	УИК №1749	УИК №1750	УИК №1751	УИК №1752	УИК №1753	УИК №1754	УИК №1755	УИК №1756	УИК №1757	УИК №1758	УИК №1759	УИК №1760	УИК №1761	УИК №1762	УИК №1763	УИК №1764	УИК №1765	УИК №1766	УИК №1767	УИК №1768	УИК №1769	УИК №1770	УИК №1771	УИК №1772	УИК №1773	УИК №1774	УИК №1775	УИК №1776	УИК №1777	УИК №1778	УИК №1779	УИК №1780	УИК №1781	УИК №1782	УИК №1783	УИК №1784	УИК №1785	УИК №1786	УИК №1787	УИК №1788	УИК №1789					
1	"Число избирателей, внесенных в списки"	16597	396	251	204	293	163	367	251	401	222	384	222	291	839	209	146	430	250	330	101	53	61	528	101	183	196	393	365	734	144	107	297	243	266	409	111	1369	1399	1685	1653	220	330					
2	"Число бюллетеней, полученных участковыми комиссиями"	16540	397	251	204	285	160	378	253	339	221	384	220	291	847	206	143	429	253	326	105	54	63	535	104	186	202	390	371	734	144	109	299	244	265	415	113	1364	1358	1692	1650	218	338					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	10892	284	204	182	220	136	344	206	211	138	309	156	237	631	129	114	339	196	234	86	44	50	316	77	157	171	220	195	439	89	96	258	199	197	289	72	658	787	871	990	143	218					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1396	47	0	13	17	12	17	18	76	21	17	16	25	40	38	15	40	30	32	0	5	5	81	14	12	8	92	98	43	10	0	29	9	31	23	18	92	96	98	95	22	41					
6	Число погашенных бюллетеней	4252	66	47	9	48	12	17	29	52	62	58	48	29	176	39	14	50	27	60	19	5	8	138	13	17	23	78	78	252	45	13	12	36	37	103	23	614	475	723	565	53	79					
7	Число бюллетеней в переносных ящиках для голосования	1396	47	0	13	17	12	17	18	76	21	17	16	25	40	38	15	40	30	32	0	5	5	81	14	12	8	92	98	43	10	0	29	9	31	23	18	92	96	98	95	22	41					
8	Число бюллетеней в стационарных ящиках для голосования	10891	284	204	182	220	136	344	206	211	138	309	156	237	631	129	114	339	196	234	86	44	50	316	77	157	171	220	195	439	89	96	258	199	197	289	72	658	787	870	990	143	218					
9	Число недействительных бюллетеней	303	4	2	1	6	1	3	1	4	1	18	8	3	21	6	7	13	0	12	0	1	1	11	13	17	0	7	1	24	1	5	0	5	9	12	5	15	10	13	28	9	5					
10	Число действительных бюллетеней	11984	327	202	194	231	147	358	223	283	158	308	164	259	650	161	122	366	226	254	86	48	54	386	78	152	179	305	292	458	98	91	287	203	219	300	85	735	873	955	1057	156	254					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	151	4	3	3	4	3	4	3	4	3	4	3	4	4	3	3	4	3	3	4	3	3	4	3	3	3	4	4	4	3	3	4	3	4	4	3	6	6	6	6	3	3					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	15	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	6	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	11	0	1	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	1	0	0					
