Выборы Президента Российской Федерации																																																																
																																																																
"Наименование Избирательной комиссии:    Иваново, Ленинская"																																																																
																																																																
Итоги голосования 																																																																
																																																																
		Сумма	УИК  1	УИК  2	УИК  3	УИК  4	УИК  5	УИК  6	УИК  7	УИК  8	УИК  9	УИК  10	УИК  11	УИК  12	УИК  13	УИК  14	УИК  15	УИК  16	УИК  17	УИК  18	УИК  19	УИК  20	УИК  21	УИК  22	УИК  23	УИК  24	УИК  25	УИК  26	УИК  27	УИК  28	УИК  29	УИК  30	УИК  31	УИК  32	УИК  33	УИК  34	УИК  35	УИК  36	УИК  37	УИК  38	УИК  39	УИК  40	УИК  41	УИК  42	УИК  43	УИК  44	УИК  45	УИК  46	УИК  47	УИК  48	УИК  49	УИК  50	УИК  51	УИК  52	УИК  53	УИК  54	УИК  55	УИК  56	УИК  57					
1	"Число избирателей, внесенных в список"	127872	1041	1882	1410	2087	2128	1824	1802	1603	2391	1599	1702	2481	2268	1920	2127	1634	1456	2315	2134	2342	2844	1980	1637	2359	2231	2090	2753	1955	2808	2109	2536	2924	2034	2238	2676	2576	2471	2350	2597	2142	2243	2558	1900	1740	2115	2542	2602	2872	2447	2702	2577	2880	2613	2382	2660	2651	2932					
2	Число полученных избирательных бюллетеней	125600	1000	1900	1400	2000	2100	1800	1800	1600	2400	1600	1700	2500	2200	1900	2100	1500	1400	2300	2100	2300	2800	1900	1600	2300	2200	2000	2700	1900	2800	2100	2500	2900	2000	2200	2600	2500	2400	2300	2600	2100	2200	2500	1900	1700	2100	2500	2600	2800	2300	2600	2500	2800	2600	2400	2600	2600	2900					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	63614	496	731	611	1236	1090	911	919	808	1195	765	841	1166	1133	985	1015	720	560	1171	1089	1146	1394	928	870	1232	1085	1167	1342	1034	1302	1097	1437	1660	1088	931	1356	1424	1324	1198	1044	1048	1228	1329	954	913	1225	1223	940	1340	1214	1358	1261	1466	1254	1215	1335	1406	1404					
5	"Число избирательных бюллетеней, выданных вне помещения"	1521	4	24	51	36	15	24	26	30	41	15	37	25	20	20	31	64	27	7	19	25	47	25	20	19	23	32	23	20	34	24	27	42	26	19	23	22	20	18	29	41	32	31	19	37	17	24	9	19	111	25	36	28	14	12	11	12	9					
6	Число погашенных избирательных бюллетеней	60465	500	1145	738	728	995	865	855	762	1164	820	822	1309	1047	895	1054	716	813	1122	992	1129	1359	947	710	1049	1092	801	1335	846	1464	979	1036	1198	886	1250	1221	1054	1056	1084	1527	1011	940	1140	927	750	858	1253	1651	1441	975	1217	1203	1306	1332	1173	1254	1182	1487					
7	Число избирательных бюллетеней в переносных ящиках	1521	4	24	51	36	15	24	26	30	41	15	37	25	20	20	31	64	27	7	19	25	47	25	20	19	23	32	23	20	34	24	27	42	26	19	23	22	20	18	29	41	32	31	19	37	17	24	9	19	111	25	36	28	14	12	11	12	9					
8	Число бюллетеней в стационарных ящиках для голосования	63544	493	731	611	1236	1090	911	919	808	1195	765	841	1165	1133	984	1015	720	560	1170	1087	1145	1392	926	870	1229	1084	1163	1339	1034	1302	1097	1436	1659	1086	931	1356	1399	1323	1198	1044	1048	1228	1329	954	912	1222	1220	940	1338	1213	1358	1261	1466	1254	1211	1333	1406	1404					
9	Число недействительных избирательных бюллетеней	349	2	0	2	4	3	1	6	3	4	3	0	7	8	7	3	5	10	8	4	6	4	6	4	3	5	8	6	7	10	14	4	10	3	16	5	8	15	9	6	5	10	7	3	1	5	13	4	10	8	14	3	1	10	11	7	8	0					
10	Число действительных избирательных бюллетеней	64716	495	755	660	1268	1102	934	939	835	1232	777	878	1183	1145	997	1043	779	577	1169	1102	1164	1435	945	886	1245	1102	1187	1356	1047	1326	1107	1459	1691	1109	934	1374	1413	1328	1207	1067	1084	1250	1353	970	948	1234	1231	945	1347	1316	1369	1294	1493	1258	1212	1337	1410	1413					
