Выборы Президента Российской Федерации																																																																																											
Дата голосования: 18.03.2018																																																																																											
																																																																																											
"Наименование Избирательной комиссии:    Иваново, Ленинская"																																																																																											
																																																																																											
Сводная таблица итогов голосования																																																																																											
																																																																																											
	Число участковых избирательных комиссий	80																																																																																									
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	80																																																																																									
																																																																																											
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №777	УИК №779									
1	"Число избирателей, включенных в список избирателей"	115808	1810	1561	1178	1064	1194	2059	1953	1723	1598	1862	992	1247	1660	1709	1983	1856	1329	1554	1349	1912	1082	1839	1457	1296	1276	1351	1775	924	1729	1457	1832	1680	1858	1690	1145	1019	1844	2140	1840	1363	1202	1064	1092	1104	1116	1687	1754	1643	1499	1097	1048	1120	975	938	987	1095	1117	1142	1099	1559	1503	1348	1758	1355	1244	1163	1558	1029	1010	1192	1306	1921	1805	1471	1505	1452	2041	1725	2382	512									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	79747	1500	1200	1000	800	900	1500	1044	1200	851	1300	700	900	1200	1200	938	962	900	1000	1000	1400	800	1300	1000	900	900	1000	1300	700	1200	1000	1300	1200	960	999	800	700	1200	1700	1300	1000	900	700	700	800	800	1200	1200	1200	1100	700	700	800	700	440	594	800	800	800	800	906	813	734	1200	1000	900	800	1100	700	700	800	1000	1400	1300	1100	1100	1000	1400	1106	1600	600									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	64582	1166	888	832	656	730	1189	996	950	832	838	506	553	865	962	884	943	743	921	824	1084	552	1081	829	650	734	736	1139	476	1012	838	1032	960	926	967	670	519	954	1466	931	759	641	625	641	625	630	938	1014	832	825	634	578	590	515	421	562	562	601	590	605	882	782	692	954	834	741	636	870	604	551	703	606	1020	1063	844	883	808	1172	1089	1458	368									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3446	33	121	50	31	32	29	48	55	19	38	41	223	46	43	54	19	22	24	37	21	45	52	39	47	17	41	14	60	50	34	47	51	34	32	37	41	26	52	52	35	51	30	19	17	20	82	70	64	65	51	23	34	38	19	32	26	35	20	22	24	31	42	49	27	16	33	46	36	33	31	260	49	41	30	12	12	18	17	17	112									
6	Число погашенных избирательных бюллетеней	11719	301	191	118	113	138	282	0	195	0	424	153	124	289	195	0	0	135	55	139	295	203	167	132	203	149	223	147	164	138	128	221	189	0	0	93	140	220	182	317	206	208	45	40	158	150	180	116	304	210	15	99	176	147	0	0	212	164	190	173	0	0	0	197	139	143	131	184	60	116	66	134	331	196	226	205	180	210	0	125	120									
