Выборы Президента Российской Федерации																																								
																																								
Наименование Избирательной комиссии:    Сланцевская																																								
																																								
Итоги голосования 																																								
																																								
		Сумма	УИК  808	УИК  809	УИК  810	УИК  811	УИК  812	УИК  813	УИК  814	УИК  815	УИК  816	УИК  817	УИК  818	УИК  819	УИК  820	УИК  821	УИК  822	УИК  823	УИК  824	УИК  825	УИК  826	УИК  827	УИК  828	УИК  829	УИК  830	УИК  831	УИК  832	УИК  833	УИК  834	УИК  835	УИК  836	УИК  837	УИК  838	УИК  839	УИК  840					
1	"Число избирателей, внесенных в список"	39114	1564	1559	1372	1468	1580	1328	1570	1363	1385	1476	1415	1340	1719	1298	1367	1267	243	1653	1529	1338	1436	1310	481	109	727	986	681	209	1690	1516	816	559	760					
2	Число полученных избирательных бюллетеней	39960	1560	1580	1400	1500	1580	1360	1600	1400	1420	1520	1430	1340	1780	1280	1370	1260	240	1650	1560	1360	1440	1310	570	110	790	1050	690	270	1790	1570	830	560	790					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	19427	788	870	734	805	769	677	822	709	734	773	736	740	894	717	699	691	40	778	755	567	780	670	199	64	354	430	288	119	673	739	268	200	345					
5	"Число избирательных бюллетеней, выданных вне помещения"	2259	26	26	43	34	20	35	28	10	23	15	17	33	58	60	17	16	19	54	26	40	31	50	201	25	150	171	147	63	308	124	144	67	178					
6	Число погашенных избирательных бюллетеней	18274	746	684	623	661	791	648	750	681	663	732	677	567	828	503	654	553	181	818	779	753	629	590	170	21	286	449	255	88	809	707	418	293	267					
7	Число избирательных бюллетеней в переносных ящиках	2259	26	26	43	34	20	35	28	10	23	15	17	33	58	60	17	16	19	54	26	40	31	50	201	25	150	171	147	63	308	124	144	67	178					
8	Число бюллетеней в стационарных ящиках для голосования	19425	788	869	734	805	769	677	822	709	734	773	736	740	894	717	699	690	40	778	755	567	780	670	199	64	354	430	288	119	673	739	268	200	345					
9	Число недействительных избирательных бюллетеней	110	2	6	7	4	9	1	2	2	0	6	6	1	9	2	2	0	0	8	2	3	7	1	2	1	3	4	0	0	7	6	4	0	3					
10	Число действительных избирательных бюллетеней	21574	812	889	770	835	780	711	848	717	757	782	747	772	943	775	714	706	59	824	779	604	804	719	398	88	501	597	435	182	974	857	408	267	520					
11	Число полученных открепительных  удостоверений	886	14	15	17	9	16	10	25	21	23	20	21	15	17	19	15	15	5	18	15	11	19	21	80	10	35	66	40	73	65	57	7	7	85					
12	Число выданных открепительных удостоверений	807	11	10	12	9	14	8	23	19	20	17	19	9	15	15	11	12	2	14	13	10	16	21	79	10	35	66	36	73	65	57	3	7	76					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	310	6	4	10	7	18	9	6	6	7	4	10	13	9	3	9	6	10	13	6	5	22	7	5	13	5	15	26	14	14	8	8	3	9					
14	Число неиспользованных открепительных удостоверений	79	3	5	5	0	2	2	2	2	3	3	2	6	2	4	4	3	3	4	2	1	3	0	1	0	0	0	4	0	0	0	4	0	9					
15	"Число открепительных удостоверений, выданных в ТИК"	41	0	0	1	0	0	3	4	0	0	0	0	1	1	0	0	0	0	0	3	0	2	3	2	0	0	1	11	7	0	0	1	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																								
18	. Глазьев Сергей Юрьевич	690	33	40	34	31	23	17	35	28	33	43	21	20	40	35	24	20	1	23	24	13	20	27	5	5	10	18	3	0	13	22	10	5	14					
		3.18%	4.05%	4.47%	4.38%	3.69%	2.92%	2.39%	4.12%	3.89%	4.36%	5.46%	2.79%	2.59%	4.20%	4.50%	3.35%	2.83%	1.69%	2.76%	3.07%	2.14%	2.47%	3.75%	1.25%	5.62%	1.98%	3.00%	0.69%	0.00%	1.33%	2.55%	2.43%	1.87%	2.68%					
19	. Малышкин Олег Александрович	498	23	25	16	30	28	14	16	15	14	16	24	19	15	10	14	20	0	18	22	17	21	14	4	0	9	11	13	8	13	20	5	6	18					
		2.30%	2.83%	2.79%	2.06%	3.58%	3.55%	1.97%	1.88%	2.09%	1.85%	2.03%	3.19%	2.46%	1.58%	1.29%	1.96%	2.83%	0.00%	2.16%	2.82%	2.80%	2.59%	1.94%	1.00%	0.00%	1.79%	1.83%	2.99%	4.40%	1.33%	2.32%	1.21%	2.25%	3.44%					
20	. Миронов Сергей Михайлович	339	11	20	6	15	16	9	17	13	14	6	9	8	14	10	11	19	0	18	11	15	10	12	8	0	2	11	3	5	9	18	9	7	3					
		1.56%	1.35%	2.23%	0.77%	1.79%	2.03%	1.26%	2.00%	1.81%	1.85%	0.76%	1.20%	1.03%	1.47%	1.29%	1.54%	2.69%	0.00%	2.16%	1.41%	2.47%	1.23%	1.67%	2.00%	0.00%	0.40%	1.83%	0.69%	2.75%	0.92%	2.09%	2.18%	2.62%	0.57%					
21	. Путин Владимир Владимирович	15417	531	614	532	551	548	482	573	513	514	533	541	518	679	551	484	505	48	618	562	419	523	449	334	73	448	474	347	147	792	595	294	209	416					
