Выборы Президента Российской Федерации																																																																																																																																																
Дата голосования: 04.03.2012																																																																																																																																																
																																																																																																																																																
Наименование Избирательной комиссии:    Гатчинская																																																																																																																																																
																																																																																																																																																
Сводная таблица итогов голосования																																																																																																																																																
																																																																																																																																																
	Число участковых избирательных комиссий	133																																																																																																																																														
	Число участковых избирательных комиссий, приступивших к передаче сведений	133																																																																																																																																														
																																																																																																																																																
		Сумма	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №969	УИК №970	УИК №982									
1	Число избирателей, включенных в список избирателей	164216	913	747	382	1790	1032	664	491	732	566	1070	178	186	2232	395	2072	2370	2516	2289	1104	2601	2138	1825	2190	2035	2086	1265	1758	2325	1795	1839	2148	1738	2301	1853	1738	2143	1704	1532	2067	1966	2015	2045	1894	2411	2675	2032	2356	1434	1240	1503	1753	2048	1958	2002	1356	1438	1924	1988	868	443	693	768	327	385	505	568	570	474	863	835	555	540	720	623	877	981	699	2085	1569	600	1242	1009	809	1152	601	322	554	276	1951	2160	1902	1447	812	1188	1101	1264	720	936	1100	939	445	372	430	2035	1965	935	475	1162	1535	521	854	963	274	1954	1107	1478	1311	1330	560	457	715	1020	1587	1648	149	957	721	578	687	176	510	236	188									
2	Число избирательных бюллетеней, полученных участковой избирательной комиссией	142355	800	600	300	1500	900	550	450	600	400	1000	150	150	1800	500	1700	2000	2100	2000	900	2100	1900	1500	1800	1650	1700	1200	1500	1900	1450	1500	1700	1400	1950	1650	1700	1700	1400	1250	1700	1600	1600	1650	1600	1900	2150	1700	1900	1300	1100	1400	1400	1650	1600	1700	1100	1200	1650	1650	900	350	600	700	300	300	400	400	450	400	800	800	500	500	600	500	800	900	700	1700	1300	500	1200	1000	700	1000	650	250	500	250	1700	1800	1800	1000	700	1100	1100	1300	800	900	1000	900	350	300	350	1700	1650	800	400	1300	1800	500	800	900	250	1900	1000	1400	1300	1300	450	400	600	900	1500	1600	140	900	600	500	670	150	500	280	215									
3	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных в помещении для голосования в день голосования	94502	439	314	165	1026	586	309	245	326	268	500	88	90	1314	147	1375	1424	1689	1559	649	1641	1565	1048	1341	1191	1282	955	1069	1461	975	1101	1076	1015	1444	1090	1239	886	931	982	1092	1064	1018	1295	1300	1501	1632	1357	1510	730	541	712	893	1115	1178	1213	763	870	1245	1227	395	233	423	420	174	186	276	253	423	224	558	500	338	335	312	319	494	622	473	1045	772	327	790	585	426	574	170	120	257	117	1274	1180	998	654	389	743	595	663	431	532	545	534	247	223	226	1108	1031	489	254	661	962	347	362	549	143	1129	809	853	680	691	247	198	383	512	941	894	112	550	332	334	550	114	447	217	167									
5	Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования	8999	51	94	11	48	46	26	27	39	48	141	37	27	169	154	13	31	23	15	29	24	20	77	27	28	27	27	117	34	54	59	67	20	115	122	13	99	45	7	39	22	31	20	27	19	27	23	22	119	83	114	27	46	33	89	14	32	32	57	76	29	19	47	31	37	60	54	22	45	21	24	8	6	59	30	8	17	0	114	123	64	65	102	49	46	431	36	82	113	164	213	32	191	25	4	262	238	96	94	160	83	38	62	57	70	39	80	51	323	294	100	78	79	40	118	79	43	169	126	83	77	44	133	96	112	0	95	126	61	6	31	3	19	0									
6	Число погашенных избирательных бюллетеней	38854	310	192	124	426	268	215	178	235	84	359	25	33	317	199	312	545	388	426	222	435	315	375	432	431	391	218	314	405	421	340	557	365	391	438	448	715	424	261	569	514	551	335	273	380	491	320	368	451	476	574	480	489	389	398	323	298	373	366	429	88	158	233	95	77	64	93	5	131	221	276	154	159	229	151	298	261	227	541	405	109	345	313	225	380	49	94	161	20	262	407	770	155	286	353	243	399	273	274	295	283	65	15	67	522	580	231	95	316	544	53	360	272	67	653	112	504	451	483	120	125	173	255	463	594	28	255	142	105	114	5	50	44	48									
