Выборы Президента Российской Федерации																																																																																						
																																																																																						
Наименование Избирательной комиссии:    Гатчинская																																																																																						
																																																																																						
Итоги голосования 																																																																																						
																																																																																						
		Сумма	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435					
1	"Число избирателей, внесенных в список"	82400	1014	716	368	1973	1110	669	491	737	611	1428	1359	946	419	381	421	372	535	486	563	1038	1053	951	705	461	637	1847	812	2259	2096	1658	1240	514	2262	1094	1423	171	491	317	1761	2228	396	1945	1050	795	1076	370	179	1078	933	1209	1313	847	1108	209	1950	443	846	2196	2177	892	929	260	1999	1048	1439	1777	1512	568	1504	2120	1476	1715	1597	336	197	1677	827	564	226					
2	Число полученных избирательных бюллетеней	84140	1000	760	350	1900	1100	600	500	700	600	1400	1400	1000	440	400	480	380	550	520	530	1000	1000	1000	670	500	660	1800	750	2300	2100	1600	1260	500	2330	1100	1630	210	570	320	1800	2200	400	2000	1100	850	1100	400	180	1160	980	1300	1400	880	1200	220	2000	450	850	2200	2200	900	970	270	2000	1150	1600	1800	1550	690	1500	2180	1470	1700	1600	330	190	1800	860	570	230					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	42942	461	284	139	1094	580	298	216	311	253	798	614	531	244	232	231	173	249	215	238	591	619	519	178	169	301	1021	595	1082	973	915	645	237	1242	473	609	101	264	193	925	1020	309	913	458	408	657	264	151	537	485	600	630	452	534	116	887	202	499	1494	1585	340	494	119	1083	532	766	753	747	263	759	965	1027	1080	904	288	139	783	320	441	125					
5	"Число избирательных бюллетеней, выданных вне помещения"	6347	68	124	61	73	62	46	72	92	81	17	81	78	42	30	37	60	48	67	56	4	22	40	421	77	42	12	0	87	124	74	103	94	99	155	272	21	66	39	148	296	0	69	104	9	0	1	0	141	90	177	192	56	197	60	146	29	17	74	34	119	36	33	46	67	44	198	93	72	169	143	63	28	63	25	0	180	128	8	45					
6	Число погашенных избирательных бюллетеней	34851	471	352	150	733	458	256	212	297	266	585	705	391	154	138	212	147	253	238	236	405	359	441	71	254	317	767	155	1131	1003	611	512	169	989	472	749	88	240	88	727	884	91	1018	538	433	443	135	29	482	405	523	578	372	469	44	967	219	334	632	581	441	440	118	871	551	790	849	710	355	572	1072	380	592	633	17	51	837	412	121	60					
7	Число избирательных бюллетеней в переносных ящиках	6346	68	124	61	73	62	46	72	92	81	17	81	78	42	30	37	60	48	67	56	4	22	40	421	77	42	12	0	87	124	74	103	94	99	155	272	21	66	39	148	296	0	69	104	9	0	1	0	141	90	177	192	56	197	60	145	29	17	74	34	119	36	33	46	67	44	198	93	72	169	143	63	28	63	25	0	180	128	8	45					
8	Число бюллетеней в стационарных ящиках для голосования	42936	461	284	139	1094	580	298	216	311	253	798	614	531	244	232	231	173	249	215	238	591	619	519	178	169	301	1021	595	1082	971	915	645	237	1242	473	609	101	264	193	925	1020	309	912	458	408	657	264	151	537	483	600	630	452	534	116	887	202	499	1494	1585	340	494	119	1083	532	766	753	747	263	759	964	1027	1080	904	288	139	783	320	441	125					
9	Число недействительных избирательных бюллетеней	382	2	3	1	5	3	1	1	2	0	13	7	4	1	2	4	2	2	0	1	5	4	4	3	0	2	13	6	4	18	13	7	0	8	3	9	0	0	2	3	14	2	6	0	2	1	0	0	8	2	2	6	5	5	0	16	4	7	6	19	6	10	0	14	4	11	15	10	2	1	6	11	7	6	1	0	10	3	1	1					
10	Число действительных избирательных бюллетеней	48900	527	405	199	1162	639	343	287	401	334	802	688	605	285	260	264	231	295	282	293	590	637	555	596	246	341	1020	589	1165	1077	976	741	331	1333	625	872	122	330	230	1070	1302	307	975	562	415	656	265	151	670	571	775	816	503	726	176	1016	227	509	1562	1600	453	520	152	1115	595	799	936	830	333	927	1101	1079	1101	961	312	139	953	445	448	169					
