Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																														
Дата голосования: 02.12.2007																														
																														
Наименование Избирательной комиссии:    Усть-Донецкая районная																														
																														
Сводная таблица результатов выборов																														
																														
		Сумма	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380					
1	"Число избирателей, внесенных в списки избирателей"	23177	217	573	1099	1410	1082	1181	341	240	227	839	2702	2801	2756	267	2117	395	1308	373	729	498	410	503	1109					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	20980	200	520	1000	1300	1000	1100	300	220	200	750	2450	2530	2420	250	1920	350	1230	330	680	450	400	460	920					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	16752	130	397	878	830	898	927	234	182	152	461	2163	2080	2146	162	1364	245	950	256	594	347	321	386	649					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1556	23	30	107	131	54	120	41	22	48	109	36	37	91	39	91	39	90	36	54	57	61	68	172					
6	Число погашенных избирательных бюллетеней	2672	47	93	15	339	48	53	25	16	0	180	251	413	183	49	465	66	190	38	32	46	18	6	99					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1556	23	30	107	131	54	120	41	22	48	109	36	37	91	39	91	39	90	36	54	57	61	68	172					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	16752	130	397	878	830	898	927	234	182	152	461	2163	2080	2146	162	1364	245	950	256	594	347	321	386	649					
9	Число недействительных избирательных бюллетеней	66	4	0	6	7	2	0	0	0	0	0	16	13	0	0	10	0	2	0	3	2	0	1	0					
10	Число действительных избирательных бюллетеней	18242	149	427	979	954	950	1047	275	204	200	570	2183	2104	2237	201	1445	284	1038	292	645	402	382	453	821					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	622	2	10	40	63	40	20	20	10	10	15	50	65	50	10	57	15	45	10	25	10	15	15	25					
