Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																										
Дата голосования: 07.12.2003 0:00:00																																																																										
																																																																										
Наименование Избирательной комиссии:    Новочеркасская																																																																										
																																																																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																										
																																																																										
		Сумма	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №2487	УИК №2488					
1	"Число избирателей, внесенных в списки"	142207	3002	2221	1843	2042	1734	513	2222	2601	2546	1629	1788	1878	2867	1595	2850	2804	2348	1776	2639	1713	2564	2394	2663	2504	1299	2103	2248	2945	1935	1859	2838	1845	2514	1363	968	351	2894	2666	2785	2809	2198	1725	1740	1946	2057	1891	2308	2457	2308	2514	1673	1624	2391	2104	2462	1217	966	1447	2006	2982	2498	2339	2785	2792	2441	2175	1003					
2	"Число бюллетеней, полученных участковыми комиссиями"	139600	2950	2100	1750	2000	1800	600	2100	2600	2400	1700	1900	1900	2900	1600	2800	2700	2300	1800	2700	1700	2000	2400	2700	2600	1400	2000	2200	2600	1900	1600	3000	2000	2800	1300	1000	400	2800	2600	2700	2800	2100	1700	1700	1900	2000	1800	2300	2400	2300	2400	1600	1500	2300	2000	2400	1000	1000	1200	2000	2900	2500	2300	2700	2700	2500	2100	1200					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	73057	1572	1300	1042	1129	799	266	1315	1420	1320	883	778	792	1260	733	1750	1420	1136	799	1245	743	1286	982	1099	879	543	1130	872	1331	1024	1112	1392	755	948	653	459	270	1392	1454	1379	1341	1106	968	957	1093	1005	1113	1091	1296	1231	1366	933	904	1184	1199	1202	534	359	683	1046	1646	1029	1498	1826	1666	1590	1777	752					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2915	18	30	27	35	35	4	28	41	33	14	51	29	81	53	37	78	46	28	26	149	84	41	86	74	26	35	35	67	33	4	45	77	164	29	10	4	30	45	23	18	34	37	32	45	13	38	26	21	23	27	26	23	44	26	46	21	25	29	36	30	217	35	43	34	24	10	177					
6	Число погашенных бюллетеней	63628	1360	770	681	836	966	330	757	1139	1047	803	1071	1079	1559	814	1013	1202	1118	973	1429	808	630	1377	1515	1647	831	835	1293	1202	843	484	1563	1168	1688	618	531	126	1378	1101	1298	1441	960	695	711	762	982	649	1183	1083	1046	1007	641	573	1072	775	1152	445	616	488	918	1224	1254	767	831	1000	886	313	271					
7	Число бюллетеней в переносных ящиках для голосования	2914	18	30	27	35	35	4	28	41	33	14	51	29	81	53	37	78	46	28	26	149	84	41	86	74	26	35	35	67	33	4	45	77	164	29	10	4	30	45	23	18	34	37	32	45	13	38	26	21	23	27	26	23	44	26	46	21	25	29	36	30	216	35	43	34	24	10	177					
8	Число бюллетеней в стационарных ящиках для голосования	73010	1571	1300	1042	1125	799	266	1308	1420	1320	883	776	792	1259	729	1750	1417	1136	798	1244	743	1286	982	1098	876	543	1130	872	1331	1022	1112	1388	755	948	653	459	270	1392	1454	1373	1340	1106	967	957	1093	1005	1112	1091	1294	1231	1366	933	904	1184	1199	1200	534	359	683	1046	1646	1029	1498	1826	1666	1590	1777	752					
9	Число недействительных бюллетеней	962	9	11	11	11	11	11	7	16	13	5	12	7	13	11	21	12	15	15	8	16	11	11	10	8	9	27	16	13	5	4	12	19	10	4	4	10	14	23	9	19	15	11	11	11	21	17	12	12	14	32	18	24	10	19	16	17	5	14	14	17	74	12	19	22	17	26	9					
10	Число действительных бюллетеней	74962	1580	1319	1058	1149	823	259	1329	1445	1340	892	815	814	1327	771	1766	1483	1167	811	1262	876	1359	1012	1174	942	560	1138	891	1385	1050	1112	1421	813	1102	678	465	264	1408	1476	1387	1339	1125	993	978	1127	997	1133	1105	1303	1240	1361	941	903	1218	1206	1230	538	379	698	1068	1659	1171	1521	1850	1678	1597	1761	920					
