Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																										
Дата голосования: 18.09.2016																																																																										
																																																																										
Наименование Избирательной комиссии:    Солнечногорская																																																																										
																																																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																																																										
																																																																										
		Сумма	УИК №2966	УИК №2967	УИК №2968	УИК №2969	УИК №2970	УИК №2971	УИК №2972	УИК №2973	УИК №2974	УИК №2975	УИК №2976	УИК №2977	УИК №2978	УИК №2979	УИК №2980	УИК №2981	УИК №2982	УИК №2983	УИК №2984	УИК №2985	УИК №2986	УИК №2987	УИК №2988	УИК №2989	УИК №2990	УИК №2991	УИК №2992	УИК №2993	УИК №2994	УИК №2995	УИК №2996	УИК №2997	УИК №2998	УИК №2999	УИК №3000	УИК №3001	УИК №3002	УИК №3003	УИК №3004	УИК №3005	УИК №3006	УИК №3007	УИК №3008	УИК №3009	УИК №3010	УИК №3011	УИК №3012	УИК №3013	УИК №3014	УИК №3019	УИК №3020	УИК №3021	УИК №3022	УИК №3023	УИК №3024	УИК №3025	УИК №3026	УИК №3027	УИК №3028	УИК №3029	УИК №3030	УИК №3031	УИК №3032									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	107794	2528	1842	2520	2696	2294	2078	1993	688	1958	1978	2280	1319	2028	1559	1739	1792	2290	2164	2414	2516	2196	2184	2804	2207	2255	2199	1728	2946	1867	2333	2202	774	1169	1594	2455	336	459	3194	1690	2486	2234	2663	787	1247	1145	776	1443	844	1238	953	946	1650	1907	1576	2006	1656	732	501	455	757	509	443	1572									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	74069	1700	1200	1700	1800	1200	1300	1400	500	1400	1400	1500	1000	1400	1100	1300	1300	1600	1600	1702	1800	1600	1500	1900	1600	1800	1600	1100	1900	1300	1700	1502	552	800	1100	1700	280	300	2100	700	1500	2000	1700	552	900	800	550	761	550	650	700	700	1200	1500	900	1500	1100	500	250	320	550	450	300	1200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	39455	919	623	776	778	656	702	735	285	727	707	702	520	644	626	601	716	774	761	828	921	820	897	1073	963	763	881	789	962	655	806	779	247	375	578	951	116	136	1512	554	1085	931	973	259	521	469	261	614	268	471	393	346	580	680	417	636	597	224	242	140	364	191	116	819									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1499	38	14	27	23	190	12	19	0	4	13	38	20	16	33	2	2	10	4	13	1	15	14	13	11	5	4	3	109	10	18	8	9	11	10	17	48	21	6	51	109	5	13	4	10	11	17	20	31	0	5	4	11	27	20	15	77	52	8	140	18	5	33	2									
6	Число погашенных избирательных бюллетеней	33097	726	563	897	999	354	586	646	215	669	680	760	460	740	441	696	582	816	835	861	878	765	589	814	626	1032	715	308	829	635	876	715	296	414	512	732	116	143	582	95	306	1064	714	289	369	320	272	127	251	179	302	350	609	793	463	849	426	224	0	40	168	254	151	379									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1492	38	14	27	23	190	12	19	0	4	13	38	20	16	33	2	2	10	4	13	1	15	14	13	11	5	4	3	109	10	18	8	9	11	10	17	48	21	6	51	109	5	13	4	10	11	17	20	31	0	5	4	11	27	16	15	74	52	8	140	18	5	33	2									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	39317	864	609	776	777	656	702	733	285	716	707	702	518	644	626	600	716	764	761	826	919	820	897	1073	952	754	877	789	962	654	806	776	247	375	574	951	116	135	1512	554	1082	931	973	259	521	469	261	614	268	471	393	346	580	680	417	636	595	224	242	140	364	191	116	819									
9	Число недействительных избирательных бюллетеней	1206	11	17	20	15	23	25	19	8	19	20	10	15	25	16	30	18	32	19	30	20	18	30	48	33	16	27	17	41	13	26	21	6	13	22	31	5	0	41	9	21	19	25	12	8	11	17	13	9	11	19	10	39	34	18	24	28	10	8	11	12	6	2	30									
10	Число действительных избирательных бюллетеней	39603	891	606	783	785	823	689	733	277	701	700	730	523	635	643	572	700	742	746	809	900	817	881	1038	930	743	854	775	1030	651	798	763	250	373	562	937	159	156	1477	596	1170	917	961	251	523	469	261	621	290	460	379	340	552	673	415	627	641	266	242	269	370	190	147	791									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1508	25	30	25	30	20	20	20	10	20	20	35	15	20	20	20	25	25	26	25	25	36	25	33	35	35	30	50	30	20	35	35	10	15	15	30	5	5	115	20	30	45	33	10	15	25	10	35	10	10	10	25	27	25	28	20	20	10	15	5	10	20	5	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1137	12	21	14	21	17	17	11	3	14	12	23	9	17	13	20	16	17	19	16	16	32	17	26	29	32	19	39	27	17	22	28	8	15	8	27	3	4	110	5	29	43	25	10	11	23	7	35	3	10	10	20	18	13	19	11	10	6	14	0	5	11	1	27									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1165	36	11	14	16	64	140	6	4	6	18	23	33	19	26	4	5	8	16	14	16	16	31	13	20	14	11	6	11	14	24	21	9	15	8	25	4	1	25	49	2	6	8	8	3	36	7	44	17	60	16	8	11	12	7	14	30	20	10	11	7	6	17	9									
14	Число погашенных неиспользованных открепительных удостоверений	371	13	9	11	9	3	3	9	7	6	8	12	6	3	7	0	9	8	7	9	9	4	8	7	6	3	11	11	3	3	13	7	2	0	7	3	2	1	5	15	1	2	8	0	4	2	3	0	7	0	0	5	9	12	9	9	10	4	1	5	5	9	4	3									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	499	4	8	7	11	14	10	0	4	5	2	12	0	10	5	10	8	12	14	8	13	15	6	15	12	20	7	19	19	10	7	11	3	8	8	7	2	1	19	13	4	12	6	1	7	3	10	19	3	18	4	3	2	9	4	3	5	4	0	3	4	1	5	10									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	18	17	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																										
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	1175	29	28	27	30	37	35	31	11	20	19	15	11	15	22	22	21	30	18	22	19	17	30	41	34	24	30	31	35	19	30	20	2	14	10	21	3	4	34	14	23	42	40	11	6	13	3	24	4	13	5	10	11	11	11	15	13	6	1	3	5	4	4	22									
		2.88%	3.22%	4.49%	3.36%	3.75%	4.37%	4.90%	4.12%	3.86%	2.78%	2.64%	2.03%	2.04%	2.27%	3.34%	3.65%	2.92%	3.88%	2.35%	2.62%	2.07%	2.04%	3.29%	3.78%	3.53%	3.16%	3.41%	3.91%	3.27%	2.86%	3.64%	2.55%	0.78%	3.63%	1.71%	2.17%	1.83%	2.56%	2.24%	2.31%	1.93%	4.49%	4.06%	4.18%	1.13%	2.71%	1.08%	3.79%	1.34%	2.76%	1.26%	2.86%	1.86%	1.56%	2.54%	2.30%	1.94%	2.17%	0.40%	1.07%	1.31%	2.04%	2.68%	2.68%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	895	20	13	17	9	22	15	19	1	15	19	14	8	13	11	20	12	18	20	17	20	25	23	24	26	20	26	10	30	15	22	28	10	9	11	17	5	3	13	13	18	18	29	6	10	15	5	6	6	7	6	7	12	13	10	27	13	7	5	4	13	4	5	16									
		2.19%	2.22%	2.09%	2.12%	1.13%	2.60%	2.10%	2.53%	0.35%	2.08%	2.64%	1.89%	1.49%	1.97%	1.67%	3.32%	1.67%	2.33%	2.61%	2.03%	2.17%	2.99%	2.52%	2.21%	2.70%	2.64%	2.95%	1.26%	2.80%	2.26%	2.67%	3.57%	3.91%	2.33%	1.88%	1.76%	3.05%	1.92%	0.86%	2.15%	1.51%	1.92%	2.94%	2.28%	1.88%	3.13%	1.80%	0.95%	2.01%	1.49%	1.51%	2.00%	2.03%	1.84%	2.31%	4.15%	1.94%	2.54%	2.00%	1.43%	3.40%	2.04%	3.36%	1.95%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	1246	28	25	20	26	17	23	32	10	26	17	29	16	19	15	24	27	21	20	34	29	36	35	41	30	33	32	27	44	16	31	31	9	14	12	30	5	4	17	19	28	31	26	6	11	8	11	14	7	10	12	5	15	26	14	16	15	3	9	3	9	6	8	29									
		3.05%	3.10%	4.01%	2.49%	3.25%	2.01%	3.22%	4.26%	3.51%	3.61%	2.36%	3.92%	2.97%	2.88%	2.28%	3.99%	3.76%	2.71%	2.61%	4.05%	3.15%	4.31%	3.84%	3.78%	3.12%	4.35%	3.63%	3.41%	4.11%	2.41%	3.76%	3.95%	3.52%	3.63%	2.05%	3.10%	3.05%	2.56%	1.12%	3.14%	2.35%	3.31%	2.64%	2.28%	2.07%	1.67%	3.96%	2.21%	2.34%	2.12%	3.02%	1.43%	2.54%	3.68%	3.23%	2.46%	2.24%	1.09%	3.60%	1.07%	2.36%	3.06%	5.37%	3.53%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	15804	380	214	303	269	315	285	228	143	228	207	296	206	277	265	201	254	274	273	273	271	285	299	326	323	259	262	313	360	223	270	258	115	135	229	355	67	60	992	206	580	364	324	120	220	200	116	309	164	206	168	128	252	293	162	289	318	125	91	168	175	92	73	368									
		38.73%	42.13%	34.35%	37.73%	33.63%	37.23%	39.92%	30.32%	50.18%	31.67%	28.75%	40.00%	38.29%	41.97%	40.21%	33.39%	35.38%	35.40%	35.69%	32.54%	29.46%	34.13%	32.82%	30.02%	33.54%	34.12%	29.74%	39.52%	33.61%	33.58%	32.77%	32.91%	44.92%	34.97%	39.21%	36.67%	40.85%	38.46%	65.35%	34.05%	48.70%	38.89%	32.86%	45.63%	41.43%	41.67%	41.73%	48.74%	54.85%	43.74%	42.21%	36.57%	42.64%	41.44%	37.41%	44.39%	47.53%	45.29%	36.40%	60.00%	45.81%	46.94%	48.99%	44.82%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	859	23	14	9	15	13	16	16	3	23	21	9	8	8	12	11	14	19	25	25	19	16	18	27	16	9	28	32	22	14	26	19	9	12	14	32	2	3	23	4	16	20	25	9	14	16	4	15	3	8	2	9	10	13	11	9	14	7	2	0	3	2	0	18									
		2.10%	2.55%	2.25%	1.12%	1.88%	1.54%	2.24%	2.13%	1.05%	3.19%	2.92%	1.22%	1.49%	1.21%	1.82%	1.83%	1.95%	2.45%	3.27%	2.98%	2.07%	1.92%	1.98%	2.49%	1.66%	1.19%	3.18%	4.04%	2.05%	2.11%	3.16%	2.42%	3.52%	3.11%	2.40%	3.31%	1.22%	1.92%	1.52%	0.66%	1.34%	2.14%	2.54%	3.42%	2.64%	3.33%	1.44%	2.37%	1.00%	1.70%	0.50%	2.57%	1.69%	1.84%	2.54%	1.38%	2.09%	2.54%	0.80%	0.00%	0.79%	1.02%	0.00%	2.19%									
24	"6. Политическая партия ""Гражданская Платформа"""	83	1	0	2	1	1	1	1	0	2	2	3	1	4	3	0	0	1	1	1	1	3	3	3	1	1	0	5	6	1	1	2	0	0	0	0	1	2	0	1	2	2	5	0	2	3	0	1	0	2	0	0	0	1	1	1	2	1	1	2	0	1	0	0									
		0.20%	0.11%	0.00%	0.25%	0.13%	0.12%	0.14%	0.13%	0.00%	0.28%	0.28%	0.41%	0.19%	0.61%	0.46%	0.00%	0.00%	0.13%	0.13%	0.12%	0.11%	0.36%	0.33%	0.28%	0.10%	0.13%	0.00%	0.63%	0.56%	0.15%	0.12%	0.26%	0.00%	0.00%	0.00%	0.00%	0.61%	1.28%	0.00%	0.17%	0.17%	0.21%	0.51%	0.00%	0.38%	0.63%	0.00%	0.16%	0.00%	0.42%	0.00%	0.00%	0.00%	0.14%	0.23%	0.15%	0.30%	0.36%	0.40%	0.71%	0.00%	0.51%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	7477	149	119	121	125	121	113	108	52	98	113	150	97	137	101	107	116	127	141	166	200	177	166	198	135	153	193	143	226	139	131	143	47	78	105	165	35	34	200	139	236	171	147	37	116	92	72	96	36	74	101	108	134	184	105	116	129	55	38	57	83	39	23	160									
		18.32%	16.52%	19.10%	15.07%	15.63%	14.30%	15.83%	14.36%	18.25%	13.61%	15.69%	20.27%	18.03%	20.76%	15.33%	17.77%	16.16%	16.41%	18.43%	19.79%	21.74%	21.20%	18.22%	18.23%	14.02%	20.16%	21.91%	18.06%	21.10%	20.93%	15.90%	18.24%	18.36%	20.21%	17.98%	17.05%	21.34%	21.79%	13.18%	22.98%	19.82%	18.27%	14.91%	14.07%	21.85%	19.17%	25.90%	15.14%	12.04%	15.71%	25.38%	30.86%	22.67%	26.03%	24.25%	17.82%	19.28%	19.93%	15.20%	20.36%	21.73%	19.90%	15.44%	19.49%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	515	18	17	15	23	17	12	17	6	8	14	7	12	4	16	14	6	9	7	8	11	10	13	15	7	11	7	13	11	12	6	9	0	2	8	13	5	5	13	14	9	6	11	1	4	3	1	7	3	10	1	0	6	4	3	9	2	5	1	3	0	4	2	5									
		1.26%	1.99%	2.73%	1.87%	2.88%	2.01%	1.68%	2.26%	2.11%	1.11%	1.94%	0.95%	2.23%	0.61%	2.43%	2.33%	0.84%	1.16%	0.92%	0.95%	1.20%	1.20%	1.43%	1.38%	0.73%	1.45%	0.79%	1.64%	1.03%	1.81%	0.73%	1.15%	0.00%	0.52%	1.37%	1.34%	3.05%	3.21%	0.86%	2.31%	0.76%	0.64%	1.12%	0.38%	0.75%	0.63%	0.36%	1.10%	1.00%	2.12%	0.25%	0.00%	1.02%	0.57%	0.69%	1.38%	0.30%	1.81%	0.40%	1.07%	0.00%	2.04%	1.34%	0.61%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	816	27	16	14	26	34	16	24	5	20	33	20	9	15	11	15	16	10	15	13	20	21	17	22	17	24	17	21	25	9	15	13	4	3	15	19	1	5	12	8	19	18	32	4	4	4	0	17	5	20	6	8	4	7	3	6	2	7	1	1	8	2	1	10									
		1.99%	2.99%	2.57%	1.74%	3.25%	4.02%	2.24%	3.19%	1.75%	2.78%	4.58%	2.70%	1.67%	2.27%	1.67%	2.49%	2.23%	1.29%	1.96%	1.55%	2.17%	2.51%	1.87%	2.03%	1.77%	3.16%	1.93%	2.65%	2.33%	1.36%	1.82%	1.66%	1.56%	0.78%	2.57%	1.96%	0.61%	3.21%	0.79%	1.32%	1.60%	1.92%	3.25%	1.52%	0.75%	0.83%	0.00%	2.68%	1.67%	4.25%	1.51%	2.29%	0.68%	0.99%	0.69%	0.92%	0.30%	2.54%	0.40%	0.36%	2.09%	1.02%	0.67%	1.22%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	67	1	1	2	1	0	1	3	0	2	1	0	1	4	0	0	1	1	2	1	1	1	1	5	1	2	2	0	1	0	2	2	0	1	2	0	0	0	3	0	2	2	1	1	0	1	0	0	0	2	0	0	1	3	0	1	2	1	1	0	1	0	0	2									
		0.16%	0.11%	0.16%	0.25%	0.13%	0.00%	0.14%	0.40%	0.00%	0.28%	0.14%	0.00%	0.19%	0.61%	0.00%	0.00%	0.14%	0.13%	0.26%	0.12%	0.11%	0.12%	0.11%	0.46%	0.10%	0.26%	0.23%	0.00%	0.09%	0.00%	0.24%	0.26%	0.00%	0.26%	0.34%	0.00%	0.00%	0.00%	0.20%	0.00%	0.17%	0.21%	0.10%	0.38%	0.00%	0.21%	0.00%	0.00%	0.00%	0.42%	0.00%	0.00%	0.17%	0.42%	0.00%	0.15%	0.30%	0.36%	0.40%	0.00%	0.26%	0.00%	0.00%	0.24%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1343	43	27	28	59	54	44	52	12	53	40	17	15	21	40	26	28	24	20	23	40	29	23	38	31	14	27	22	29	12	31	33	7	14	12	21	5	0	21	9	29	18	32	3	9	1	1	29	19	36	9	6	18	18	7	13	12	5	9	4	3	4	1	13									
