Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																
Дата голосования: 07.12.2003 0:00:00																																
																																
Наименование Избирательной комиссии:    Омутинская																																
																																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																
																																
		Сумма	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542					
1	"Число избирателей, внесенных в списки"	15287	788	1048	851	769	215	207	428	588	932	1268	981	733	1096	622	406	814	366	558	87	565	493	167	705	479	121					
2	"Число бюллетеней, полученных участковыми комиссиями"	15011	770	1056	858	770	218	202	413	599	880	1277	896	694	1072	572	376	795	367	566	93	565	488	166	706	487	125					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	8679	463	484	346	414	119	144	300	358	503	849	543	421	661	362	235	436	186	344	63	336	270	72	431	254	85					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	921	61	53	44	75	32	13	57	70	23	30	54	28	30	6	20	39	12	20	12	9	34	53	72	59	15					
6	Число погашенных бюллетеней	5411	246	519	468	281	67	45	56	171	354	398	299	245	381	204	121	320	169	202	18	220	184	41	203	174	25					
7	Число бюллетеней в переносных ящиках для голосования	921	61	53	44	75	32	13	57	70	23	30	54	28	30	6	20	39	12	20	12	9	34	53	72	59	15					
8	Число бюллетеней в стационарных ящиках для голосования	8677	463	484	346	414	119	144	300	358	503	849	543	420	660	362	235	436	186	344	63	336	270	72	431	254	85					
9	Число недействительных бюллетеней	92	13	3	7	0	1	6	0	3	14	7	6	0	5	4	7	6	0	3	3	1	0	0	3	0	0					
10	Число действительных бюллетеней	9506	511	534	383	489	150	151	357	425	512	872	591	448	685	364	248	469	198	361	72	344	304	125	500	313	100					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	127	5	5	5	5	5	5	5	5	5	5	5	5	7	5	5	5	5	5	5	5	5	5	5	5	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	31	1	2	1	2	0	1	1	2	1	2	5	5	4	0	0	1	1	0	0	0	0	0	0	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	16	0	0	1	0	1	1	2	0	1	0	1	1	2	0	1	0	0	1	0	0	0	0	2	0	2					
14	Число погашенных открепительных удостоверений	96	4	3	4	3	5	4	4	3	4	3	0	0	3	5	5	4	4	5	5	5	5	5	5	3	5					
15	Число открепительных удостоверений выданных ТИК	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																
18	"1. ""ЕДИНЕНИЕ"""	156	13	6	13	6	3	6	2	7	6	9	3	13	11	7	4	3	2	8	0	9	7	1	9	8	0					
		1.62%	2.48%	1.11%	3.33%	1.22%	1.98%	3.82%	0.56%	1.63%	1.14%	1.02%	0.50%	2.90%	1.59%	1.90%	1.56%	0.63%	1.01%	2.19%	0.0%	2.60%	2.30%	0.8%	1.78%	2.55%	0.0%					
