Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																								
Дата голосования: 18.09.2016																								
																								
Наименование Избирательной комиссии:    Холмская																								
																								
Сводная таблица итогов голосования по федеральному избирательному округу																								
																								
		Сумма	УИК №2001	УИК №2002	УИК №2003	УИК №2004	УИК №2005	УИК №2006	УИК №2007	УИК №2008	УИК №2009	УИК №2010	УИК №2011	УИК №2012	УИК №2013									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	4690	748	775	841	639	198	128	161	169	273	178	124	246	210									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	4823	756	779	850	652	216	131	172	168	285	190	135	264	225									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	1816	295	307	315	246	80	59	67	49	93	51	69	79	106									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	443	23	28	50	38	39	23	25	33	54	46	13	50	21									
6	Число погашенных избирательных бюллетеней	2564	438	444	485	368	97	49	80	86	138	93	53	135	98									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	443	23	28	50	38	39	23	25	33	54	46	13	50	21									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	1816	295	307	315	246	80	59	67	49	93	51	69	79	106									
9	Число недействительных избирательных бюллетеней	44	6	5	7	6	3	2	0	1	5	2	1	4	2									
10	Число действительных избирательных бюллетеней	2215	312	330	358	278	116	80	92	81	142	95	81	125	125									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	219	25	25	25	25	15	10	10	10	24	10	10	15	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	146	10	14	11	10	15	5	7	2	24	8	10	15	15									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	54	9	9	9	2	3	4	2	5	5	3	1	1	1									
14	Число погашенных неиспользованных открепительных удостоверений	73	15	11	14	15	0	5	3	8	0	2	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	22	3	4	4	4	1	0	4	0	0	2	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	34	5	6	3	8	2	1	2	0	0	1	2	1	3									
		1.51%	1.57%	1.79%	0.82%	2.82%	1.68%	1.22%	2.17%	0.00%	0.00%	1.03%	2.44%	0.78%	2.36%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	76	10	13	13	12	3	3	1	4	3	1	4	3	6									
