Выборы Президента Российской Федерации																																				
																																				
Наименование Избирательной комиссии:    Тереньгульская																																				
																																				
Итоги голосования 																																				
																																				
		Сумма	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656					
1	"Число избирателей, внесенных в список"	15519	1264	1598	1494	641	401	165	300	483	201	199	597	774	80	314	368	344	143	346	638	442	243	942	672	52	341	311	781	104	1281					
2	Число полученных избирательных бюллетеней	14042	1153	1450	1367	588	347	150	269	423	177	178	536	692	68	287	324	313	129	312	578	405	221	860	598	47	348	282	702	93	1145					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	9668	672	829	715	445	242	92	213	370	134	124	416	403	43	202	281	204	104	277	443	304	139	564	379	47	327	202	551	65	881					
5	"Число избирательных бюллетеней, выданных вне помещения"	977	45	46	118	43	46	35	28	22	18	30	45	45	17	29	18	55	19	9	27	24	23	53	74	0	0	30	8	15	55					
6	Число погашенных избирательных бюллетеней	3397	436	575	534	100	59	23	28	31	25	24	75	244	8	56	25	54	6	26	108	77	59	243	145	0	21	50	143	13	209					
7	Число избирательных бюллетеней в переносных ящиках	977	45	46	118	43	46	35	28	22	18	30	45	45	17	29	18	55	19	9	27	24	23	53	74	0	0	30	8	15	55					
8	Число бюллетеней в стационарных ящиках для голосования	9666	672	829	715	444	242	92	213	370	134	124	416	403	43	202	281	204	104	277	443	304	139	564	379	47	327	202	551	65	880					
9	Число недействительных избирательных бюллетеней	95	10	8	0	6	6	1	0	5	0	2	2	4	0	2	5	0	1	5	5	2	2	4	2	0	1	5	7	0	10					
10	Число действительных избирательных бюллетеней	10548	707	867	833	481	282	126	241	387	152	152	459	444	60	229	294	259	122	281	465	326	160	613	451	47	326	227	552	80	925					
11	Число полученных открепительных  удостоверений	302	30	30	20	10	5	5	5	5	5	5	10	10	5	7	7	7	5	7	10	14	5	15	15	5	15	10	15	5	15					
12	Число выданных открепительных удостоверений	141	21	20	15	1	1	3	1	5	0	2	0	0	0	2	2	6	2	2	1	8	2	15	0	0	15	1	1	0	15					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	122	8	3	3	4	7	0	4	5	3	3	2	2	1	5	7	4	3	3	2	0	1	7	3	1	3	5	8	1	24					
14	Число неиспользованных открепительных удостоверений	161	9	10	5	9	4	2	4	0	5	3	10	10	5	5	5	1	3	5	9	6	3	0	15	5	0	9	14	5	0					
15	"Число открепительных удостоверений, выданных в ТИК"	8	4	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0					
