Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																																		
Дата голосования: 04.12.2011																																																																																																		
																																																																																																		
"Наименование Избирательной комиссии:    Екатеринбург, Чкаловская"																																																																																																		
																																																																																																		
Сводная таблица результатов выборов																																																																																																		
																																																																																																		
		Сумма	УИК №1699	УИК №1700	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749	УИК №1750	УИК №1751	УИК №1752	УИК №1753	УИК №1754	УИК №1755	УИК №1756	УИК №1757	УИК №1758	УИК №1759	УИК №1760	УИК №1761	УИК №1762	УИК №1763	УИК №1764	УИК №1765	УИК №1766	УИК №1767	УИК №1768	УИК №1769	УИК №1770	УИК №1771	УИК №1772	УИК №1773	УИК №1774	УИК №1775	УИК №1776	УИК №1777	УИК №1778	УИК №1779	УИК №1780	УИК №1781	УИК №1782	УИК №1783	УИК №1784	УИК №1785	УИК №1786	УИК №1787	УИК №2408	УИК №2409					
1	"Число избирателей, внесенных в список избирателей"	189508	1886	2963	2972	2197	2136	2005	2448	2719	2692	2740	2938	2799	3080	2864	2806	2747	1591	2688	2850	2076	2272	2966	2662	2154	2127	2358	1485	2284	1569	1926	2190	2334	2182	2800	2473	1391	2777	1979	1903	2534	2816	2596	1678	2330	2150	2155	2330	1914	2191	1211	2105	1610	1932	2005	693	1331	1768	1542	2539	2421	2148	1966	1835	2363	1887	2036	2471	2300	1640	1368	2838	2810	2239	1675	2786	2621	2209	267	305	216	170	2083	2127	1472	2043	2003	2593	1384	2406	313	54					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	145170	1550	2100	2150	1800	1800	1500	1800	2000	2000	2000	2200	2200	2200	2000	2000	2000	1200	2000	2000	1550	1700	2200	2000	1800	1600	1700	1250	1950	1300	1500	1700	1700	1700	2100	1900	1150	2300	1500	1450	1850	2150	1900	1200	2000	1850	1800	1900	1600	1800	1000	1750	1300	1600	1500	600	1000	1300	1100	1900	1800	1600	1500	1400	1800	1400	1500	1800	1700	1200	1050	2100	2100	1650	1250	2000	2000	1650	200	270	250	300	1550	1650	1500	1550	1550	2100	1000	1700	250	150					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	86103	902	1618	1477	1137	1111	1006	1265	1296	1250	1383	1451	1486	1446	1481	1326	1397	717	1245	1158	821	992	1354	1095	955	999	892	627	1114	642	681	969	929	882	1152	996	479	725	818	856	1105	1118	1051	486	1006	1035	802	1019	782	985	509	821	721	666	968	466	617	697	681	1176	1044	1108	876	858	1145	927	952	1072	1185	837	691	1086	1124	690	711	1286	1034	905	86	229	93	110	1175	1174	1400	878	888	1921	616	923	185	53					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1994	5	22	7	11	29	22	17	33	7	7	8	3	17	6	10	4	5	21	24	15	17	84	33	22	41	23	24	8	12	8	21	21	15	41	9	13	5	6	9	7	14	17	357	8	9	7	65	18	24	13	10	9	29	9	0	13	10	7	20	35	11	12	15	11	9	14	13	24	8	14	17	14	24	28	8	9	34	0	40	93	47	18	17	0	13	14	50	25	13	33	0					
6	Число погашенных избирательных бюллетеней	57073	643	460	666	652	660	472	518	671	743	610	741	711	737	513	664	599	478	734	818	714	691	762	872	823	560	785	599	828	646	811	710	750	803	907	895	658	1570	676	585	738	1018	832	357	986	806	991	816	800	791	478	919	570	905	523	134	370	593	412	704	721	481	612	527	644	464	534	715	491	355	345	997	962	936	511	706	957	711	114	1	64	143	357	459	100	659	648	129	359	764	32	97					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1994	5	22	7	11	29	22	17	33	7	7	8	3	17	6	10	4	5	21	24	15	17	84	33	22	41	23	24	8	12	8	21	21	15	41	9	13	5	6	9	7	14	17	357	8	9	7	65	18	24	13	10	9	29	9	0	13	10	7	20	35	11	12	15	11	9	14	13	24	8	14	17	14	24	28	8	9	34	0	40	93	47	18	17	0	13	14	50	25	13	33	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	86051	902	1618	1477	1137	1111	984	1265	1296	1250	1383	1451	1486	1446	1481	1326	1397	717	1245	1158	821	992	1354	1095	947	998	892	627	1114	642	673	967	929	882	1152	996	478	725	817	856	1105	1118	1047	486	1006	1035	802	1019	782	985	509	821	721	666	968	466	617	697	681	1176	1044	1107	876	857	1145	927	952	1072	1183	837	691	1086	1124	690	711	1286	1034	905	86	229	93	110	1174	1174	1400	878	888	1921	616	923	185	53					
9	Число недействительных избирательных бюллетеней	2219	18	35	24	23	23	20	33	23	31	24	28	27	30	35	19	18	15	27	27	25	22	25	29	26	26	34	22	15	24	16	35	25	21	19	38	19	20	28	18	23	20	36	12	20	22	21	32	15	30	8	11	19	21	24	10	18	35	10	21	24	22	33	31	19	23	16	24	37	20	13	28	25	25	43	26	46	47	3	13	5	6	31	23	33	18	28	49	13	40	79	1					
10	Число действительных избирательных бюллетеней	85826	889	1605	1460	1125	1117	986	1249	1306	1226	1366	1431	1462	1433	1452	1317	1383	707	1239	1155	811	987	1413	1099	943	1013	881	629	1107	630	665	953	925	876	1174	967	472	710	795	847	1089	1112	1028	831	994	1022	788	1052	785	979	514	820	711	674	953	456	612	672	678	1175	1055	1096	855	841	1137	913	950	1061	1170	825	692	1075	1113	689	696	1268	997	892	83	256	181	151	1161	1168	1367	873	874	1922	628	896	139	52					
