Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																																		
Дата голосования: 02.12.2007																																																																																																		
																																																																																																		
"Наименование Избирательной комиссии:    Екатеринбург, Чкаловская"																																																																																																		
																																																																																																		
Сводная таблица результатов выборов																																																																																																		
																																																																																																		
		Сумма	УИК №245	УИК №1699	УИК №1700	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749	УИК №1750	УИК №1751	УИК №1752	УИК №1753	УИК №1754	УИК №1755	УИК №1756	УИК №1757	УИК №1758	УИК №1759	УИК №1760	УИК №1761	УИК №1762	УИК №1763	УИК №1764	УИК №1765	УИК №1766	УИК №1767	УИК №1768	УИК №1769	УИК №1770	УИК №1771	УИК №1772	УИК №1773	УИК №1774	УИК №1775	УИК №1776	УИК №1777	УИК №1778	УИК №1779	УИК №1780	УИК №1781	УИК №1782	УИК №1783	УИК №1784	УИК №1785	УИК №1786	УИК №1787	УИК №2409					
1	"Число избирателей, внесенных в списки избирателей"	189642	112	1008	2523	2864	2235	2194	2147	2359	2839	2537	2737	3122	2863	3010	2803	2812	2785	1739	2794	3000	2267	2343	2983	2292	2280	2209	2300	1644	2186	1588	1847	2493	2386	2223	2725	2590	1351	3010	2092	1934	2190	2333	2725	1677	2339	2331	2090	2243	1857	2148	1257	1566	1577	1828	2995	737	1351	1683	1425	2610	2570	2135	2016	2027	2512	1961	2196	2204	2158	1769	1477	2522	2694	2138	1667	2747	2621	2204	264	326	385	443	2250	2175	1328	2510	2285	2040	1203	2236	391					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	142600	200	750	1850	2150	1700	1650	1650	1750	2150	1900	2000	2250	2150	2200	2050	2100	2100	1250	2100	2250	1700	1800	2100	1800	1750	1650	1700	1250	1650	1200	1350	1900	1800	1800	2000	2000	1000	2200	1600	1450	1600	1800	2050	1300	1800	1750	1550	1600	1350	1600	1000	1150	1150	1350	2300	650	1050	1200	1000	1950	1950	1600	1550	1550	1900	1500	1650	1650	1600	1350	1150	1900	1900	1500	1200	2000	2000	1600	250	300	400	450	1700	1600	1300	1800	1700	1600	850	1600	400					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	100940	112	467	1528	1511	1274	1205	1250	1259	1540	1415	1578	1767	1685	1609	1550	1502	1589	962	1362	1407	1158	1201	1429	1099	1283	1218	1132	812	1190	725	826	1304	1179	1094	1329	1302	640	1169	1062	1114	1174	1156	1328	544	1162	1264	978	1135	917	1111	595	716	816	798	2094	439	728	786	745	1456	1389	1227	1117	1140	1502	1066	1136	1271	1290	1094	884	1186	1239	880	819	1442	1253	1100	135	230	263	295	1531	1356	1274	1364	1213	1416	577	1080	391					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3000	0	13	22	14	16	44	20	20	41	12	11	20	17	24	8	17	10	43	39	24	35	31	92	19	30	50	33	40	23	26	6	23	11	34	64	10	17	11	17	12	10	10	23	384	15	17	22	60	15	32	14	35	13	25	128	29	23	32	49	15	45	33	25	20	22	13	12	8	32	16	11	15	131	53	44	21	26	41	0	70	84	148	26	18	0	12	2	50	45	27	0					
6	Число погашенных избирательных бюллетеней	38660	88	270	300	625	410	401	380	471	569	473	411	463	448	567	492	581	501	245	699	819	507	568	579	682	437	382	535	398	437	449	518	573	610	672	607	688	343	1020	521	324	416	634	699	372	623	469	550	405	418	457	391	399	321	527	78	182	299	382	206	479	516	340	408	390	376	421	502	371	278	240	255	699	530	567	337	537	721	459	115	0	53	7	143	226	26	424	485	134	228	493	9					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2999	0	13	22	14	16	44	20	20	41	12	11	20	17	24	8	17	10	43	39	24	35	31	92	19	30	49	33	40	23	26	6	23	11	34	64	10	17	11	17	12	10	10	23	384	15	17	22	60	15	32	14	35	13	25	128	29	23	32	49	15	45	33	25	20	22	13	12	8	32	16	11	15	131	53	44	21	26	41	0	70	84	148	26	18	0	12	2	50	45	27	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	100849	112	467	1528	1511	1274	1205	1250	1254	1540	1415	1577	1767	1685	1609	1550	1502	1589	962	1362	1407	1156	1201	1429	1099	1283	1217	1132	810	1190	725	826	1304	1179	1060	1329	1302	640	1169	1062	1114	1174	1156	1328	544	1162	1264	978	1135	917	1111	595	716	816	798	2088	438	728	786	743	1456	1389	1227	1117	1140	1502	1066	1134	1270	1290	1094	883	1186	1239	880	819	1442	1248	1098	135	230	263	295	1505	1356	1274	1364	1213	1416	577	1080	391					
9	Число недействительных избирательных бюллетеней	1110	0	4	18	18	11	11	10	22	13	11	16	10	53	15	17	19	10	13	9	13	4	11	17	9	10	8	14	13	11	4	8	22	13	14	14	17	9	9	11	15	13	6	16	4	10	25	15	16	6	12	8	6	10	5	24	2	13	8	12	14	11	22	10	8	16	12	16	12	15	8	11	11	10	14	10	20	14	17	0	4	3	7	18	19	10	11	9	20	6	12	3					
10	Число действительных избирательных бюллетеней	102738	112	476	1532	1507	1279	1238	1260	1252	1568	1416	1572	1777	1649	1618	1541	1500	1589	992	1392	1418	1187	1221	1504	1109	1303	1258	1151	837	1202	747	824	1305	1177	1080	1379	1295	648	1171	1068	1111	1171	1160	1335	924	1167	1256	985	1179	926	1131	601	745	819	818	2192	465	738	810	780	1457	1423	1238	1132	1152	1508	1067	1130	1266	1307	1102	883	1190	1360	919	853	1443	1260	1122	135	296	344	436	1513	1355	1264	1365	1206	1446	616	1095	388					
