Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																			
Дата голосования: 18.09.2016																																			
																																			
Наименование Избирательной комиссии:    Тепло-Огаревская																																			
																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																			
																																			
		Сумма	УИК №2001	УИК №2002	УИК №2003	УИК №2004	УИК №2005	УИК №2006	УИК №2007	УИК №2008	УИК №2009	УИК №2011	УИК №2012	УИК №2013	УИК №2014	УИК №2016	УИК №2017	УИК №2018	УИК №2019	УИК №2020	УИК №2021	УИК №2022	УИК №2023	УИК №2024	УИК №2025	УИК №2026									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	9990	557	238	200	232	194	349	187	375	357	225	571	567	279	148	536	264	173	130	567	891	664	540	892	854									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9500	530	240	200	230	190	310	200	360	350	230	560	560	270	150	500	250	150	130	530	820	610	500	830	800									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4764	190	111	121	120	113	160	97	183	218	144	290	316	182	53	286	136	72	51	274	417	274	235	384	337									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1022	58	35	10	65	33	41	26	89	55	24	77	69	33	57	38	55	15	22	36	36	23	44	12	69									
6	Число погашенных избирательных бюллетеней	3714	282	94	69	45	44	109	77	88	77	62	193	175	55	40	176	59	63	57	220	367	313	221	434	394									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1022	58	35	10	65	33	41	26	89	55	24	77	69	33	57	38	55	15	22	36	36	23	44	12	69									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4764	190	111	121	120	113	160	97	183	218	144	290	316	182	53	286	136	72	51	274	417	274	235	384	337									
9	Число недействительных избирательных бюллетеней	59	5	2	0	4	0	1	2	1	0	5	2	2	0	1	4	0	0	1	4	3	6	8	0	8									
10	Число действительных избирательных бюллетеней	5727	243	144	131	181	146	200	121	271	273	163	365	383	215	109	320	191	87	72	306	450	291	271	396	398									
