Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																						
Дата голосования: 07.12.2003 0:00:00																																																						
																																																						
Наименование Избирательной комиссии:    Лысковская																																																						
																																																						
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																						
																																																						
		Сумма	УИК №1227	УИК №1228	УИК №1229	УИК №1230	УИК №1231	УИК №1232	УИК №1233	УИК №1234	УИК №1235	УИК №1236	УИК №1237	УИК №1238	УИК №1239	УИК №1240	УИК №1241	УИК №1242	УИК №1243	УИК №1244	УИК №1245	УИК №1246	УИК №1247	УИК №1248	УИК №1249	УИК №1250	УИК №1251	УИК №1252	УИК №1253	УИК №1254	УИК №1255	УИК №1256	УИК №1257	УИК №1258	УИК №1259	УИК №1260	УИК №1261	УИК №1262	УИК №1263	УИК №1264	УИК №1265	УИК №1266	УИК №1267	УИК №1268	УИК №1269	УИК №1270	УИК №1271	УИК №1272	УИК №1273					
1	"Число избирателей, внесенных в списки"	34439	917	754	907	1715	2000	1071	1962	2121	1930	890	1207	917	1027	659	605	777	270	815	261	250	131	259	1187	375	488	418	153	663	932	419	613	228	362	587	920	271	280	628	223	1331	378	179	196	605	169	101	1288					
2	"Число бюллетеней, полученных участковыми комиссиями"	30901	842	661	812	1570	1814	958	1740	1860	1786	778	1118	791	917	582	520	710	233	726	232	224	113	230	1110	350	407	374	138	584	846	387	573	215	318	503	822	240	259	562	212	1147	354	153	174	537	150	86	1183					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	15758	482	314	421	890	992	522	854	985	825	439	512	365	477	242	272	306	141	283	126	146	92	151	590	170	256	207	105	261	365	244	347	87	151	181	394	147	175	269	83	551	197	102	110	233	67	21	608					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1296	16	20	4	21	32	12	22	12	37	36	24	8	14	21	7	39	5	44	23	15	11	31	22	7	28	24	19	93	31	13	21	13	42	101	40	48	25	2	45	21	8	7	0	39	31	55	107					
6	Число погашенных бюллетеней	13847	344	327	387	659	790	424	864	863	924	303	582	418	426	319	241	365	87	399	83	63	10	48	498	173	123	143	14	230	450	130	205	115	125	221	388	45	59	291	84	575	149	44	64	265	52	10	468					
7	Число бюллетеней в переносных ящиках для голосования	1296	16	20	4	21	32	12	22	12	37	36	24	8	14	21	7	39	5	44	23	15	11	31	22	7	28	24	19	93	31	13	21	13	42	101	40	48	25	2	45	21	8	7	0	39	31	55	107					
8	Число бюллетеней в стационарных ящиках для голосования	15752	482	314	421	890	992	522	854	985	825	438	512	365	477	242	272	306	141	283	126	146	87	151	590	170	256	207	105	261	365	244	347	87	151	181	394	147	175	269	83	551	197	102	110	233	67	21	608					
9	Число недействительных бюллетеней	400	5	9	10	16	11	10	16	13	15	8	11	7	7	5	10	7	4	5	3	7	3	6	9	7	16	8	6	5	5	7	11	4	10	3	13	4	9	8	8	24	8	6	9	7	5	1	19					
10	Число действительных бюллетеней	16648	493	325	415	895	1013	524	860	984	847	466	525	366	484	258	269	338	142	322	146	154	95	176	603	170	268	223	118	349	391	250	357	96	183	279	421	191	191	263	120	548	197	103	101	265	93	75	696					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	480	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	10	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5					
