Выборы Президента Российской Федерации																																				
Дата голосования: 18.03.2018																																				
																																				
Наименование Избирательной комиссии:    Октябрьская																																				
																																				
Сводная таблица итогов голосования																																				
																																				
	Число участковых избирательных комиссий	25																																		
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	25																																		
																																				
		Сумма	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61									
1	"Число избирателей, включенных в список избирателей"	25189	1395	1142	266	1214	1571	1907	2189	1024	736	592	1597	259	345	3245	804	132	340	204	143	267	1540	513	307	1195	2262									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	23100	1200	1100	250	1100	1300	1600	1800	1000	750	600	1500	250	300	3100	750	150	300	200	150	250	1600	500	400	1050	1900									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	963	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	808	44	52	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	18030	1069	883	201	1053	1047	1415	1418	714	666	506	1244	200	266	2135	691	97	267	158	107	217	573	430	184	866	1623									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	593	40	63	9	22	29	35	29	23	33	17	28	15	8	19	30	4	15	16	8	10	23	6	17	38	56									
6	Число погашенных избирательных бюллетеней	3514	91	154	40	25	224	150	353	263	51	77	228	35	26	887	29	49	18	26	35	23	196	20	147	146	221									
7	Число избирательных бюллетеней в переносных ящиках для голосования	1556	40	63	9	22	29	35	29	23	33	17	28	15	8	78	30	4	15	16	8	10	831	50	69	38	56									
8	Число бюллетеней в стационарных ящиках для голосования	18029	1069	883	201	1053	1046	1415	1418	714	666	506	1244	200	266	2135	691	97	267	158	107	217	573	430	184	866	1623									
9	Число недействительных избирательных бюллетеней	364	21	16	14	20	21	28	40	15	14	2	22	0	2	39	0	0	3	0	1	2	65	4	0	12	23									
10	Число действительных избирательных бюллетеней	19221	1088	930	196	1055	1054	1422	1407	722	685	521	1250	215	272	2174	721	101	279	174	114	225	1339	476	253	892	1656									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																				
13	Бабурин Сергей Николаевич	93	6	4	0	3	4	11	6	5	4	1	5	1	1	11	3	0	2	1	0	1	5	2	0	7	10									
		0.47%	0.54%	0.42%	0.00%	0.28%	0.37%	0.76%	0.41%	0.68%	0.57%	0.19%	0.39%	0.47%	0.36%	0.50%	0.42%	0.00%	0.71%	0.57%	0.00%	0.44%	0.36%	0.42%	0.00%	0.77%	0.60%									
14	Грудинин Павел Николаевич	2555	148	117	7	115	192	217	242	122	69	64	158	36	25	351	24	6	23	4	7	39	174	18	30	102	265									
		13.05%	13.35%	12.37%	3.33%	10.70%	17.86%	14.97%	16.72%	16.55%	9.87%	12.24%	12.42%	16.74%	9.12%	15.86%	3.33%	5.94%	8.16%	2.30%	6.09%	17.18%	12.39%	3.75%	11.86%	11.28%	15.78%									
15	Жириновский Владимир Вольфович	1805	116	86	13	99	117	131	131	75	48	68	119	15	16	192	35	6	40	18	5	34	135	36	11	110	149									
		9.22%	10.46%	9.09%	6.19%	9.21%	10.88%	9.03%	9.05%	10.18%	6.87%	13.00%	9.36%	6.98%	5.84%	8.68%	4.85%	5.94%	14.18%	10.34%	4.35%	14.98%	9.62%	7.50%	4.35%	12.17%	8.87%									
16	Путин Владимир Владимирович	14250	789	696	171	799	714	1021	982	498	557	376	940	154	225	1564	645	88	208	150	96	144	974	415	211	656	1177									
		72.76%	71.15%	73.57%	81.43%	74.33%	66.42%	70.41%	67.86%	67.57%	79.69%	71.89%	73.90%	71.63%	82.12%	70.67%	89.46%	87.13%	73.76%	86.21%	83.48%	63.44%	69.37%	86.46%	83.40%	72.57%	70.10%									
17	Собчак Ксения Анатольевна	209	12	6	1	17	16	14	23	4	2	4	16	2	3	24	7	0	3	1	2	5	23	1	0	7	16									
		1.07%	1.08%	0.63%	0.48%	1.58%	1.49%	0.97%	1.59%	0.54%	0.29%	0.76%	1.26%	0.93%	1.09%	1.08%	0.97%	0.00%	1.06%	0.57%	1.74%	2.20%	1.64%	0.21%	0.00%	0.77%	0.95%									
18	Сурайкин Максим Александрович	128	8	7	3	6	2	10	14	5	4	1	3	6	1	15	0	0	1	0	0	1	15	3	0	7	16									
		0.65%	0.72%	0.74%	1.43%	0.56%	0.19%	0.69%	0.97%	0.68%	0.57%	0.19%	0.24%	2.79%	0.36%	0.68%	0.00%	0.00%	0.35%	0.00%	0.00%	0.44%	1.07%	0.63%	0.00%	0.77%	0.95%									
19	Титов Борис Юрьевич	97	5	4	0	10	5	7	6	5	1	3	5	0	1	11	3	1	0	0	2	0	11	1	0	2	14									
		0.50%	0.45%	0.42%	0.00%	0.93%	0.47%	0.48%	0.41%	0.68%	0.14%	0.57%	0.39%	0.00%	0.36%	0.50%	0.42%	0.99%	0.00%	0.00%	1.74%	0.00%	0.78%	0.21%	0.00%	0.22%	0.83%									
20	Явлинский Григорий Алексеевич	84	4	10	1	6	4	11	3	8	0	4	4	1	0	6	4	0	2	0	2	1	2	0	1	1	9									
		0.43%	0.36%	1.06%	0.48%	0.56%	0.37%	0.76%	0.21%	1.09%	0.00%	0.76%	0.31%	0.47%	0.00%	0.27%	0.55%	0.00%	0.71%	0.00%	1.74%	0.44%	0.14%	0.00%	0.40%	0.11%	0.54%									
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
