Выборы Президента Российской Федерации																															
																															
Наименование Избирательной комиссии:    Октябрьская																															
																															
Итоги голосования 																															
																															
		Сумма	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481					
1	"Число избирателей, внесенных в список"	21449	270	259	164	732	329	349	317	174	267	341	2800	1391	1419	2106	1004	1949	1940	1790	626	206	1461	805	357	393					
2	Число полученных избирательных бюллетеней	20963	263	281	163	726	333	344	325	183	265	336	2657	1437	1408	2072	917	1893	1890	1746	631	198	1406	749	349	391					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	14661	234	250	106	473	229	260	244	125	202	251	1578	1175	914	1473	700	1287	1273	1099	536	178	1027	472	290	285					
5	"Число избирательных бюллетеней, выданных вне помещения"	540	15	4	16	29	17	25	19	4	12	19	102	5	35	23	18	20	72	18	20	0	44	2	0	21					
6	Число погашенных избирательных бюллетеней	5762	14	27	41	224	87	59	62	54	51	66	977	257	459	576	199	586	545	629	75	20	335	275	59	85					
7	Число избирательных бюллетеней в переносных ящиках	540	15	4	16	29	17	25	19	4	12	19	102	5	35	23	18	20	72	18	20	0	44	2	0	21					
8	Число бюллетеней в стационарных ящиках для голосования	14660	234	250	106	473	229	260	244	125	202	251	1578	1175	914	1472	700	1287	1273	1099	536	178	1027	472	290	285					
9	Число недействительных избирательных бюллетеней	107	6	5	0	0	3	1	0	2	2	2	17	8	7	7	8	4	12	8	7	0	5	1	2	0					
10	Число действительных избирательных бюллетеней	15093	243	249	122	502	243	284	263	127	212	268	1663	1172	942	1488	710	1303	1333	1109	549	178	1066	473	288	306					
11	Число полученных открепительных  удостоверений	339	5	1	3	5	5	5	10	10	3	5	40	48	16	29	15	25	17	12	3	2	25	45	5	5					
12	Число выданных открепительных удостоверений	292	1	0	0	0	4	2	10	10	2	5	36	48	16	29	13	9	17	12	0	0	25	45	5	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	131	2	25	1	7	3	1	4	2	2	5	10	6	6	3	6	2	9	6	2	2	20	2	1	4					
14	Число неиспользованных открепительных удостоверений	47	4	1	3	5	1	3	0	0	1	0	4	0	0	0	2	16	0	0	3	2	0	0	0	2					
15	"Число открепительных удостоверений, выданных в ТИК"	11	0	0	0	0	0	0	1	0	0	0	6	4	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																															
18	. Глазьев Сергей Юрьевич	389	8	7	0	11	5	4	4	5	7	4	55	23	18	33	22	44	40	37	13	2	23	13	9	2					
		2.56%	3.21%	2.76%	0.00%	2.19%	2.03%	1.40%	1.52%	3.88%	3.27%	1.48%	3.27%	1.95%	1.90%	2.21%	3.06%	3.37%	2.97%	3.31%	2.34%	1.12%	2.15%	2.74%	3.10%	0.65%					
19	. Малышкин Олег Александрович	404	11	3	3	15	3	7	10	2	4	11	44	27	42	29	19	41	43	30	9	2	28	6	7	8					
		2.66%	4.42%	1.18%	2.46%	2.99%	1.22%	2.46%	3.80%	1.55%	1.87%	4.07%	2.62%	2.29%	4.43%	1.94%	2.65%	3.14%	3.20%	2.69%	1.62%	1.12%	2.61%	1.27%	2.41%	2.61%					
20	. Миронов Сергей Михайлович	119	3	1	1	4	3	1	1	2	2	4	22	7	3	13	9	12	4	12	7	0	0	5	2	1					
		0.78%	1.20%	0.39%	0.82%	0.80%	1.22%	0.35%	0.38%	1.55%	0.93%	1.48%	1.31%	0.59%	0.32%	0.87%	1.25%	0.92%	0.30%	1.07%	1.26%	0.00%	0.00%	1.05%	0.69%	0.33%					
21	. Путин Владимир Владимирович	12322	205	205	106	400	205	233	228	108	182	232	1279	995	784	1230	579	1050	1073	853	461	165	898	402	221	228					
		81.07%	82.33%	80.71%	86.89%	79.68%	83.33%	81.75%	86.69%	83.72%	85.05%	85.93%	76.13%	84.32%	82.61%	82.27%	80.64%	80.34%	79.78%	76.37%	82.91%	92.70%	83.85%	84.81%	76.21%	74.51%					
22	. Хакамада Ирина Муцуовна	543	8	11	4	12	8	8	7	6	4	3	77	39	22	59	15	39	41	70	24	2	53	12	11	8					
		3.57%	3.21%	4.33%	3.28%	2.39%	3.25%	2.81%	2.66%	4.65%	1.87%	1.11%	4.58%	3.31%	2.32%	3.95%	2.09%	2.98%	3.05%	6.27%	4.32%	1.12%	4.95%	2.53%	3.79%	2.61%					
23	. Харитонов Николай Михайлович	925	5	16	6	52	15	23	13	2	13	9	122	33	61	89	49	86	113	74	29	5	29	16	29	36					
		6.09%	2.01%	6.30%	4.92%	10.36%	6.10%	8.07%	4.94%	1.55%	6.07%	3.33%	7.26%	2.80%	6.43%	5.95%	6.82%	6.58%	8.40%	6.62%	5.22%	2.81%	2.71%	3.38%	10.00%	11.76%					
																															
24	Против всех	391	3	6	2	8	4	8	0	2	0	5	64	48	12	35	17	31	19	33	6	2	35	19	9	23					
		2.57%	1.20%	2.36%	1.64%	1.59%	1.63%	2.81%	0.00%	1.55%	0.00%	1.85%	3.81%	4.07%	1.26%	2.34%	2.37%	2.37%	1.41%	2.95%	1.08%	1.12%	3.27%	4.01%	3.10%	7.52%					
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
