Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																															
Дата голосования: 18.09.2016																																															
																																															
Наименование Избирательной комиссии:    Бессоновская																																															
																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																															
																																															
		Сумма	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	34895	305	1191	1750	1374	1244	1831	1257	1505	1196	1434	539	1149	757	743	819	908	903	779	595	1362	1496	224	535	705	890	370	159	1627	643	611	787	252	1592	1427	1257	679									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	34720	295	1190	1700	1350	1250	1800	1250	1500	1150	1450	540	1140	750	750	820	900	920	770	600	1350	1500	220	560	720	880	360	160	1650	640	600	800	245	1550	1450	1250	660									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	26509	224	816	1163	1017	928	1522	1122	1231	966	1215	434	838	377	609	662	803	424	626	484	1138	1162	187	317	372	570	225	127	1406	488	499	616	189	1221	1082	905	544									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	4115	53	163	290	118	172	120	25	98	52	85	67	145	285	116	109	72	361	92	61	93	95	15	163	197	178	109	25	80	104	64	69	42	184	61	108	44									
6	Число погашенных избирательных бюллетеней	4096	18	211	247	215	150	158	103	171	132	150	39	157	88	25	49	25	135	52	55	119	243	18	80	151	132	26	8	164	48	37	115	14	145	307	237	72									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	4115	53	163	290	118	172	120	25	98	52	85	67	145	285	116	109	72	361	92	61	93	95	15	163	197	178	109	25	80	104	64	69	42	184	61	108	44									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	26507	224	816	1163	1017	928	1522	1122	1231	965	1215	434	838	377	609	662	803	424	625	484	1138	1162	187	317	372	570	225	127	1406	488	499	616	189	1221	1082	905	544									
9	Число недействительных избирательных бюллетеней	350	0	4	11	19	2	12	7	8	16	22	13	9	6	9	15	5	7	13	2	13	36	6	4	10	22	0	0	10	0	4	7	0	24	21	9	4									
10	Число действительных избирательных бюллетеней	30272	277	975	1442	1116	1098	1630	1140	1321	1001	1278	488	974	656	716	756	870	778	704	543	1218	1221	196	476	559	726	334	152	1476	592	559	678	231	1381	1122	1004	584									
