Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																												
Дата голосования: 18.09.2016																												
																												
Наименование Избирательной комиссии:    Бутырский район																												
																												
Сводная таблица итогов голосования по федеральному избирательному округу																												
																												
		Сумма	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	38686	1457	2133	1501	2185	2169	2380	2367	2119	2619	2630	2504	2290	2604	2668	2566	2587	1907									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	27300	1000	1500	1100	1600	1600	1700	1700	1400	1800	1900	1800	1600	1800	1900	1800	1800	1300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	13693	481	629	475	741	775	784	799	815	1009	826	902	876	1089	1063	875	901	653									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	320	24	16	22	27	31	17	20	12	6	22	17	12	14	8	29	16	27									
6	Число погашенных избирательных бюллетеней	13287	495	855	603	832	794	899	881	573	785	1052	881	712	697	829	896	883	620									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	320	24	16	22	27	31	17	20	12	6	22	17	12	14	8	29	16	27									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	13657	481	629	474	741	771	784	799	815	1009	824	902	876	1083	1063	852	901	653									
9	Число недействительных избирательных бюллетеней	229	7	15	7	12	16	11	10	16	17	12	15	4	16	30	16	15	10									
10	Число действительных избирательных бюллетеней	13748	498	630	489	756	786	790	809	811	998	834	904	884	1081	1041	865	902	670									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	366	10	20	20	20	15	30	30	20	30	20	25	20	26	30	10	30	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	248	3	14	15	10	9	20	25	8	18	12	16	8	26	26	9	20	9									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	680	32	33	9	37	12	11	59	114	101	14	11	12	64	39	39	57	36									
14	Число погашенных неиспользованных открепительных удостоверений	118	7	6	5	10	6	10	5	12	12	8	9	12	0	4	1	10	1									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	44	0	1	1	3	4	4	3	1	4	1	3	3	2	8	4	2	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	439	8	17	15	29	28	26	21	27	32	29	36	25	39	23	32	35	17									
		3.14%	1.58%	2.64%	3.02%	3.78%	3.49%	3.25%	2.56%	3.26%	3.15%	3.43%	3.92%	2.82%	3.56%	2.15%	3.63%	3.82%	2.50%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	295	12	13	7	10	20	18	27	21	29	27	11	15	24	18	17	15	11									
		2.11%	2.38%	2.02%	1.41%	1.30%	2.49%	2.25%	3.30%	2.54%	2.86%	3.19%	1.20%	1.69%	2.19%	1.68%	1.93%	1.64%	1.62%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	460	16	25	12	30	21	26	28	23	30	23	37	37	40	29	29	25	29									
		3.29%	3.17%	3.88%	2.42%	3.91%	2.62%	3.25%	3.42%	2.78%	2.96%	2.72%	4.03%	4.17%	3.65%	2.71%	3.29%	2.73%	4.26%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4766	142	257	168	289	242	311	272	276	352	318	304	296	369	332	296	311	231									
		34.10%	28.12%	39.84%	33.87%	37.63%	30.17%	38.83%	33.21%	33.37%	34.68%	37.59%	33.08%	33.33%	33.64%	30.99%	33.60%	33.91%	33.97%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	253	8	13	7	11	16	19	11	19	9	12	14	20	24	25	13	23	9									
		1.81%	1.58%	2.02%	1.41%	1.43%	1.99%	2.37%	1.34%	2.30%	0.89%	1.42%	1.52%	2.25%	2.19%	2.33%	1.48%	2.51%	1.32%									
24	"6. Политическая партия ""Гражданская Платформа"""	38	0	4	3	2	1	2	3	1	5	1	6	1	1	6	1	0	1									
		0.27%	0.00%	0.62%	0.60%	0.26%	0.12%	0.25%	0.37%	0.12%	0.49%	0.12%	0.65%	0.11%	0.09%	0.56%	0.11%	0.00%	0.15%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1888	42	94	58	114	120	101	122	135	142	94	114	101	149	132	128	138	104									
		13.51%	8.32%	14.57%	11.69%	14.84%	14.96%	12.61%	14.90%	16.32%	13.99%	11.11%	12.40%	11.37%	13.58%	12.32%	14.53%	15.05%	15.29%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	434	26	23	17	26	18	15	27	30	27	29	28	24	31	34	22	31	26									
		3.11%	5.15%	3.57%	3.43%	3.39%	2.24%	1.87%	3.30%	3.63%	2.66%	3.43%	3.05%	2.70%	2.83%	3.17%	2.50%	3.38%	3.82%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	535	36	20	19	30	31	30	34	24	35	32	32	23	35	63	24	30	37									
