Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																							
Дата голосования: 18.09.2016																																																							
																																																							
"Наименование Избирательной комиссии:    Самара, Октябрьская"																																																							
																																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																																							
																																																							
		Сумма	УИК №3001	УИК №3002	УИК №3003	УИК №3004	УИК №3005	УИК №3006	УИК №3007	УИК №3008	УИК №3009	УИК №3010	УИК №3011	УИК №3012	УИК №3013	УИК №3014	УИК №3015	УИК №3016	УИК №3017	УИК №3018	УИК №3019	УИК №3020	УИК №3021	УИК №3022	УИК №3023	УИК №3024	УИК №3025	УИК №3026	УИК №3027	УИК №3028	УИК №3029	УИК №3030	УИК №3031	УИК №3032	УИК №3033	УИК №3034	УИК №3035	УИК №3036	УИК №3037	УИК №3038	УИК №3039	УИК №3040	УИК №3041	УИК №3042	УИК №3043	УИК №3044									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	93632	2734	2256	1919	1786	1363	1922	2175	2126	2213	1945	1806	1992	1887	3035	1930	1154	1775	1913	2743	2429	1510	2541	723	3023	2946	3355	1239	2853	2132	1751	1165	2417	2721	1580	2717	2124	2002	1353	2965	2935	2045	2218	2790	1424									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	86503	2500	2000	1800	1700	1200	1900	2000	2000	2000	1900	1800	2000	1800	2500	1800	1100	1700	1900	2500	2400	1700	2500	700	2500	2500	2500	1100	2500	2000	1700	1103	2400	2500	1500	2500	2000	1900	1300	2500	2500	2000	2200	2500	1400									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	38152	1293	1127	838	877	606	1025	998	1063	1116	930	845	994	911	1085	929	552	801	858	1195	1005	459	978	343	1285	1104	953	480	904	904	692	469	740	1082	554	903	790	822	492	1042	919	764	946	1027	452									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1818	68	66	38	39	108	32	38	45	32	29	41	55	34	45	48	23	36	64	24	31	290	29	15	38	22	33	7	52	35	32	20	23	44	13	25	51	17	16	27	19	26	27	53	8									
6	Число погашенных избирательных бюллетеней	46531	1139	807	924	784	486	843	964	892	852	941	912	951	855	1370	823	525	863	978	1281	1364	951	1493	342	1177	1374	1514	613	1544	1061	976	614	1637	1374	933	1572	1159	1061	792	1431	1562	1210	1227	1420	940									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1809	67	66	38	39	108	32	38	45	32	29	41	55	34	44	48	23	36	64	21	31	288	29	15	38	22	33	7	52	35	32	20	23	43	13	25	50	17	16	27	19	26	27	53	8									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	38043	1293	1127	838	877	606	1025	998	1063	1116	929	843	993	907	1085	929	552	765	857	1193	1003	456	978	343	1285	1101	953	480	904	903	692	467	740	1083	552	902	789	820	492	1041	900	738	946	1027	452									
9	Число недействительных избирательных бюллетеней	1028	23	32	18	25	9	18	26	17	22	26	20	30	32	36	29	18	15	22	29	37	20	31	10	24	24	28	7	21	23	15	15	19	37	16	39	20	29	20	21	28	23	37	28	9									
10	Число действительных избирательных бюллетеней	38824	1337	1161	858	891	705	1039	1010	1091	1126	932	864	1018	909	1093	948	557	786	899	1185	997	724	976	348	1299	1099	958	480	935	915	709	472	744	1089	549	888	819	808	488	1047	891	741	936	1052	451									
