Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва													
Дата голосования: 07.12.2003 0:00:00													
													
Наименование Избирательной комиссии:    Губкинская городская													
													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)													
													
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6					
1	"Число избирателей, внесенных в списки"	15898	2986	3241	2665	2494	2211	2301					
2	"Число бюллетеней, полученных участковыми комиссиями"	13800	2300	3000	2400	2200	1900	2000					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	2448	0	1115	0	827	506	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	7197	1516	1308	1314	841	889	1329					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	211	3	141	6	0	3	58					
6	Число погашенных бюллетеней	3944	781	436	1080	532	502	613					
7	Число бюллетеней в переносных ящиках для голосования	2658	3	1256	6	826	509	58					
8	Число бюллетеней в стационарных ящиках для голосования	7192	1516	1303	1314	841	889	1329					
9	Число недействительных бюллетеней	88	16	22	8	22	17	3					
10	Число действительных бюллетеней	9762	1503	2537	1312	1645	1381	1384					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	150	25	25	25	25	25	25					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	40	8	6	7	6	5	8					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	37	3	4	5	2	16	7					
14	Число погашенных открепительных удостоверений	110	17	19	18	19	20	17					
15	Число открепительных удостоверений выданных ТИК	10	6	0	1	1	0	2					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0					
													
18	"1. ""ЕДИНЕНИЕ"""	111	16	38	12	24	13	8					
		1.12%	1.05%	1.48%	0.90%	1.43%	0.92%	0.57%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	372	92	89	74	53	14	50					
		3.77%	6.05%	3.47%	5.60%	3.17%	1.00%	3.60%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	173	21	40	28	43	15	26					
		1.75%	1.38%	1.56%	2.12%	2.57%	1.07%	1.87%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	450	131	62	114	94	25	24					
		4.56%	8.62%	2.42%	8.63%	5.63%	1.78%	1.73%					
22	"5. ""За Русь Святую"""	34	4	9	6	8	5	2					
		0.34%	0.26%	0.35%	0.45%	0.47%	0.35%	0.14%					
23	"6. ""Объединенная Российская партия ""Русь"""	21	5	5	0	4	4	3					
		0.21%	0.32%	0.19%	0.0%	0.23%	0.28%	0.21%					
24	"7. ""Новый курс - Автомобильная Россия"""	167	23	50	22	36	7	29					
		1.69%	1.51%	1.95%	1.66%	2.15%	0.50%	2.09%					
25	"8. ""Народно-республиканская партия России"""	23	1	12	2	6	1	1					
		0.23%	0.06%	0.46%	0.15%	0.35%	0.07%	0.07%					
26	"9. ""Российская экологическая партия ""Зеленые"""	40	7	6	10	0	8	9					
		0.40%	0.46%	0.23%	0.75%	0.0%	0.57%	0.64%					
27	"10. ""Аграрная партия России"""	127	23	48	10	22	7	17					
		1.28%	1.51%	1.87%	0.75%	1.31%	0.50%	1.22%					
28	"11. ""Истинные патриоты России"""	32	5	10	2	8	4	3					
		0.32%	0.32%	0.39%	0.15%	0.47%	0.28%	0.21%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	74	12	18	12	16	4	12					
		0.75%	0.78%	0.70%	0.90%	0.95%	0.28%	0.86%					
30	"13. ""Демократическая партия России"""	15	6	5	0	3	0	1					
		0.15%	0.39%	0.19%	0.0%	0.17%	0.0%	0.07%					
31	"14. ""Великая Россия - Евразийский Союз"""	30	3	7	3	7	7	3					
		0.30%	0.19%	0.27%	0.22%	0.41%	0.50%	0.21%					
32	"15. ""Партия СЛОН"""	17	1	6	0	5	3	2					
		0.17%	0.06%	0.23%	0.0%	0.29%	0.21%	0.14%					
33	"16. ""Родина"" (народно-патриотический союз)"""	708	133	193	110	127	120	25					
		7.18%	8.75%	7.54%	8.33%	7.61%	8.58%	1.80%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	22	3	5	3	5	3	3					
		0.22%	0.19%	0.19%	0.22%	0.29%	0.21%	0.21%					
35	"18. ""ЛДПР"""	1239	223	392	168	299	33	124					
		12.57%	14.68%	15.31%	12.72%	17.93%	2.36%	8.94%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	86	14	20	19	14	12	7					
		0.87%	0.92%	0.78%	1.43%	0.83%	0.85%	0.50%					
37	"20. ""Политическая партия ""Единая Россия"""	4721	574	1149	552	523	963	960					
		47.92%	37.78%	44.90%	41.81%	31.37%	68.88%	69.21%					
38	"21. ""Российская Конституционно-демократическая партия"""	9	1	0	0	5	1	2					
		0.09%	0.06%	0.0%	0.0%	0.29%	0.07%	0.14%					
39	"22. ""Развитие предпринимательства"""	41	7	7	10	3	6	8					
		0.41%	0.46%	0.27%	0.75%	0.17%	0.42%	0.57%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	547	89	106	83	182	25	62					
		5.55%	5.85%	4.14%	6.28%	10.91%	1.78%	4.47%					
													
41	Против всех	703	109	260	72	158	101	3					
		7.13%	7.17%	10.16%	5.45%	9.47%	7.22%	0.21%					
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
