Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																									
Дата голосования: 18.09.2016																									
																									
Наименование Избирательной комиссии:    район Некрасовка																									
																									
Сводная таблица итогов голосования по федеральному избирательному округу																									
																									
		Сумма	УИК №1529	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №3412	УИК №3413	УИК №3414	УИК №3418	УИК №3419	УИК №3420	УИК №3706									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	30303	1259	2622	2162	3466	1614	1435	2635	3204	2426	2224	1812	2550	2654	240									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	20925	900	1850	1500	2600	1150	1000	1800	2200	1650	1350	1200	1750	1700	275									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	11082	413	1003	590	1216	578	644	1108	1268	976	879	743	689	793	182									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	228	31	26	12	7	17	31	35	11	1	2	9	1	4	41									
6	Число погашенных избирательных бюллетеней	9615	456	821	898	1377	555	325	657	921	673	469	448	1060	903	52									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	228	31	26	12	7	17	31	35	11	1	2	9	1	4	41									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	11059	413	1000	589	1209	576	644	1105	1268	976	877	738	689	793	182									
9	Число недействительных избирательных бюллетеней	191	8	20	12	24	4	8	21	17	12	17	9	8	18	13									
10	Число действительных избирательных бюллетеней	11096	436	1006	589	1192	589	667	1119	1262	965	862	738	682	779	210									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	289	13	26	21	30	16	14	25	31	23	19	17	25	29	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	162	6	13	7	15	8	6	14	17	20	11	12	8	25	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1389	4	33	27	492	26	17	117	29	94	328	105	62	51	4									
14	Число погашенных неиспользованных открепительных удостоверений	127	7	13	14	15	8	8	11	14	3	8	5	17	4	0									
