Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																									
Дата голосования: 18.09.2016																																									
																																									
Наименование Избирательной комиссии:    Ивановская - 91																																									
																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																									
																																									
		Сумма	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №436	УИК №437	УИК №438	УИК №439	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №465	УИК №466	УИК №467									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	19806	390	347	365	678	631	682	274	719	136	796	635	243	1342	1313	679	635	1080	1084	1022	1028	594	1074	647	764	356	626	402	403	424	437									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	17650	370	340	350	600	590	600	260	680	130	700	600	230	1100	1050	630	600	900	900	900	900	550	910	620	700	330	600	370	370	380	390									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8172	190	104	182	250	177	240	67	297	53	389	277	81	530	482	274	456	345	341	365	650	290	302	211	268	233	347	119	212	223	217									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2636	73	141	94	125	136	141	112	114	28	101	50	92	131	157	172	65	71	119	10	39	117	61	55	100	52	41	122	39	30	48									
6	Число погашенных избирательных бюллетеней	6842	107	95	74	225	277	219	81	269	49	210	273	57	439	411	184	79	484	440	525	211	143	547	354	332	45	212	129	119	127	125									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2636	73	141	94	125	136	141	112	114	28	101	50	92	131	157	172	65	71	119	10	39	117	61	55	100	52	41	122	39	30	48									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8171	190	104	182	250	176	240	67	297	53	389	277	81	530	482	274	456	345	341	365	650	290	302	211	268	233	347	119	212	223	217									
9	Число недействительных избирательных бюллетеней	140	0	0	2	10	11	2	1	0	0	5	5	0	7	6	2	0	7	7	8	7	2	6	3	36	0	1	2	4	4	2									
10	Число действительных избирательных бюллетеней	10667	263	245	274	365	301	379	178	411	81	485	322	173	654	633	444	521	409	453	367	682	405	357	263	332	285	387	239	247	249	263									
