Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																										
Дата голосования: 18.09.2016																																																																										
																																																																										
"Наименование Избирательной комиссии:    Сочи, Центральная"																																																																										
																																																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																																																										
																																																																										
		Сумма	УИК №4601	УИК №4602	УИК №4603	УИК №4604	УИК №4605	УИК №4606	УИК №4607	УИК №4608	УИК №4609	УИК №4610	УИК №4611	УИК №4612	УИК №4613	УИК №4614	УИК №4615	УИК №4616	УИК №4617	УИК №4618	УИК №4619	УИК №4620	УИК №4621	УИК №4622	УИК №4623	УИК №4624	УИК №4625	УИК №4626	УИК №4627	УИК №4628	УИК №4629	УИК №4630	УИК №4631	УИК №4632	УИК №4633	УИК №4634	УИК №4635	УИК №4636	УИК №4637	УИК №4638	УИК №4639	УИК №4640	УИК №4641	УИК №4642	УИК №4643	УИК №4644	УИК №4645	УИК №4646	УИК №4647	УИК №4648	УИК №4649	УИК №4650	УИК №4651	УИК №4652	УИК №4653	УИК №4654	УИК №4655	УИК №4656	УИК №4657	УИК №4658	УИК №4659	УИК №4660	УИК №4661	УИК №4662	УИК №4663									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	114961	2480	935	2402	2999	2475	2291	2877	1757	1558	953	580	774	1108	1292	1778	1729	1520	1353	992	2650	2033	2221	2270	1411	1727	2250	2334	1781	2726	1814	2177	1300	2752	2940	2110	2203	1088	1063	2258	1556	1211	1622	1866	2560	2227	1312	2950	2319	2747	862	1618	1627	1141	1446	785	1058	1344	1020	2890	2850	1062	2844	1083									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	100300	2100	800	1900	2500	2100	1900	2400	1500	2300	1800	500	600	900	1100	1400	1400	1300	1100	800	2300	1700	1900	1900	1200	1500	1900	2000	1500	2400	1500	1800	1500	2400	2500	2000	2100	900	900	1900	1300	1100	1300	1600	2200	1900	1000	2400	1900	2300	700	1500	1400	900	1200	700	900	1100	700	2400	2300	900	3500	900									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	39102	662	435	553	519	764	831	700	735	650	416	248	300	473	516	679	621	746	475	387	885	677	790	658	363	431	660	753	577	775	453	743	274	1069	992	707	769	344	324	774	569	615	451	679	820	703	292	917	801	895	465	754	703	472	616	331	467	714	376	917	873	412	1219	313									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3083	25	15	122	91	17	94	19	188	193	112	6	9	41	19	41	15	36	14	9	8	21	30	11	25	10	22	57	69	112	21	21	154	26	10	28	7	7	14	2	26	29	12	14	64	6	373	74	16	14	63	21	30	37	21	59	101	37	32	103	88	22	96	24									
6	Число погашенных избирательных бюллетеней	58115	1413	350	1225	1890	1319	975	1681	577	1457	1272	246	291	386	565	680	764	518	611	404	1407	1002	1080	1231	812	1059	1218	1190	854	1513	1026	1036	1072	1305	1498	1265	1324	549	562	1124	705	456	837	907	1316	1191	335	1409	1083	1391	172	725	667	391	563	310	332	349	292	1380	1339	466	2185	563									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	3080	25	15	122	91	17	94	19	188	193	112	6	9	41	19	41	15	36	14	9	8	21	30	11	25	10	22	57	69	112	21	21	154	26	10	28	7	7	14	2	26	29	12	14	64	6	370	74	16	14	63	21	30	37	21	59	101	37	32	103	88	22	96	24									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	38947	642	435	553	519	764	824	700	735	650	416	248	300	473	516	679	621	746	475	387	880	677	790	656	363	431	658	753	572	775	453	741	274	1069	992	707	769	344	324	774	568	615	451	677	820	703	292	917	799	895	465	753	703	472	616	331	464	714	376	814	873	412	1219	313									
9	Число недействительных избирательных бюллетеней	727	10	10	19	11	14	7	12	19	7	2	9	6	8	13	12	17	4	14	12	16	22	14	19	11	10	21	5	22	5	7	18	10	37	23	10	7	10	9	12	14	7	10	13	8	18	10	4	10	9	5	16	11	2	8	7	10	12	4	13	8	6	24	4									
10	Число действительных избирательных бюллетеней	41300	657	440	656	599	767	911	707	904	836	526	245	303	506	522	708	619	778	475	384	872	676	806	648	377	431	659	805	619	882	467	744	418	1058	979	725	769	341	329	764	580	637	453	678	876	691	652	987	805	900	523	758	722	507	629	383	555	739	404	904	953	428	1291	333									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2235	40	20	40	40	40	40	40	30	30	20	20	20	30	30	30	30	30	30	20	40	40	40	40	30	30	40	40	30	40	30	40	35	40	40	40	40	30	30	40	30	30	30	30	40	40	20	40	40	40	20	30	30	30	30	20	30	30	20	50	40	30	190	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1329	12	6	16	16	17	9	23	7	15	9	3	8	8	16	21	17	9	24	10	25	26	40	21	17	19	15	31	20	40	27	25	35	36	36	40	32	15	7	30	20	24	15	25	34	29	11	10	13	37	4	30	11	16	19	7	7	7	5	44	17	10	146	5									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	2354	35	7	30	37	39	88	53	146	10	3	38	20	12	38	79	51	130	8	84	21	15	24	7	5	9	14	30	14	9	12	30	11	12	5	19	22	8	45	36	12	105	10	29	7	31	116	14	34	13	6	24	36	37	60	5	12	86	154	21	133	49	72	32									
14	Число погашенных неиспользованных открепительных удостоверений	906	28	14	24	24	23	31	17	23	15	11	17	12	22	14	9	13	21	6	10	15	14	0	19	13	11	25	9	10	0	3	15	0	4	4	0	8	15	23	10	10	6	15	5	6	11	9	30	27	3	16	0	19	14	11	13	23	23	15	6	23	20	44	25									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	824	10	9	15	13	24	15	10	10	15	8	8	7	8	9	14	14	13	8	10	14	9	17	10	7	13	18	8	17	20	17	16	9	24	11	30	18	13	5	13	7	4	8	14	20	14	6	35	22	20	10	12	7	8	15	5	11	3	5	23	14	13	33	6									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																										
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	1272	11	12	13	22	17	28	36	33	29	13	14	11	9	14	26	26	12	15	12	24	11	19	13	13	18	28	21	19	5	14	23	10	29	25	29	29	16	8	18	22	25	16	26	24	24	21	15	34	27	7	36	37	11	31	13	12	21	22	27	23	19	37	17									
