Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																															
Дата голосования: 04.12.2011																															
																															
Наименование Избирательной комиссии:    Родионово-Несветайская																															
																															
Сводная таблица результатов выборов																															
																															
		Сумма	УИК №1323	УИК №2406	УИК №2407	УИК №2408	УИК №2409	УИК №2410	УИК №2411	УИК №2412	УИК №2413	УИК №2414	УИК №2415	УИК №2416	УИК №2417	УИК №2418	УИК №2419	УИК №2420	УИК №2421	УИК №2422	УИК №2423	УИК №2424	УИК №2425	УИК №2528	УИК №2529	УИК №2615					
1	"Число избирателей, внесенных в список избирателей"	18147	611	924	471	982	200	257	671	619	167	815	746	1028	148	562	660	744	840	850	628	2005	2070	1273	607	269					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	16678	565	846	426	890	180	241	621	566	158	760	684	945	137	513	605	674	750	785	588	1841	1897	1145	621	240					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	9511	310	441	242	433	101	118	405	419	126	441	468	385	96	233	330	337	418	492	271	1126	1179	696	299	145					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1045	26	52	36	65	22	70	12	40	14	53	26	57	21	62	33	67	83	41	71	47	35	65	33	14					
6	Число погашенных избирательных бюллетеней	6122	229	353	148	392	57	53	204	107	18	266	190	503	20	218	242	270	249	252	246	668	683	384	289	81					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1045	26	52	36	65	22	70	12	40	14	53	26	57	21	62	33	67	83	41	71	47	35	65	33	14					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	9511	310	441	242	433	101	118	405	419	126	441	468	385	96	233	330	337	418	492	271	1126	1179	696	299	145					
9	Число недействительных избирательных бюллетеней	162	5	6	4	15	0	1	6	3	1	7	3	8	1	7	3	2	3	19	4	22	20	17	2	3					
10	Число действительных избирательных бюллетеней	10394	331	487	274	483	123	187	411	456	139	487	491	434	116	288	360	402	498	514	338	1151	1194	744	330	156					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	782	30	50	30	50	15	15	50	30	15	30	30	50	10	15	30	30	30	30	30	42	60	60	35	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	410	12	9	6	11	1	10	20	4	11	26	12	40	6	10	8	6	16	23	30	42	53	24	23	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	185	3	5	6	9	3	23	5	2	2	0	7	6	3	3	2	5	12	5	8	21	33	12	5	5					
14	Число погашенных неиспользованных открепительных удостоверений	372	18	41	24	39	14	5	30	26	4	4	18	10	4	5	22	24	14	7	0	0	7	36	12	8					
