Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																												
Дата голосования: 07.12.2003 0:00:00																												
																												
Наименование Избирательной комиссии:    Духовщинская																												
																												
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																												
																												
		Сумма	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155					
1	"Число избирателей, внесенных в списки"	15367	1986	1805	352	472	292	251	263	515	299	222	2683	2471	339	1103	442	216	207	380	405	413	251					
2	"Число бюллетеней, полученных участковыми комиссиями"	15802	2010	1870	365	483	305	273	286	518	333	230	2710	2460	356	1160	454	230	211	418	424	425	281					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	7081	995	845	145	187	167	88	111	105	110	111	1368	1215	141	463	213	115	122	227	104	129	120					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1463	48	59	60	126	46	19	44	167	95	41	14	33	134	134	53	49	39	48	90	106	58					
6	Число погашенных бюллетеней	7258	967	966	160	170	92	166	131	246	128	78	1328	1212	81	563	188	66	50	143	230	190	103					
7	Число бюллетеней в переносных ящиках для голосования	1463	48	59	60	126	46	19	44	167	95	41	14	33	134	134	53	49	39	48	90	106	58					
8	Число бюллетеней в стационарных ящиках для голосования	7081	995	845	145	187	167	88	111	105	110	111	1368	1215	141	463	213	115	122	227	104	129	120					
9	Число недействительных бюллетеней	161	21	9	7	6	2	5	5	10	3	13	16	16	5	7	5	10	4	4	4	6	3					
10	Число действительных бюллетеней	8383	1022	895	198	307	211	102	150	262	202	139	1366	1232	270	590	261	154	157	271	190	229	175					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	244	42	21	8	8	8	8	8	9	8	8	21	21	9	29	8	2	8	2	8	0	8					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	83	25	21	0	1	0	0	1	0	0	0	6	5	0	18	0	2	0	2	1	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	68	4	3	5	3	4	1	3	3	0	4	4	8	3	3	6	4	4	3	0	1	2					
14	Число погашенных открепительных удостоверений	161	17	0	8	7	8	8	7	9	8	8	15	16	9	11	8	0	8	0	7	0	7					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
