Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																
Дата голосования: 07.12.2003 0:00:00																																																
																																																
Наименование Избирательной комиссии:    Суздальская																																																
																																																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																
																																																
		Сумма	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332					
1	"Число избирателей, внесенных в списки"	30035	1700	1738	834	530	583	383	214	1590	1059	1616	416	1018	413	1257	435	105	691	492	482	2636	1119	193	202	374	542	353	1845	329	212	1615	138	268	158	1192	259	129	674	670	457	625	489					
2	"Число бюллетеней, полученных участковыми комиссиями"	29944	1678	1692	846	521	573	380	218	1676	1068	1550	402	1075	413	1222	410	105	688	469	467	2613	1146	203	211	370	528	357	1856	335	217	1611	140	259	157	1183	259	136	659	664	449	643	495					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	13880	850	797	388	224	256	164	102	741	473	743	213	475	246	555	198	47	321	225	191	1220	551	114	69	177	219	147	886	122	104	787	72	88	69	512	134	57	278	338	202	291	234					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1061	39	18	58	26	19	14	25	15	39	72	28	33	14	56	42	16	19	13	0	39	10	3	37	7	33	37	15	11	7	42	8	48	20	7	12	20	65	8	3	75	8					
6	Число погашенных бюллетеней	15003	789	877	400	271	298	202	91	920	556	735	161	567	153	611	170	42	348	231	276	1354	585	86	105	186	276	173	955	202	106	782	60	123	68	664	113	59	316	318	244	277	253					
7	Число бюллетеней в переносных ящиках для голосования	1060	39	18	58	26	19	14	25	15	39	72	27	33	14	56	42	16	19	13	0	39	10	3	37	7	33	37	15	11	7	42	8	48	20	7	12	20	65	8	3	75	8					
8	Число бюллетеней в стационарных ящиках для голосования	13840	811	797	388	224	256	164	102	741	473	743	212	475	246	555	198	47	321	225	191	1220	551	114	69	177	219	147	886	122	104	787	72	88	69	512	134	57	278	338	202	291	234					
9	Число недействительных бюллетеней	262	11	25	5	8	9	8	1	17	12	14	4	6	4	12	3	0	3	11	0	18	3	3	3	5	3	0	23	1	5	6	1	5	0	0	2	0	7	6	5	7	6					
10	Число действительных бюллетеней	14638	839	790	441	242	266	170	126	739	500	801	235	502	256	599	237	63	337	227	191	1241	558	114	103	179	249	184	878	132	106	823	79	131	89	519	144	77	336	340	200	359	236					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	369	9	10	10	10	5	1	6	20	10	10	10	20	6	10	6	6	10	6	6	20	10	6	6	6	6	6	20	6	6	10	6	6	6	20	6	6	10	10	10	10	6					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	96	0	4	5	1	1	0	0	19	7	5	0	8	2	2	0	0	2	0	1	12	3	1	1	0	3	0	5	0	0	7	0	0	0	4	1	0	0	0	0	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	82	6	2	3	5	2	1	0	2	2	7	0	3	1	3	4	0	6	2	6	5	1	1	0	1	1	1	0	1	0	4	0	0	2	2	3	1	0	2	0	2	0					
14	Число погашенных открепительных удостоверений	273	9	6	5	9	4	1	6	1	3	5	10	12	4	8	6	6	8	6	5	8	7	5	5	6	3	6	15	6	6	3	6	6	6	16	5	6	10	10	10	8	6					
15	Число открепительных удостоверений выданных ТИК	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																
18	"1. ""ЕДИНЕНИЕ"""	158	6	9	7	0	1	0	1	5	4	13	2	9	4	7	1	0	10	2	0	6	8	4	0	6	4	1	12	3	0	3	4	2	0	3	3	0	5	5	1	4	3					
		1.06%	0.70%	1.10%	1.56%	0.0%	0.36%	0.0%	0.78%	0.66%	0.78%	1.59%	0.83%	1.77%	1.53%	1.14%	0.41%	0.0%	2.94%	0.84%	0.0%	0.47%	1.42%	3.41%	0.0%	3.26%	1.58%	0.54%	1.33%	2.25%	0.0%	0.36%	5.0%	1.47%	0.0%	0.57%	2.05%	0.0%	1.45%	1.44%	0.48%	1.09%	1.23%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	395	22	15	9	1	4	4	2	21	12	22	5	10	8	6	4	0	5	4	3	81	28	2	7	6	1	2	34	6	3	14	0	1	0	19	1	1	14	5	3	4	6					
		2.65%	2.58%	1.84%	2.01%	0.4%	1.45%	2.24%	1.57%	2.77%	2.34%	2.69%	2.09%	1.96%	3.07%	0.98%	1.66%	0.0%	1.47%	1.68%	1.57%	6.43%	4.99%	1.70%	6.60%	3.26%	0.39%	1.08%	3.77%	4.51%	2.70%	1.68%	0.0%	0.73%	0.0%	3.66%	0.68%	1.29%	4.08%	1.44%	1.46%	1.09%	2.47%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	787	51	51	16	9	20	18	10	68	13	62	17	38	17	40	9	1	14	7	3	53	27	5	5	6	4	6	43	6	6	34	7	5	4	28	9	1	24	24	5	7	14					
		5.28%	6.0%	6.25%	3.58%	3.6%	7.27%	10.11%	7.87%	8.99%	2.53%	7.60%	7.11%	7.48%	6.53%	6.54%	3.75%	1.58%	4.11%	2.94%	1.57%	4.20%	4.81%	4.27%	4.71%	3.26%	1.58%	3.26%	4.77%	4.51%	5.40%	4.10%	8.75%	3.67%	4.49%	5.39%	6.16%	1.29%	6.99%	6.93%	2.43%	1.91%	5.78%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	478	39	20	4	2	2	3	2	22	8	28	7	14	4	14	9	0	9	8	5	71	26	4	8	5	2	2	38	2	4	15	2	6	2	41	6	4	10	2	11	12	5					
		3.20%	4.58%	2.45%	0.89%	0.8%	0.72%	1.68%	1.57%	2.91%	1.56%	3.43%	2.92%	2.75%	1.53%	2.29%	3.75%	0.0%	2.64%	3.36%	2.61%	5.63%	4.63%	3.41%	7.54%	2.71%	0.79%	1.08%	4.21%	1.50%	3.60%	1.80%	2.5%	4.41%	2.24%	7.89%	4.10%	5.19%	2.91%	0.57%	5.36%	3.27%	2.06%					
22	"5. ""За Русь Святую"""	108	9	6	3	0	1	2	1	5	4	6	0	4	0	6	2	2	3	3	2	7	4	1	0	1	5	2	1	0	3	4	1	1	0	5	1	2	6	1	0	3	1					
		0.72%	1.05%	0.73%	0.67%	0.0%	0.36%	1.12%	0.78%	0.66%	0.78%	0.73%	0.0%	0.78%	0.0%	0.98%	0.83%	3.17%	0.88%	1.26%	1.04%	0.55%	0.71%	0.85%	0.0%	0.54%	1.98%	1.08%	0.11%	0.0%	2.70%	0.48%	1.25%	0.73%	0.0%	0.96%	0.68%	2.59%	1.74%	0.28%	0.0%	0.81%	0.41%					
23	"6. ""Объединенная Российская партия ""Русь"""	41	2	1	2	3	1	1	0	0	0	1	4	1	0	1	2	0	4	1	0	3	1	0	0	0	1	0	1	1	1	0	2	1	0	0	1	0	2	0	1	2	0					
		0.27%	0.23%	0.12%	0.44%	1.2%	0.36%	0.56%	0.0%	0.0%	0.0%	0.12%	1.67%	0.19%	0.0%	0.16%	0.83%	0.0%	1.17%	0.42%	0.0%	0.23%	0.17%	0.0%	0.0%	0.0%	0.39%	0.0%	0.11%	0.75%	0.90%	0.0%	2.5%	0.73%	0.0%	0.0%	0.68%	0.0%	0.58%	0.0%	0.48%	0.54%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	128	8	6	2	0	4	0	0	13	10	6	0	8	1	5	3	1	3	1	1	11	8	0	2	1	1	1	8	0	0	7	0	1	2	5	1	1	3	2	2	0	0					
		0.85%	0.94%	0.73%	0.44%	0.0%	1.45%	0.0%	0.0%	1.71%	1.95%	0.73%	0.0%	1.57%	0.38%	0.81%	1.25%	1.58%	0.88%	0.42%	0.52%	0.87%	1.42%	0.0%	1.88%	0.54%	0.39%	0.54%	0.88%	0.0%	0.0%	0.84%	0.0%	0.73%	2.24%	0.96%	0.68%	1.29%	0.87%	0.57%	0.97%	0.0%	0.0%					
