Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																				
Дата голосования: 07.12.2003 0:00:00																				
																				
Наименование Избирательной комиссии:    Алтуфьевский район																				
																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																				
																				
		Сумма	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534					
1	"Число избирателей, внесенных в списки"	34322	2338	2012	2562	2503	2383	2815	2687	2800	2819	2878	2851	2821	2853					
2	"Число бюллетеней, полученных участковыми комиссиями"	31240	2150	1830	2340	2260	2180	2560	2460	2550	2590	2600	2580	2560	2580					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	18957	1381	1131	1299	1386	1286	1649	1471	1537	1598	1552	1592	1529	1546					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	786	56	84	58	65	93	71	67	46	31	78	36	64	37					
6	Число погашенных бюллетеней	11497	713	615	983	809	801	840	922	967	961	970	952	967	997					
7	Число бюллетеней в переносных ящиках для голосования	786	56	84	58	65	93	71	67	46	31	78	36	64	37					
8	Число бюллетеней в стационарных ящиках для голосования	18875	1379	1127	1299	1386	1282	1649	1461	1513	1596	1551	1581	1526	1525					
9	Число недействительных бюллетеней	206	24	24	18	10	25	22	8	0	12	13	17	21	12					
10	Число действительных бюллетеней	19455	1411	1187	1339	1441	1350	1698	1520	1559	1615	1616	1600	1569	1550					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	680	50	50	50	50	50	80	50	50	50	50	50	50	50					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	351	29	20	22	28	26	53	28	29	31	23	19	19	24					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	272	43	14	9	25	23	30	10	18	19	29	15	13	24					
14	Число погашенных открепительных удостоверений	329	21	30	28	22	24	27	22	21	19	27	31	31	26					
15	Число открепительных удостоверений выданных ТИК	7	0	0	1	0	0	0	1	1	3	0	1	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																				
18	"1. ""ЕДИНЕНИЕ"""	160	14	14	10	17	11	14	16	7	10	6	13	18	10					
		0.81%	0.97%	1.15%	0.73%	1.17%	0.8%	0.81%	1.04%	0.44%	0.61%	0.36%	0.80%	1.13%	0.64%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	952	60	55	68	50	54	76	68	88	75	111	100	63	84					
		4.84%	4.18%	4.54%	5.01%	3.44%	3.92%	4.41%	4.45%	5.64%	4.60%	6.81%	6.18%	3.96%	5.37%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	516	36	33	48	44	21	36	42	44	38	48	45	33	48					
		2.62%	2.50%	2.72%	3.53%	3.03%	1.52%	2.09%	2.74%	2.82%	2.33%	2.94%	2.78%	2.07%	3.07%					
