Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																														
Дата голосования: 18.09.2016																														
																														
Наименование Избирательной комиссии:    Уфимская-3																														
																														
Сводная таблица итогов голосования по федеральному избирательному округу																														
																														
		Сумма	УИК №3046	УИК №3047	УИК №3050	УИК №3051	УИК №3052	УИК №3058	УИК №3059	УИК №3060	УИК №3061	УИК №3062	УИК №3074	УИК №3078	УИК №3081	УИК №3082	УИК №3088	УИК №3089	УИК №3090	УИК №3493	УИК №3494									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	27395	2855	1213	2788	802	769	2643	343	385	3277	2533	720	1409	2780	512	672	764	1166	925	839									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	26145	2800	1220	2700	709	713	2496	313	308	3116	2517	652	1314	2664	500	610	703	1100	908	802									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	17756	2061	535	2000	559	477	1561	269	199	2284	1679	481	1036	1952	374	324	249	454	677	585									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1029	5	1	36	29	79	317	6	71	23	133	40	98	30	15	21	66	38	18	3									
6	Число погашенных избирательных бюллетеней	7360	734	684	664	121	157	618	38	38	809	705	131	180	682	111	265	388	608	213	214									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1029	5	1	36	29	79	317	6	71	23	133	40	98	30	15	21	66	38	18	3									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	17735	2061	535	2000	559	477	1561	269	199	2284	1679	481	1036	1952	374	303	249	454	677	585									
9	Число недействительных избирательных бюллетеней	160	31	12	2	12	5	0	0	0	12	17	5	8	14	3	18	5	12	4	0									
10	Число действительных избирательных бюллетеней	18604	2035	524	2034	576	551	1878	275	270	2295	1795	516	1126	1968	386	306	310	480	691	588									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	390	20	20	20	20	20	30	10	10	30	20	20	20	30	20	20	20	20	20	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	312	17	8	20	3	20	30	2	3	30	20	20	20	30	20	5	11	13	20	20									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	156	1	2	25	1	3	32	2	2	11	11	0	18	12	1	17	5	7	3	3									
14	Число погашенных неиспользованных открепительных удостоверений	78	3	12	0	17	0	0	8	7	0	0	0	0	0	0	15	9	7	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	12	0	0	0	0	0	2	0	0	3	2	0	0	2	0	0	2	0	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
