Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																						
Дата голосования: 07.12.2003 0:00:00																						
																						
Наименование Избирательной комиссии:    Романовская																						
																						
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																						
																						
		Сумма	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345	УИК №1346					
1	"Число избирателей, внесенных в списки"	12061	964	431	959	541	831	444	337	179	266	364	1657	1722	1467	1200	699					
2	"Число бюллетеней, полученных участковыми комиссиями"	11799	944	428	940	523	817	438	341	167	248	365	1618	1681	1420	1184	685					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	7998	624	332	625	384	577	383	242	126	199	256	1019	1098	884	783	466					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	493	55	14	49	18	31	17	24	9	11	13	39	57	59	59	38					
6	Число погашенных бюллетеней	3307	265	82	266	121	208	38	75	32	38	96	560	526	477	342	181					
7	Число бюллетеней в переносных ящиках для голосования	493	55	14	49	18	31	17	24	9	11	13	39	57	59	59	38					
8	Число бюллетеней в стационарных ящиках для голосования	7998	624	332	625	384	577	383	242	126	199	256	1019	1098	884	783	466					
9	Число недействительных бюллетеней	108	12	5	8	6	7	3	4	0	7	2	7	21	8	14	4					
10	Число действительных бюллетеней	8383	667	341	666	396	601	397	262	135	203	267	1051	1134	935	828	500					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	100	8	6	8	5	7	4	4	4	4	5	10	10	10	9	6					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	33	0	0	3	1	0	4	1	0	0	0	5	7	9	2	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	22	1	4	1	4	1	0	0	2	0	1	1	4	2	0	1					
14	Число погашенных открепительных удостоверений	67	8	6	5	4	7	0	3	4	4	5	5	3	1	7	5					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																						
18	"1. ""ЕДИНЕНИЕ"""	46	5	0	3	3	4	1	0	2	0	0	7	11	3	3	4					
		0.54%	0.73%	0.0%	0.44%	0.74%	0.65%	0.25%	0.0%	1.48%	0.0%	0.0%	0.66%	0.95%	0.31%	0.35%	0.79%					
